dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,3,0,2015,Actual,YTD,2014-12-31,3,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,116,0,2015,Actual,YTD,2014-12-31,116,61,City Controller's Office,
Board of Ethics,General,10,0,2015,Actual,YTD,2014-12-31,10,45,Board of Ethics,
Board of Pensions,General,0,0,2015,Actual,YTD,2014-12-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,12,0,2015,Actual,YTD,2014-12-31,12,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,90,0,2015,Actual,YTD,2014-12-31,90,73,City Commissioner's Office,City Commissioners
City Council,General,182,0,2015,Actual,YTD,2014-12-31,182,01,City Council,
City Planning Commission,General,30,0,2015,Actual,YTD,2014-12-31,30,51,City Planning Commission,
City Representative,General,7,0,2015,Actual,YTD,2014-12-31,7,41,Office of the City Representative,City Rep
City Treasurer,General,13,0,2015,Actual,YTD,2014-12-31,13,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2015,Actual,YTD,2014-12-31,2,55,Civil Service Commission,
Commerce,General,19,0,2015,Actual,YTD,2014-12-31,19,42,Office of the Director of Commerce,Commerce
Finance,General,164,0,2015,Actual,YTD,2014-12-31,164,35,Office of the Director of Finance,Finance
First Judicial District,General,1858,0,2015,Actual,YTD,2014-12-31,1858,84,First Judicial District,FJD
Fleet Management,General,264,0,2015,Actual,YTD,2014-12-31,264,25,Office of Fleet Management,Fleet
Free Library,General,640,0,2015,Actual,YTD,2014-12-31,640,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,5,0,2015,Actual,YTD,2014-12-31,5,32,Historical Commission,
Human Relations Commission,General,30,0,2015,Actual,YTD,2014-12-31,30,54,Commission on Human Relations,Human Relations
Human Services (1),General,439,0,2015,Actual,YTD,2014-12-31,439,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,10,0,2015,Actual,YTD,2014-12-31,10,03,Labor,
Law,General,146,0,2015,Actual,YTD,2014-12-31,146,44,Law Department,Law
Licenses & Inspections,General,326,0,2015,Actual,YTD,2014-12-31,326,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2015,Actual,YTD,2014-12-31,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2015,Actual,YTD,2014-12-31,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,5,0,2015,Actual,YTD,2014-12-31,5,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,255,0,2015,Actual,YTD,2014-12-31,255,10,Managing Director's Office,MDO
Mayor's Office,General,50,0,2015,Actual,YTD,2014-12-31,50,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2015,Actual,YTD,2014-12-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,12,0,2015,Actual,YTD,2014-12-31,12,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,9,0,2015,Actual,YTD,2014-12-31,9,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,2,0,2015,Actual,YTD,2014-12-31,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,16,0,2015,Actual,YTD,2014-12-31,16,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Housing & Comm. Development,General,0,0,2015,Actual,YTD,2014-12-31,0,06,Office of Housing and Community Development,
Office of Human Resources,General,81,0,2015,Actual,YTD,2014-12-31,81,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,256,0,2015,Actual,YTD,2014-12-31,256,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,18,0,2015,Actual,YTD,2014-12-31,18,48,Office of the Inspector General,OIG
Office of Property Assessment,General,183,0,2015,Actual,YTD,2014-12-31,183,59,Office of Property Assessment,OPA
Office of Supportive Housing,General,140,0,2015,Actual,YTD,2014-12-31,140,24,Office of Homeless Services,OHS
Parks and Recreation,General,607,0,2015,Actual,YTD,2014-12-31,607,16,Department of Parks and Recreation,Parks & Recreation
Prisons,General,2286,0,2015,Actual,YTD,2014-12-31,2286,23,Philadelphia Prison System,Prisons
Procurement,General,45,0,2015,Actual,YTD,2014-12-31,45,38,Procurement Department,Procurement
Public Health,General,628,0,2015,Actual,YTD,2014-12-31,628,14,Department of Public Health,Public Health
Public Property,General,138,0,2015,Actual,YTD,2014-12-31,138,20,Department of Public Property,Public Property
Records,General,57,0,2015,Actual,YTD,2014-12-31,57,31,Department of Records,Records
Register of Wills,General,64,0,2015,Actual,YTD,2014-12-31,64,68,Register of Wills,
Revenue,General,306,0,2015,Actual,YTD,2014-12-31,306,36,Department of Revenue,Revenue
Sheriff,General,299,0,2015,Actual,YTD,2014-12-31,299,70,Office of the Sheriff,Sheriff
Streets Sanitation,General,1140,0,2015,Actual,YTD,2014-12-31,1140,12S,Streets: Sanitation,
Streets - Transportation,General,508,0,2015,Actual,YTD,2014-12-31,508,12T,Streets: Transportation,
Water,General,0,0,2015,Actual,YTD,2014-12-31,0,28,Water Department,Water
Youth Commission,General,1,0,2015,Actual,YTD,2014-12-31,1,47,Youth Commission,
Atwater Kent Museum,Other,0,0,2015,Actual,YTD,2014-12-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2015,Actual,YTD,2014-12-31,0,61,City Controller's Office,
Board of Ethics,Other,0,0,2015,Actual,YTD,2014-12-31,0,45,Board of Ethics,
Board of Pensions,Other,41,0,2015,Actual,YTD,2014-12-31,41,53,Board of Pensions,Pensions
Board of Revision of Taxes,Other,0,0,2015,Actual,YTD,2014-12-31,0,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),Other,0,0,2015,Actual,YTD,2014-12-31,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2015,Actual,YTD,2014-12-31,0,01,City Council,
City Planning Commission,Other,4,0,2015,Actual,YTD,2014-12-31,4,51,City Planning Commission,
City Representative,Other,0,0,2015,Actual,YTD,2014-12-31,0,41,Office of the City Representative,City Rep
City Treasurer,Other,1,0,2015,Actual,YTD,2014-12-31,1,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2015,Actual,YTD,2014-12-31,0,55,Civil Service Commission,
Commerce,Other,775,0,2015,Actual,YTD,2014-12-31,775,42,Office of the Director of Commerce,Commerce
Finance,Other,13,0,2015,Actual,YTD,2014-12-31,13,35,Office of the Director of Finance,Finance
First Judicial District,Other,465,0,2015,Actual,YTD,2014-12-31,465,84,First Judicial District,FJD
Fleet Management,Other,69,0,2015,Actual,YTD,2014-12-31,69,25,Office of Fleet Management,Fleet
Free Library,Other,15,0,2015,Actual,YTD,2014-12-31,15,52,The Free Library of Philadelphia,Free Library
Historical Commission,Other,0,0,2015,Actual,YTD,2014-12-31,0,32,Historical Commission,
Human Relations Commission,Other,0,0,2015,Actual,YTD,2014-12-31,0,54,Commission on Human Relations,Human Relations
Human Services (1),Other,1103,0,2015,Actual,YTD,2014-12-31,1103,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",Other,0,0,2015,Actual,YTD,2014-12-31,0,03,Labor,
Law,Other,54,0,2015,Actual,YTD,2014-12-31,54,44,Law Department,Law
Licenses & Inspections,Other,8,0,2015,Actual,YTD,2014-12-31,8,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,Other,0,0,2015,Actual,YTD,2014-12-31,0,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,Other,0,0,2015,Actual,YTD,2014-12-31,0,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,Other,0,0,2015,Actual,YTD,2014-12-31,0,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,Other,50,0,2015,Actual,YTD,2014-12-31,50,10,Managing Director's Office,MDO
Mayor's Office,Other,2,0,2015,Actual,YTD,2014-12-31,2,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,Other,34,0,2015,Actual,YTD,2014-12-31,34,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,Other,4,0,2015,Actual,YTD,2014-12-31,4,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,Other,0,0,2015,Actual,YTD,2014-12-31,0,50,Mural Arts Program,Mural Arts
