full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,abbreviation,dept_code
5,279409,21545,2005,Actual,Full Year,Atwater Kent Museum,2005-06-30,Atwater Kent Museum,Atwater Kent,18
5,261250,21170,2006,Actual,Full Year,Atwater Kent Museum,2006-06-30,Atwater Kent Museum,Atwater Kent,18
4,250997,12255,2007,Actual,Full Year,Atwater Kent Museum,2007-06-30,Atwater Kent Museum,Atwater Kent,18
5,264000,15587,2008,Target Budget,YTD,Atwater Kent Museum,2008-06-30,Atwater Kent Museum,Atwater Kent,18
4,256702,10197,2008,Actual,YTD,Atwater Kent Museum,2008-06-30,Atwater Kent Museum,Atwater Kent,18
5,264000,15587,2008,Adopted Budget,Full Year,Atwater Kent Museum,2008-06-30,Atwater Kent Museum,Atwater Kent,18
5,264000,15587,2008,Target Budget,Full Year,Atwater Kent Museum,2008-06-30,Atwater Kent Museum,Atwater Kent,18
4,264000,10197,2008,Current Projection,Full Year,Atwater Kent Museum,2008-06-30,Atwater Kent Museum,Atwater Kent,18
125,6632884,41416,2005,Actual,Full Year,Auditing,2005-06-30,City Controller's Office,,61
126,6780793,50514,2006,Actual,Full Year,Auditing,2006-06-30,City Controller's Office,,61
120,7039481,55975,2007,Actual,Full Year,Auditing,2007-06-30,City Controller's Office,,61
140,7562685,52000,2008,Target Budget,YTD,Auditing,2008-06-30,City Controller's Office,,61
121,7362184,88306,2008,Actual,YTD,Auditing,2008-06-30,City Controller's Office,,61
140,7565233,52000,2008,Adopted Budget,Full Year,Auditing,2008-06-30,City Controller's Office,,61
140,7562685,52000,2008,Target Budget,Full Year,Auditing,2008-06-30,City Controller's Office,,61
121,7362184,88306,2008,Current Projection,Full Year,Auditing,2008-06-30,City Controller's Office,,61
2,97529,0,2005,Actual,Full Year,Board of Building Standards,2005-06-30,L&I: Board of Building and Standards,,29
2,99888,2320,2006,Actual,Full Year,Board of Building Standards,2006-06-30,L&I: Board of Building and Standards,,29
