full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,abbreviation,dept_code
2,180906,2530,2015,Actual,Full Year,Atwater Kent Museum,2015-06-30,Atwater Kent Museum,Atwater Kent,18
3,223470,2687,2016,Actual,Full Year,Atwater Kent Museum,2016-06-30,Atwater Kent Museum,Atwater Kent,18
4,248440,3134,2017,Actual,Full Year,Atwater Kent Museum,2017-06-30,Atwater Kent Museum,Atwater Kent,18
4,251897,0,2018,Adopted Budget,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,Atwater Kent,18
4,247148,2300,2018,Target Budget,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,Atwater Kent,18
4,247148,2300,2018,Current Projection,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,Atwater Kent,18
129,7599194,138581,2015,Actual,Full Year,Auditing,2015-06-30,City Controller's Office,,61
137,7994175,66941,2016,Actual,Full Year,Auditing,2016-06-30,City Controller's Office,,61
127,8055899,13807,2017,Actual,Full Year,Auditing,2017-06-30,City Controller's Office,,61
140,8426765,50000,2018,Adopted Budget,Full Year,Auditing,2018-06-30,City Controller's Office,,61
140,8173054,100000,2018,Target Budget,Full Year,Auditing,2018-06-30,City Controller's Office,,61
116,8173054,100000,2018,Current Projection,Full Year,Auditing,2018-06-30,City Controller's Office,,61
9,843844,0,2015,Actual,Full Year,Board of Ethics,2015-06-30,Board of Ethics,,45
10,862716,0,2016,Actual,Full Year,Board of Ethics,2016-06-30,Board of Ethics,,45
11,920605,0,2017,Actual,Full Year,Board of Ethics,2017-06-30,Board of Ethics,,45
12,985489,0,2018,Adopted Budget,Full Year,Board of Ethics,2018-06-30,Board of Ethics,,45
12,963764,0,2018,Target Budget,Full Year,Board of Ethics,2018-06-30,Board of Ethics,,45
10,963764,0,2018,Current Projection,Full Year,Board of Ethics,2018-06-30,Board of Ethics,,45
12,985057,0,2015,Actual,Full Year,Board of Revision of Taxes,2015-06-30,Board of Revision of Taxes,BRT,63
14,890697,0,2016,Actual,Full Year,Board of Revision of Taxes,2016-06-30,Board of Revision of Taxes,BRT,63
13,898026,0,2017,Actual,Full Year,Board of Revision of Taxes,2017-06-30,Board of Revision of Taxes,BRT,63
16,942999,0,2018,Adopted Budget,Full Year,Board of Revision of Taxes,2018-06-30,Board of Revision of Taxes,BRT,63
16,919050,0,2018,Target Budget,Full Year,Board of Revision of Taxes,2018-06-30,Board of Revision of Taxes,BRT,63
11,919050,0,2018,Current Projection,Full Year,Board of Revision of Taxes,2018-06-30,Board of Revision of Taxes,BRT,63
91,5192287,916270,2015,Actual,Full Year,City Commissioners,2015-06-30,City Commissioner's Office,City Commissioners,73
92,5514242,1041102,2016,Actual,Full Year,City Commissioners,2016-06-30,City Commissioner's Office,City Commissioners,73
99,5960120,1140928,2017,Actual,Full Year,City Commissioners,2017-06-30,City Commissioner's Office,City Commissioners,73
102,5872200,841419,2018,Adopted Budget,Full Year,City Commissioners,2018-06-30,City Commissioner's Office,City Commissioners,73
102,5839015,841419,2018,Target Budget,Full Year,City Commissioners,2018-06-30,City Commissioner's Office,City Commissioners,73
100,5839015,841419,2018,Current Projection,Full Year,City Commissioners,2018-06-30,City Commissioner's Office,City Commissioners,73
176,12339907,10351,2015,Actual,Full Year,City Council,2015-06-30,City Council,,01
187,12842195,20234,2016,Actual,Full Year,City Council,2016-06-30,City Council,,01
194,13295341,35812,2017,Actual,Full Year,City Council,2017-06-30,City Council,,01
195,15207111,0,2018,Adopted Budget,Full Year,City Council,2018-06-30,City Council,,01
195,14824858,10000,2018,Target Budget,Full Year,City Council,2018-06-30,City Council,,01
192,14824858,10000,2018,Current Projection,Full Year,City Council,2018-06-30,City Council,,01
29,2176554,1055,2015,Actual,Full Year,City Planning Commission,2015-06-30,City Planning Commission,,51
31,2211557,0,2016,Actual,Full Year,City Planning Commission,2016-06-30,City Planning Commission,,51
30,2351776,7270,2017,Actual,Full Year,City Planning Commission,2017-06-30,City Planning Commission,,51
0,0,0,2018,Adopted Budget,Full Year,City Planning Commission,2018-06-30,City Planning Commission,,51
0,0,0,2018,Target Budget,Full Year,City Planning Commission,2018-06-30,City Planning Commission,,51
0,0,0,2018,Current Projection,Full Year,City Planning Commission,2018-06-30,City Planning Commission,,51
6,417223,8737,2015,Actual,Full Year,City Representative,2015-06-30,Office of the City Representative,City Rep,41
7,453196,7828,2016,Actual,Full Year,City Representative,2016-06-30,Office of the City Representative,City Rep,41
6,505031,4291,2017,Actual,Full Year,City Representative,2017-06-30,Office of the City Representative,City Rep,41
8,601690,7878,2018,Adopted Budget,Full Year,City Representative,2018-06-30,Office of the City Representative,City Rep,41
8,671438,5878,2018,Target Budget,Full Year,City Representative,2018-06-30,Office of the City Representative,City Rep,41
9,671438,5878,2018,Current Projection,Full Year,City Representative,2018-06-30,Office of the City Representative,City Rep,41
14,802019,0,2015,Actual,Full Year,City Treasurer,2015-06-30,Office of the City Treasurer,City Treasurer,40
15,985689,1049,2016,Actual,Full Year,City Treasurer,2016-06-30,Office of the City Treasurer,City Treasurer,40
14,979945,290,2017,Actual,Full Year,City Treasurer,2017-06-30,Office of the City Treasurer,City Treasurer,40
16,1062869,1000,2018,Adopted Budget,Full Year,City Treasurer,2018-06-30,Office of the City Treasurer,City Treasurer,40
16,1038648,1000,2018,Target Budget,Full Year,City Treasurer,2018-06-30,Office of the City Treasurer,City Treasurer,40
15,1038648,1000,2018,Current Projection,Full Year,City Treasurer,2018-06-30,Office of the City Treasurer,City Treasurer,40
2,153885,15,2015,Actual,Full Year,Civil Service Commission,2015-06-30,Civil Service Commission,,55
2,150173,0,2016,Actual,Full Year,Civil Service Commission,2016-06-30,Civil Service Commission,,55
2,161212,0,2017,Actual,Full Year,Civil Service Commission,2017-06-30,Civil Service Commission,,55
2,166376,0,2018,Adopted Budget,Full Year,Civil Service Commission,2018-06-30,Civil Service Commission,,55
2,162437,0,2018,Target Budget,Full Year,Civil Service Commission,2018-06-30,Civil Service Commission,,55
2,162437,0,2018,Current Projection,Full Year,Civil Service Commission,2018-06-30,Civil Service Commission,,55
21,1925310,2628,2015,Actual,Full Year,Commerce,2015-06-30,Office of the Director of Commerce,Commerce,42
34,2351610,1717,2016,Actual,Full Year,Commerce,2016-06-30,Office of the Director of Commerce,Commerce,42
28,2393155,914,2017,Actual,Full Year,Commerce,2017-06-30,Office of the Director of Commerce,Commerce,42
33,2340461,0,2018,Adopted Budget,Full Year,Commerce,2018-06-30,Office of the Director of Commerce,Commerce,42
