0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2007,,,,,FISCAL YEAR 2008,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,Genoral,Other,Total,Genoral,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,351,19,370,386,22,408,346,18,364,44
Managing Director (MDO),102,11,113,88,10,98,98,10,108,-10
Mayor,56,3,59,62,5,67,54,3,57,10
Mayor's Office of Comm. Svcs.,0,143,143,0,95,95,0,157,157,-62
Mural Arts Program,14,0,14,16,0,16,14,0,14,2
Off. of Behavioral Hith/Mental Retard. Svcs.,35,226,261,34,259,293,28,227,255,38
Off.of Supportive Housing,132,46,178,145,53,198,136,44,180,18
Office of Housing and Community Develop.,0,82,82,0,110,110,0,81,81,29
Personnel,70,0,70,79,0,79,73,0,73,6
Police Total,"7,424",161,7585,"7,508",166,7674,"7,398",163,7561,113
Civilian,812,11,823,884,11,895,814,10,824,71
Uniform,"6,612",150,6762,"6,624",155,6779,"6,584",153,6737,42
Prisons,"2,176",0,2176,"2,400",0,2400,"2,137",0,2137,263
Procurement,54,2,56,62,3,65,58,3,61,4
Public Health,664,217,881,738,260,998,648,212,860,138
Public Property,175,0,175,173,0,173,156,0,156,17
Records,70,0,70,76,0,76,70,0,70,6
Recroation,460,24,484,517,25,542,465,21,486,56
Register of Wills,69,0,69,70,0,70,67,0,67,3
Revenuo,237,205,442,271,274,545,250,209,459,86
Shoriff,241,0,241,263,0,263,243,0,243,20
Stroets,592,0,592,625,0,625,586,0,586,39
Stroets - Sanitation,"1,222",0,1222,"1,276",0,1276,"1,204",0,1204,72
Water,0,"1,713",1713,0,"1,971",1971,0,"1,742",1742,229
Zoning Board of Adjustment,4,0,4,5,0,5,4,0,4,1
Zoning Code Commission,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"23,050","4,602","27,652","23,987","5,368","29,355","22,982","4,614","27,596","1,754"
