0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2009,,,,,FISCAL YEAR 2010,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,309,14,323,330,14,344,285,12,297,47
Managing Director (MDO),128,3,131,123,9,132,123,10,133,(1)
Mayor,71,3,74,45,3,48,36,2,38,10
Mayor - Office of Arts and Culture,0,0,0,2,0,2,2,o,2,
Mayor - Office of the Inspector General,0,0,o,19,0,19,17,0,17,
Mayor's Office of Comm. Svcs.,87,84,171,0,o,0,0,79,79,(79)
Mayor's Office of Transportation,8,0,8,7,o,7,8,0,8,(1)
Mural Arts Program,12,0,12,12,o,12,12,o,12,0
Off. of Behavioral Hlth/Mental Retard. Svcs.,26,244,270,32,252,284,22,236,258,26
Office of Human Resources,64,o,64,70,0,70,59,0,59,
Off. of Supportive Housing,126,45,171,132,54,186,126,46,172,14
Office of Housing and Community Develop.,0,75,75,0,79,79,0,73,73,6
Police Total,"7,443",162,"7,605","7,494",166,"7,660","7,417",168,"7,585",75
Civilian,832,11,843,870,11,881,822,14,836,45
Uniform,"6,611",151,"6,762","6,624",155,"6,779","6,595",154,"6,749",30
Prisons,"2,067",0,"2,067","2,360",0,"2,360","2,061",0,"2,061",299
Procurement,50,2,52,50,1,51,47,2,49,2
Public Health,675,215,890,739,368,"1,107",660,217,877,230
Public Property,135,0,135,172,o,172,128,o,128,44
Records,64,0,64,63,o,63,59,0,59,4
Recreation,443,20,463,474,22,496,435,19,454,42
Register of Wills,65,0,65,64,0,64,63,0,63,1
Revenue,256,234,490,263,270,533,243,232,475,58
Sheriff,238,0,238,245,o,245,233,0,233,12
Streets,536,0,536,569,0,569,518,0,518,51
Streets Sanitation,"1,183",0,"1,183","1,228",0,"1,228","1,139",o,"1,139",89
Water,0,"1,719","1,719",0,"1,952","1,952",0,"1,686","1,686",266
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,1,0,1,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,717","4,570","27,287","23,497","5,205","28,702","22,144","4,563","26,707","1,995"
