0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2010,,,,,FISCAL YEAR 2011,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,305,11,316,320,16,336,279,12,291,45
Managing Director (MDO),112,15,127,122,8,130,121,14,135,(5)
Mayor,38,3,41,39,3,42,35,4,39,3
Mayor - Office of Arts and Culture,2,o,2,2,0,2,2,0,2,0
Mayor - Office of the Inspector General,15,0,15,19,0,19,16,0,16,3
Mayor's Office of Comm. Svcs.,0,75,75,0,88,88,0,74,74,14
Mayor's Office of Transportation,8,1,9,8,0,8,8,3,11,(3)
Mural Arts Program,12,0,12,12,0,12,11,0,11,1
Off. of Behavioral Hith/Mental Retard. Svcs.,22,236,258,24,272,296,21,229,250,46
Office of Human Resources,53,0,53,79,0,79,71,0,71,8
Office of Property Assessment (1),0,0,0,0,0,0,138,0,138,(138)
Off.of Supportive Housing,124,44,168,132,56,188,115,45,160,28
Office of Housing and Community Develop.,0,74,74,0,77,77,0,72,72,5
Parks and Recreation,435,21,456,689,27,716,591,21,612,104
Police Total,"7,378",168,"7,546","7,470",216,"7,686","7,263",164,"7,427",259
Civilian,782,16,798,846,11,857,827,11,838,19
Uniform,"6,596",152,"6,748","6,624",205,"6,829","6,436",153,"6,589",240
Prisons,"2,254",0,"2,254","2,360",0,"2,360","2,193",o,"2,193",167
Procurement,46,2,48,50,2,52,43,2,45,7
Public Health,662,213,875,742,285,"1,027",660,217,877,150
Public Property,123,0,123,136,0,136,125,0,125,11
Records,59,0,59,63,0,63,54,0,54,9
Register of Wills,63,0,63,64,0,64,65,0,65,(1)
Revenue,250,236,486,262,260,522,246,241,487,35
Sheriff,230,0,230,245,0,245,220,0,220,25
Streets,523,0,523,555,0,555,505,0,505,50
Streets Sanitation,"1,170",0,"1,170","1,271",0,"1,271","1,173",0,"1,173",98
Water,0,"1,672","1,672",0,"1,898","1,898",0,"1,628","1,628",270
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,2,0,2,2,0,2,2,o,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,297","4,566","26,863","23,339","5,358","28,697","22,029","4,579","26,608","2,227"
