0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2017,,,,,FISCAL YEAR 2018,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),127,0,127,140,0,140,116,0,116,24
Board of Ethics,11,0,11,12,0,12,10,0,10,2
Board of Pensions,0,59,59,0,73,73,0,56,56,17
Board of Revision of Taxes,13,0,13,16,0,16,11,0,11,5
City Commissioners (Election Board),99,0,99,102,0,102,100,0,100,2
City Council,194,0,194,195,0,195,192,0,192,3
City Planning Commission,30,6,36,0,0,0,0,0,0,0
City Representative,6,0,6,8,0,8,9,0,9,(1)
City Treasurer,14,0,14,16,0,16,15,0,15,1
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,28,774,802,33,911,944,31,822,853,91
District Attorney - Total,492,76,568,525,81,606,455,73,528,78
Civilian,459,60,519,489,64,553,416,62,478,75
Uniform,33,16,49,36,17,53,39,11,50,3
Finance,111,0,111,118,0,118,115,0,115,3
Fire Total,"2,281",229,"2,510","2,606",184,"2,790","2,511",74,"2,585",205
Civilian,110,3,113,120,3,123,119,3,122,1
Uniform,"2,171",226,"2,397","2,486",181,"2,667","2,392",71,"2,463",204
First Judicial District,"1,856",515,"2,371","1,877",493,"2,370","1,867",509,"2,376",(6)
Fleet Management,270,73,343,316,81,397,281,74,355,42
Free Library,643,13,656,692,16,708,649,12,661,47
Historical Commission,6,0,6,0,0,0,0,0,0,0
Human Relations Commission,31,0,31,34,0,34,32,0,32,2
Human Services (1),385,"1,192","1,577",517,"1,297","1,814",517,"1,026","1,543",271
"Labor, Mayor's Office of",16,0,16,23,0,23,20,0,20,3
Law,119,48,167,155,56,211,121,50,171,40
Licenses & Inspections,348,8,356,429,9,438,396,0,396,42
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
L&I-Zoning Board of Adjustment,5,0,5,0,0,0,0,0,0,0
Managing Director's Office,296,36,332,302,32,334,307,57,364,(30)
Mayor's Office,42,3,45,47,3,50,41,3,44,6
Mayor's Off. of Comm Empowerment/Oppor.,0,36,36,2,41,43,2,30,32,11
Mayor's Office of Transportation & Utilities,0,0,0,0,0,0,0,0,0,0
Mural Arts Program,10,0,10,11,0,11,11,0,11,0
Office of Arts and Culture,4,0,4,4,0,4,5,0,5,(1)
Office of Behavioral Hith/Intel. disAbility,16,232,248,16,257,273,16,240,256,17
