0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2011,,,,,FISCAL YEAR,2012,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),113,o,113,122,0,122,115,0,115,7
Board of Building Standards,1,0,1,1,0,1,1,o,1,o
Board of Ethics,8,0,8,9,o,9,8,o,8,1
Board of L & I Review,2,0,2,2,o,2,2,o,2,o
Board of Pensions,o,65,65,o,79,79,o,62,62,17
Board of Revision of Taxes,8,o,8,10,0,10,9,0,9,1
City Commissioners (Election Board),95,0,95,98,0,98,92,0,92,6
City Council,182,0,182,195,0,195,183,0,183,12
City Planning Commission,33,3,36,38,4,42,34,4,38,4
City Representative,6,0,6,7,o,7,6,o,6,1
City Treasurer,13,0,13,14,0,14,12,o,12,2
Civil Service Commission,2,0,2,2,o,2,2,0,2,0
Commerce,23,731,754,24,866,890,24,746,770,120
District Attorney Total,410,110,520,422,155,577,404,109,513,64
Civilian,396,101,497,411,133,544,393,101,494,50
Uniform,14,9,23,11,22,33,11,8,19,14
Finance,140,3,143,146,o,146,148,o,148,(2)
Fire Total,"2,146",72,"2,218","2,229",76,"2,305","2,121",75,"2,196",109
Uniform,"2,042",70,"2,112","2,119",72,"2,191","2,023",71,"2,094",97
Civilian,104,2,106,110,4,114,98,4,102,12
First Judicial District,"1,869",503,"2,372","1,909",562,"2,471","1,932",494,"2,426",45
Fleet Management,265,66,331,283,77,360,268,68,336,24
Free Library,619,63,682,641,80,721,614,51,665,56
Historical Commission,6,0,6,6,0,6,5,0,5,1
Human Relations Commission,30,0,30,32,o,32,31,0,31,1
Human Services (1),"1,668",48,"1,716",0,"1,902","1,902",0,"1,644","1,644",258
"Labor Relations, Mayor's Office of",6,0,6,8,o,8,8,o,8,0
Law,160,55,215,148,56,204,97,55,152,52
