0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2016,,,,,FISCAL YEAR 2017,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,0,0,0,63,0,63,55,0,55,8
Office of Community Schools and Pre-K,0,0,0,26,0,26,24,0,24,2
Office of Homeless Services,146,12,158,162,14,176,154,12,166,10
Office of Housing & Comm. Development,0,48,48,0,52,52,0,49,49,3
Office of Human Resources,84,0,84,90,0,90,80,0,80,10
Office of Innovation and Technology,271,80,351,283,88,371,265,94,359,12
Office of the Inspector General,19,0,19,19,0,19,19,0,19,0
Office of Planning and Development,0,0,0,3,0,3,3,0,3,0
Office of Property Assessment,200,0,200,223,0,223,201,0,201,22
Office of Sustainability,8,1,9,8,1,9,8,1,9,0
Parks and Recreation,593,19,612,720,24,744,598,30,628,116
Police Total,"6,942",179,"7,121","7,371",166,"7,537","6,987",176,"7,163",374
Civilian,793,10,803,846,11,857,810,10,820,37
Uniform,"6,149",169,"6,318","6,525",155,"6,680","6,177",166,"6,343",337
Prisons,"2,289",0,"2,289","2,325",0,"2,325","2,304",0,"2,304",21
Procurement,42,2,44,51,2,53,45,2,47,6
Public Health,653,153,806,773,224,997,660,161,821,176
Public Property,135,0,135,159,0,159,142,0,142,17
Records,57,0,57,63,0,63,54,0,54,9
Register of Wills,69,0,69,71,0,71,69,1,70,1
Revenue,378,231,609,438,285,723,394,234,628,95
Sheriff,330,0,330,380,0,380,335,0,335,45
Streets Sanitation,"1,145",0,"1,145","1,240",0,"1,240","1,170",0,"1,170",70
Streets - Transportation,531,0,531,561,0,561,516,0,516,45
Water,0,"1,796","1,796",0,"1,985","1,985",0,"1,795","1,795",190
Youth Commission,1,0,1,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,427","5,615","27,042","22,796","6,343","29,139","21,505","5,728","27,233","1,906"
