0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2019,,,,,FISCAL YEAR 2020,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,56,0,56,74,0,74,64,0,64,10
Office of Education,32,0,32,47,1,48,40,0,40,8
Office of Homeless Services,151,23,174,160,34,194,151,24,175,19
Office of Human Resources,77,0,77,88,0,88,79,0,79,9
Office of Innovation and Technology,277,92,369,316,126,442,317,97,414,28
Office of the Inspector General,18,0,18,21,0,21,16,0,16,5
Office of Property Assessment,196,0,196,251,0,251,195,0,195,56
Office of Sustainability,9,2,11,9,1,10,7,1,8,2
Parks and Recreation,647,27,674,759,32,791,647,25,672,119
Planning & Development,56,53,109,62,56,118,55,53,108,10
Police Total,"7,241",161,"7,402","7,443",166,"7,609","7,175",164,"7,339",270
Civilian,801,11,812,868,11,879,803,11,814,65
Uniform,"6,440",150,"6,590","6,575",155,"6,730","6,372",153,"6,525",205
Prisons,"2,130",0,"2,130","2,160",0,"2,160","1,975",0,"1,975",185
Procurement,41,2,43,50,2,52,42,1,43,9
Public Health,752,149,901,839,186,"1,025",739,146,885,140
Public Property,135,0,135,149,0,149,119,0,119,30
Records,55,0,55,59,0,59,51,0,51,8
Register of Wills,70,0,70,70,0,70,66,0,66,4
Revenue,405,206,611,458,232,690,402,205,607,83
Sheriff,355,0,355,428,0,428,385,0,385,43
Streets,"1,736",0,"1,736","1,982",0,"1,982","1,925",1,"1,926",56
Water,0,"1,891","1,891",0,"2,242","2,242",0,"1,989","1,989",253
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,210","5,873","28,083","23,774","6,742","30,516","22,422","5,917","28,339","2,177"
