0,1,2,3,4,5,6,7,8,9,10
,,FISCAL YEAR 2008,,,,,FISCAL YEAR,2009,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),121,0,121,140,0,140,126,0,126,14
Board of Building Standards,2,0,2,2,0,2,2,0,2,0
Board of Ethics,6,0,6,11,0,11,9,0,9,2
Board of L & I Review,3,0,3,3,0,3,3,0,3,0
Bd. of Pensions,0,59,59,0,79,79,0,65,65,14
Bd. of Revision of Taxes,139,0,139,145,0,145,137,0,137,8
Camp William Penn,1,0,1,0,0,0,1,0,1,(1)
"Capital Program Office, Mayor-",21,0,21,39,0,39,36,0,36,3
City Commissioners (Election Board),91,0,91,88,0,88,93,0,93,(5)
City Council,192,0,192,195,0,195,193,0,193,2
City Planning Commission,44,2,46,49,4,53,45,5,50,3
City Representative,0,0,0,13,0,13,8,0,8,5
City Treasurer,11,0,11,13,0,13,8,0,8,5
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Clerk of Quarter Sessions,117,0,117,121,0,121,118,0,118,3
Commerce,13,782,795,10,921,931,10,770,780,151
District Attorney - Total,437,109,546,450,131,581,456,107,563,18
Civilian,423,99,522,435,106,541,444,97,541,0
Uniform,14,10,24,15,25,40,12,10,22,18
Fairmount Park,156,1,157,189,1,190,154,1,155,35
Finance,170,10,180,169,5,174,172,7,179,(5)
Fire Total,"2,326",64,"2,390","2,505",78,"2,583","2,279",69,"2,348",235
Uniform,"2,225",61,"2,286","2,395",74,"2,469","2,174",65,"2,239",230
Civilian,101,3,104,110,4,114,105,4,109,5
First Judicial District,"1,970",439,"2,409","1,965",532,"2,497","1,947",468,"2,415",82
Fleet Management,307,60,367,329,78,407,311,58,369,38
Free Library,713,66,779,730,90,820,706,64,770,50
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,34,0,34,34,0,34,34,0,34,0
Human Services,"1,784",41,"1,825","1,871",61,"1,932","1,778",42,"1,820",112
"Information Services, Mayor's Office of",141,17,158,156,17,173,138,16,154,19
"Labor Relations, Mayor's Office of",7,0,7,7,0,7,7,0,7,0
Law,192,57,249,220,60,280,182,55,237,43
