0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2019,,,,,FISCAL YEAR 2020,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,0,0,0,0,0,0,0,0,0,0
Auditing (City Controller's Office),124,0,124,135,0,135,126,0,126,9
Board of Ethics,10,0,10,12,0,12,8,0,8,4
Board of Pensions,0,56,56,0,73,73,0,54,54,19
Board of Revision of Taxes,11,0,11,15,0,15,14,0,14,1
City Commissioners (Election Board),94,0,94,105,0,105,131,0,131,(26)
City Council,197,0,197,208,0,208,178,0,178,30
City Representative,8,0,8,10,0,10,9,0,9,1
City Treasurer,16,0,16,18,0,18,16,0,16,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,48,788,836,55,918,973,50,816,866,107
District Attorney - Total,491,75,566,513,84,597,551,78,629,(32)
Civilian,455,65,520,470,71,541,516,69,585,(44)
Uniform,36,10,46,43,13,56,35,9,44,12
Finance,116,0,116,124,0,124,121,0,121,3
Fire Total,"2,530",207,"2,737","2,704",202,"2,906","2,629",200,"2,829",77
Civilian,116,3,119,170,3,173,117,2,119,54
Uniform,"2,414",204,"2,618","2,534",199,"2,733","2,512",198,"2,710",23
First Judicial District,"1,842",507,"2,349","1,850",510,"2,360","1,851",468,"2,319",41
Fleet Management,286,78,364,310,84,394,285,79,364,30
Free Library,651,10,661,737,17,754,677,10,687,67
Human Relations Commission,32,0,32,35,0,35,34,0,34,1
Human Services (1),396,"1,139","1,535",437,"1,343","1,780",437,"1,042","1,479",301
"Labor, Mayor's Office of",22,0,22,30,0,30,21,0,21,9
Law,128,52,180,133,55,188,115,47,162,26
Licenses & Inspections,372,8,380,466,8,474,388,8,396,78
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,307,68,375,344,63,407,342,91,433,(26)
Mayor's Office,51,9,60,60,4,64,64,4,68,(4)
Mayor's Off. of Comm Empowerment/Oppor.,0,23,23,0,34,34,0,19,19,15
Mural Arts Program,11,0,11,12,0,12,10,0,10,2
Office of Arts and Culture,7,0,7,8,0,8,8,0,8,0
Office of Behavioral Hith/Intel. disAbility,16,246,262,23,268,291,21,236,257,34
