0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2007,,,,,FISCAL YEAR 2008,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,351,19,370,386,22,408,343,18,361,47
Managing Director (MDO),102,11,113,88,10,98,102,10,112,(14)
Mayor,56,3,59,62,5,67,68,3,71,(4)
Mayor's Office of Comm. Svcs.,0,143,143,0,95,95,0,165,165,(70)
Mural Arts Program,14,0,14,16,0,16,14,0,14,2
Off. of Behavioral Hlth/Mental Retard. Svcs.,35,226,261,34,259,293,29,237,266,27
Off. of Supportive Housing,132,46,178,145,53,198,131,45,176,22
Office of Housing and Community Develop.,0,82,82,0,110,110,0,79,79,31
Personnel,70,0,70,79,0,79,72,0,72,7
Police Total,"7,424",161,"7,585","7,508",166,"7,674","7,346",162,"7,508",166
Civilian,812,11,823,884,11,895,821,10,831,64
Uniform,"6,612",150,"6,762","6,624",155,"6,779","6,525",152,"6,677",102
Prisons,"2,176",0,"2,176","2,400",0,"2,400","2,102",0,"2,102",298
Procurement,54,2,56,62,3,65,57,3,60,5
Public Health,664,217,881,738,260,998,662,208,870,128
Public Property,175,0,175,173,0,173,154,0,154,19
Records,70,0,70,76,0,76,69,0,69,7
Recreation,460,24,484,517,25,542,458,24,482,60
Register of Wills,69,0,69,70,0,70,67,0,67,3
Revenue,237,205,442,271,274,545,255,217,472,73
Sheriff,241,0,241,263,0,263,244,0,244,19
Streets,592,0,592,625,0,625,579,0,579,46
Streets Sanitation,"1,222",0,"1,222","1,276",0,"1,276","1,220",0,"1,220",56
Water,0,"1,713","1,713",0,"1,971","1,971",0,"1,745","1,745",226
Zoning Board of Adjustment,4,0,4,5,0,5,4,0,4,1
Zoning Code Commission,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"23,050","4,602","27,652","23,987","5,368","29,355","23,013","4,626","27,639","1,711"
