0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2021,,,,,FISCAL YEAR 2022,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,59,0,59,77,0,77,61,0,61,16
Office of Children and Families,3,0,3,3,0,3,3,0,3,0
Office of Homeless Services,127,43,170,162,50,212,125,24,149,63
Office of Human Resources,75,0,75,80,0,80,72,0,72,8
Office of Innovation and Technology,313,102,415,364,127,491,307,103,410,81
Office of the Inspector General,18,0,18,19,0,19,17,0,17,2
Office of Property Assessment,190,0,190,223,0,223,185,0,185,38
Office of Sustainability,8,2,10,12,1,13,11,2,13,0
Parks and Recreation,644,26,670,763,32,795,612,26,638,157
Planning & Development,55,51,106,62,62,124,53,53,106,18
Police Total,"6,869",150,"7,019","7,304",148,"7,452","6,755",145,"6,900",552
Civilian,816,11,827,924,11,935,826,11,837,98
Uniform,"6,053",139,"6,192","6,380",137,"6,517","5,929",134,"6,063",454
Prisons,"1,620",0,"1,620","2,186",0,"2,186","1,484",0,"1,484",702
Procurement,35,2,37,42,2,44,35,2,37,7
Public Health,716,182,898,822,195,"1,017",713,171,884,133
Public Property,142,0,142,156,0,156,142,0,142,14
Records,51,0,51,54,0,54,50,0,50,4
Register of Wills,70,0,70,71,0,71,68,0,68,3
Revenue,386,193,579,399,221,620,342,168,510,110
Sheriff,367,0,367,428,0,428,352,0,352,76
Streets,"1,941",0,"1,941","2,045",0,"2,045","2,017",0,"2,017",28
Water,0,"1,922","1,922",0,"2,314","2,314",0,"1,938","1,938",376
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,630","5,579","27,209","24,438","6,595","31,033","21,305","5,428","26,733","4,300"
