0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2015,,,,,FISCAL YEAR 2016,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Housing & Comm. Development,0,56,56,0,58,58,0,48,48,10
Office of Human Resources,82,1,83,91,0,91,84,0,84,7
Office of Innovation and Technology,261,83,344,295,86,381,271,80,351,30
Office of the Inspector General,18,0,18,20,0,20,19,0,19,1
Office of Property Assessment,186,0,186,217,0,217,200,0,200,17
Office of Supportive Housing,135,13,148,159,12,171,146,12,158,13
Office of Sustainability,0,0,0,8,1,9,8,1,9,0
Parks and Recreation,598,28,626,706,24,730,593,19,612,118
Police Total,"7,061",179,"7,240","7,371",166,"7,537","6,942",179,"7,121",416
Civilian,776,11,787,846,11,857,793,10,803,54
Uniform,"6,285",168,"6,453","6,525",155,"6,680","6,149",169,"6,318",362
Prisons,"2,286",0,"2,286","2,325",0,"2,325","2,289",0,"2,289",36
Procurement,44,2,46,51,2,53,42,2,44,9
Public Health,653,155,808,781,231,"1,012",653,153,806,206
Public Property,137,0,137,159,0,159,135,0,135,24
Records,56,0,56,63,0,63,57,0,57,6
Register of Wills,64,0,64,64,0,64,69,0,69,(5)
Revenue,319,231,550,360,255,615,378,231,609,6
Sheriff,299,0,299,323,0,323,330,0,330,(7)
Streets Sanitation,"1,146",0,"1,146","1,233",0,"1,233","1,145",0,"1,145",88
Streets - Transportation,518,0,518,561,0,561,531,0,531,30
Water,0,"1,747","1,747",0,"1,959","1,959",0,"1,796","1,796",163
Youth Commission,2,0,2,2,0,2,1,0,1,1
,,,,,,,,,,
TOTAL ALL FUNDS,"21,166","5,626","26,792","22,553","6,436","28,989","21,427","5,615","27,042","1,947"
