0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2008,,,,,FISCAL YEAR 2009,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,356,18,374,374,17,391,330,14,344,47
Managing Director (MDO),95,9,104,163,3,166,124,3,127,39
Mayor,72,3,75,84,3,87,72,3,75,12
Mayor's Office of Comm. Svcs.,22,159,181,0,95,95,0,83,83,12
Mayor's Office of Transportation,0,0,0,6,0,6,8,o,8,(2)
Mural Arts Program,12,0,12,16,0,16,12,0,12,4
Off. of Behavioral Hlth/Mental Retard. Svcs.,28,234,262,33,264,297,26,242,268,29
Off.of Supportive Housing,126,49,175,138,55,193,133,46,179,14
Office of Housing and Community Develop.,0,79,79,0,90,90,0,76,76,14
Personnel,68,0,68,78,0,78,65,0,65,13
Police Total,"7,367",164,"7,531","7,735",166,"7,901","7,516",164,"7,680",221
Civilian,837,9,846,911,11,922,842,11,853,69
Uniform,"6,530",155,"6,685","6,824",155,"6,979","6,674",153,"6,827",152
Prisons,"2,131",0,"2,131","2,400",0,"2,400","2,026",0,"2,026",374
Procurement,58,3,61,62,3,65,49,2,51,14
Public Health,665,215,880,757,251,"1,008",672,218,890,118
Public Property,165,0,165,178,0,178,137,0,137,41
Records,70,0,70,76,0,76,68,0,68,8
Recreation,464,21,485,517,25,542,447,20,467,75
Register of Wills,68,0,68,70,0,70,67,0,67,3
Revenue,252,222,474,271,260,531,258,225,483,48
Sheriff,238,0,238,263,0,263,241,0,241,22
Streets,591,1,592,625,0,625,577,0,577,48
Streets Sanitation,"1,248",0,"1,248","1,341",0,"1,341","1,196",0,"1,196",145
Water,0,"1,758","1,758",0,"1,988","1,988",0,"1,729","1,729",259
Youth Commission,0,0,0,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,0,0,0,2,0,2,1,0,1,1
,,,,,,,,,,
TOTAL ALL FUNDS,"23,111","4,642","27,753","24,661","5,277","29,938","22,880","4,589","27,469","2,469"
