0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2018,,,,,FISCAL YEAR 2019,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,58,2,60,64,2,66,58,0,58,8
Office of Community Schools and Pre-K,33,0,33,36,1,37,29,0,29,8
Office of Homeless Services,150,27,177,157,31,188,155,27,182,6
Office of Housing & Comm. Development,0,0,0,0,0,0,0,0,0,0
Office of Human Resources,78,0,78,85,0,85,79,0,79,6
Office of Innovation and Technology,284,91,375,293,120,413,277,92,369,44
Office of the Inspector General,19,0,19,21,0,21,18,0,18,3
Office of Property Assessment,193,0,193,225,0,225,194,0,194,31
Office of Sustainability,9,0,9,8,1,9,10,0,10,(1)
Parks and Recreation,629,29,658,750,29,779,632,27,659,120
Planning & Development,49,53,102,58,56,114,56,52,108,6
Police Total,"7,172",161,"7,333","7,371",166,"7,537","7,228",162,"7,390",147
Civilian,776,11,787,846,11,857,807,11,818,39
Uniform,"6,396",150,"6,546","6,525",155,"6,680","6,421",151,"6,572",108
Prisons,"2,177",0,"2,177","2,325",0,"2,325","2,154",0,"2,154",171
Procurement,46,1,47,50,2,52,44,2,46,6
Public Health,711,160,871,834,216,"1,050",728,149,877,173
Public Property,135,0,135,150,0,150,138,0,138,12
Records,57,0,57,59,0,59,58,0,58,1
Register of Wills,71,0,71,70,0,70,71,0,71,(1)
Revenue,414,205,619,437,232,669,405,245,650,19
Sheriff,364,0,364,410,0,410,363,0,363,47
Streets,"1,738",0,"1,738","1,912",0,"1,912","1,761",0,"1,761",151
Water,0,"1,886","1,886",0,"2,188","2,188",0,"1,832","1,832",356
"Water,Sewer & Stormwater Rate Board",0,0,0,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,226","5,641","27,867","23,458","6,625","30,083","22,170","5,825","27,995","2,088"
