0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2014,,,,,FISCAL YEAR 2015,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Housing & Comm. Development,0,56,56,0,58,58,0,56,56,2
Office of Human Resources,79,0,79,92,0,92,82,1,83,9
Office of Innovation and Technology,259,71,330,305,86,391,261,83,344,47
Office of the Inspector General,16,0,16,18,0,18,18,0,18,0
Office of Property Assessment,179,0,179,217,0,217,186,0,186,31
Office of Supportive Housing,154,9,163,159,12,171,135,13,148,23
Parks and Recreation,600,22,622,701,24,725,598,28,626,99
Police Total,"7,095",165,"7,260","7,371",166,"7,537","7,061",179,"7,240",297
Civilian,792,11,803,846,11,857,776,11,787,70
Uniform,"6,303",154,"6,457","6,525",155,"6,680","6,285",168,"6,453",227
Prisons,"2,268",0,"2,268","2,310",0,"2,310","2,286",0,"2,286",24
Procurement,47,2,49,50,2,52,44,2,46,6
Public Health,659,169,828,762,231,993,653,155,808,185
Public Property,133,0,133,159,0,159,137,0,137,22
Records,55,0,55,63,0,63,56,0,56,7
Register of Wills,62,0,62,63,0,63,64,0,64,(1)
Revenue,290,229,519,339,251,590,319,231,550,40
Sheriff,277,0,277,311,0,311,299,0,299,12
Streets Sanitation,"1,153",0,"1,153","1,228",0,"1,228","1,146",0,"1,146",82
Streets - Transportation,531,0,531,561,0,561,518,0,518,43
Water,0,"1,744","1,744",0,"1,947","1,947",0,"1,747","1,747",200
Youth Commission,2,0,2,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"20,991","5,657","26,648","22,315","6,421","28,736","21,166","5,626","26,792","1,944"
