0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2009,,,,,FISCAL YEAR 2010,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,309,14,323,330,14,344,295,12,307,37
Managing Director (MDO),128,3,131,148,9,157,147,11,158,(1)
Mayor,71,3,74,45,3,48,36,3,39,9
Mayor - Office of Arts and Culture,o,o,0,2,o,2,2,0,2,
Mayor - Office of the Inspector General,0,0,o,19,0,19,16,0,16,
Mayor's Office of Comm. Svcs.,0,84,84,0,0,o,o,76,76,(76)
Mayor's Office of Transportation,8,0,8,7,o,7,8,o,8,(1)
Mural Arts Program,12,0,12,12,o,12,12,o,12,0
Off. of Behavioral Hith/Mental Retard. Svcs.,26,244,270,32,252,284,24,237,261,23
Office of Human Resources,64,o,64,70,0,70,61,o,61,
Off.of Supportive Housing,126,45,171,132,54,186,133,44,177,9
Office of Housing and Community Develop.,0,75,75,0,79,79,0,75,75,4
Police Total,"7,443",162,"7,605","7,494",166,"7,660","7,332",165,"7,497",163
Civilian,832,11,843,870,11,881,824,11,835,46
Uniform,"6,611",151,"6,762","6,624",155,"6,779","6,508",154,"6,662",117
Prisons,"2,067",0,"2,067","2,360",0,"2,360","2,324",o,"2,324",36
Procurement,50,2,52,50,1,51,47,2,49,2
Public Health,675,215,890,739,368,"1,107",669,219,888,219
Public Property,135,0,135,172,0,172,129,0,129,43
Records,64,o,64,63,o,63,60,0,60,3
Recreation,443,20,463,474,22,496,438,18,456,40
Register of Wills,65,o,65,64,o,64,62,0,62,2
Revenue,256,234,490,263,270,533,248,229,477,56
Sheriff,238,0,238,245,0,245,236,0,236,9
Streets,536,o,536,569,0,569,523,0,523,46
Streets Sanitation,"1,183",o,"1,183","1,228",o,"1,228","1,154",o,"1,154",74
Water,0,"1,719","1,719",0,"1,952","1,952",o,"1,702","1,702",250
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,o,5,5,0,5,5,0,5,0
Zoning Code Commission,1,o,1,2,o,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,630","4,570","27,200","23,522","5,205","28,727","22,488","4,569","27,057","1,670"
