0,1,2,3,4,5,6,7,8,9,10
,,FISCAL YEAR 2007,,,,,FISCAL YEAR 2008,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,5,0,5,5,0,5,0
Auditing (City Controller's Office),120,0,120,140,0,140,118,0,118,22
Board of Building Standards,2,0,2,2,0,2,2,0,2,0
Board of Ethics,0,0,0,9,0,9,4,0,4,5
Board of L & I Review,3,0,3,3,0,3,3,0,3,0
Bd. of Pensions,0,65,65,0,81,81,0,61,61,20
Bd. of Revision of Taxes,128,0,128,138,0,138,134,0,134,4
Camp William Penn,3,0,3,4,0,4,4,0,4,0
"Capital Program Office, Mayor-",14,0,14,24,0,24,24,0,24,0
City Commissioners (Election Board),90,0,90,88,0,88,91,0,91,(3)
City Council,187,0,187,195,0,195,190,0,190,5
City Planning Commission,44,6,50,49,4,53,44,6,50,3
City Rep. / Commerce,12,745,757,16,951,967,17,761,778,189
City Treasurer,11,0,11,13,0,13,11,0,11,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Clerk of Quarter Sessions,114,0,114,121,0,121,112,0,112,9
District Attorney - Total,424,111,535,442,144,586,441,113,554,32
Civilian,414,99,513,425,120,545,427,103,530,15
Uniform,10,12,22,17,24,41,14,10,24,17
Fairmount Park,155,1,156,169,1,170,156,1,157,13
Finance,164,10,174,169,8,177,163,12,175,2
Fire Total,"2,399",58,"2,457","2,425",78,"2,503","2,356",65,"2,421",82
Uniform,"2,302",54,"2,356","2,315",74,"2,389","2,252",62,"2,314",75
Civilian,97,4,101,110,4,114,104,3,107,7
First Judicial District,"1,928",485,"2,413","1,920",533,"2,453","1,973",443,"2,416",37
Fleet Management,300,69,369,321,77,398,314,65,379,19
Free Library,724,75,799,739,95,834,719,66,785,49
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,35,0,35,34,0,34,33,0,33,1
Human Services,"1,721",54,"1,775","1,817",63,"1,880","1,768",45,"1,813",67
"Information Services, Mayor's Office of",112,16,128,153,17,170,145,16,161,9
"Labor Relations, Mayor's Office of",7,0,7,7,0,7,7,0,7,0
Law,193,55,248,182,63,245,195,56,251,(6)
