0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2013,,,,,FISCAL YEAR 2014,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Housing & Comm. Development,0,58,58,0,58,58,0,57,57,1
Office of Human Resources,78,0,78,92,0,92,80,0,80,12
Office of Innovation and Technology,255,69,324,298,84,382,256,70,326,56
Office of the Inspector General,18,0,18,21,0,21,17,0,17,4
Office of Property Assessment,173,0,173,218,0,218,173,0,173,45
Office of Supportive Housing,145,9,154,157,10,167,152,8,160,7
Parks and Recreation,568,21,589,692,24,716,598,20,618,98
Police Total,"7,193",164,"7,357","7,371",166,"7,537","7,083",164,"7,247",290
Civilian,815,10,825,846,10,856,791,11,802,54
Uniform,"6,378",154,"6,532","6,525",156,"6,681","6,292",153,"6,445",236
Prisons,"2,248",0,"2,248","2,310",0,"2,310","2,293",0,"2,293",17
Procurement,45,2,47,49,2,51,44,3,47,4
Public Health,673,169,842,762,230,992,674,170,844,148
Public Property,123,0,123,161,0,161,124,0,124,37
Records,59,0,59,63,0,63,60,0,60,3
Register of Wills,64,0,64,63,0,63,62,0,62,1
Revenue,282,239,521,328,270,598,282,223,505,93
Sheriff,231,0,231,255,0,255,258,0,258,(3)
Streets Sanitation,"1,165",0,"1,165","1,228",0,"1,228","1,169",0,"1,169",59
Streets - Transportation,525,0,525,561,0,561,521,0,521,40
Water,0,"1,698","1,698",0,"1,905","1,905",0,"1,721","1,721",184
Youth Commission,1,0,1,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"20,925","5,547","26,472","22,289","6,291","28,580","20,993","5,660","26,653","1,927"
