0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2012,,,,,FISCAL YEAR 2013,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),111,0,111,124,0,124,112,0,112,12
Board of Building Standards,1,0,1,1,0,1,1,0,1,0
Board of Ethics,8,0,8,11,0,11,9,0,9,2
Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Board of Pensions,0,65,65,0,79,79,0,57,57,22
Board of Revision of Taxes,8,0,8,10,0,10,9,0,9,1
City Commissioners (Election Board),91,0,91,98,0,98,89,0,89,9
City Council,175,0,175,195,0,195,175,0,175,20
City Planning Commission,34,3,37,33,4,37,33,3,36,1
City Representative,6,0,6,6,0,6,7,0,7,(1)
City Treasurer,14,0,14,14,0,14,14,0,14,0
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,18,731,749,24,866,890,24,758,782,108
District Attorney - Total,414,110,524,411,155,566,434,110,544,22
Civilian,400,101,501,399,133,532,417,102,519,13
Uniform,14,9,23,12,22,34,17,8,25,9
Finance,156,3,159,156,0,156,153,0,153,3
Fire Total,"2,072",72,"2,144","2,327",76,"2,403","2,186",74,"2,260",143
Uniform,"1,969",70,"2,039","2,217",72,"2,289","2,087",70,"2,157",132
Civilian,103,2,105,110,4,114,99,4,103,11
First Judicial District,"1,957",503,"2,460","1,948",562,"2,510","1,957",471,"2,428",82
Fleet Management,268,66,334,283,77,360,271,74,345,15
Free Library,608,63,671,638,80,718,608,28,636,82
Historical Commission,4,0,4,6,0,6,5,0,5,1
Human Relations Commission,29,0,29,33,0,33,29,0,29,4
Human Services (1),804,48,852,804,816,"1,620",342,"1,278","1,620",0
"Labor Relations, Mayor's Office of",8,0,8,8,0,8,8,0,8,0
Law,105,55,160,140,56,196,137,56,193,3
