0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2014,,,,,FISCAL YEAR 2015,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Housing & Comm. Development,0,56,56,0,58,58,0,55,55,3
Office of Human Resources,79,0,79,92,0,92,83,0,83,9
Office of Innovation and Technology,259,71,330,305,86,391,256,84,340,51
Office of the Inspector General,16,0,16,18,0,18,17,0,17,1
Office of Property Assessment,179,0,179,217,0,217,188,0,188,29
Office of Supportive Housing,154,9,163,159,12,171,139,12,151,20
Parks and Recreation,600,22,622,701,24,725,599,29,628,97
Police Total,"7,095",165,"7,260","7,371",166,"7,537","7,023",177,"7,200",337
Civilian,792,11,803,846,11,857,779,11,790,67
Uniform,"6,303",154,"6,457","6,525",155,"6,680","6,244",166,"6,410",270
Prisons,"2,268",0,"2,268","2,310",0,"2,310","2,310",0,"2,310",0
Procurement,47,2,49,50,2,52,44,1,45,7
Public Health,659,169,828,762,231,993,637,166,803,190
Public Property,133,0,133,159,0,159,137,0,137,22
Records,55,0,55,63,0,63,54,0,54,9
Register of Wills,62,0,62,63,0,63,65,0,65,(2)
Revenue,290,229,519,339,251,590,312,225,537,53
Sheriff,277,0,277,311,0,311,294,0,294,17
Streets Sanitation,"1,153",0,"1,153","1,228",0,"1,228","1,110",0,"1,110",118
Streets - Transportation,531,0,531,561,0,561,508,0,508,53
Water,0,"1,744","1,744",0,"1,947","1,947",0,"1,722","1,722",225
Youth Commission,2,0,2,2,0,2,1,0,1,1
,,,,,,,,,,
TOTAL ALL FUNDS,"20,991","5,657","26,648","22,315","6,421","28,736","21,005","5,545","26,550","2,186"
