0,1,2,3,4,5,6,7,8,9,10
,FISCAL YEAR,YEAR 2010 END ACTUAL,,,ADOPTED BUDGET,,FISCAL YEAR 2011 MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,305,11,316,320,16,336,290,12,302,34
Managing Director (MDO),112,15,127,122,8,130,153,17,170,(40)
Mayor,38,3,41,39,3,42,33,4,37,5
Mayor - Office of Arts and Culture,2,0,2,2,0,2,2,0,2,0
Mayor - Office of the Inspector General,15,0,15,19,0,19,16,0,16,3
Mayor's Office of Comm. Svcs.,0,75,75,0,88,88,o,73,73,15
Mayor's Office of Transportation,8,1,9,8,0,8,8,2,10,(2)
Mural Arts Program,12,0,12,12,0,12,12,0,12,0
Off. of Behavioral Hlth/Mental Retard. Svcs.,22,236,258,24,272,296,21,232,253,43
Office of Human Resources,53,0,53,79,0,79,73,0,73,6
Office of Property Assessment (1),0,0,0,0,0,0,132,0,132,(132)
Off. of Supportive Housing,124,44,168,132,56,188,116,44,160,28
Office of Housing and Community Develop.,0,74,74,o,77,77,0,72,72,5
Parks and Recreation,435,21,456,689,27,716,590,22,612,104
Police Total,"7,378",168,"7,546","7,470",216,"7,686","7,219",165,"7,384",302
Civilian,782,16,798,846,11,857,778,11,789,68
Uniform,"6,596",152,"6,748","6,624",205,"6,829","6,441",154,"6,595",234
Prisons,"2,254",0,"2,254","2,360",0,"2,360","2,166",o,"2,166",194
Procurement,46,2,48,50,2,52,45,2,47,5
Public Health,662,213,875,742,285,"1,027",661,224,885,142
Public Property,123,0,123,136,0,136,126,0,126,10
Records,59,0,59,63,0,63,61,0,61,2
Register of Wills,63,0,63,64,0,64,63,0,63,1
Revenue,250,236,486,262,260,522,248,239,487,35
Sheriff,230,0,230,245,0,245,221,0,221,24
Streets,523,0,523,555,0,555,510,0,510,45
Streets Sanitation,"1,170",0,"1,170","1,228",0,"1,228","1,179",0,"1,179",49
Water,0,"1,672","1,672",0,"1,898","1,898",0,"1,646","1,646",252
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,2,0,2,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,297","4,566","26,863","23,296","5,358","28,654","22,020","4,540","26,560","2,094"
