0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2012,,,,,FISCAL YEAR 2013,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),111,0,111,124,0,124,118,0,118,6
Board of Building Standards,1,0,1,1,0,1,1,0,1,0
Board of Ethics,8,0,8,11,0,11,8,0,8,3
Board of L & I Review,2,0,2,2,0,2,1,0,1,1
Board of Pensions,0,65,65,0,79,79,0,53,53,26
Board of Revision of Taxes,8,0,8,10,0,10,7,0,7,3
City Commissioners (Election Board),91,0,91,98,0,98,90,0,90,8
City Council,175,0,175,195,0,195,173,0,173,22
City Planning Commission,34,3,37,33,4,37,31,3,34,3
City Representative,6,0,6,6,0,6,8,0,8,(2)
City Treasurer,14,0,14,14,0,14,13,0,13,1
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,18,731,749,24,866,890,20,783,803,87
District Attorney - Total,414,110,524,411,155,566,419,105,524,42
Civilian,400,101,501,399,133,532,405,96,501,31
Uniform,14,9,23,12,22,34,14,9,23,11
Finance,156,3,159,156,0,156,163,0,163,(7)
Fire Total,"2,072",72,"2,144","2,327",76,"2,403","2,125",77,"2,202",201
Uniform,"1,969",70,"2,039","2,217",72,"2,289","2,028",74,"2,102",187
Civilian,103,2,105,110,4,114,97,3,100,14
First Judicial District,"1,957",503,"2,460","1,948",562,"2,510","1,909",451,"2,360",150
Fleet Management,268,66,334,283,77,360,273,72,345,15
Free Library,608,63,671,638,80,718,609,22,631,87
Historical Commission,4,0,4,6,0,6,5,0,5,1
Human Relations Commission,29,0,29,33,0,33,29,o,29,4
Human Services (1),804,48,852,804,816,"1,620",349,"1,200","1,549",71
"Labor Relations, Mayor's Office of",8,0,8,8,0,8,7,0,7,1
Law,105,55,160,140,56,196,138,54,192,4
