0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2014,,,,,FISCAL YEAR 2015,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Housing & Comm. Development,0,56,56,0,58,58,0,56,56,2
Office of Human Resources,79,0,79,92,0,92,84,0,84,8
Office of Innovation and Technology,259,71,330,305,86,391,253,79,332,59
Office of the Inspector General,16,0,16,18,0,18,18,0,18,0
Office of Property Assessment,179,0,179,217,0,217,182,0,182,35
Office of Supportive Housing,154,9,163,159,12,171,142,9,151,20
Parks and Recreation,600,22,622,701,24,725,581,29,610,115
Police Total,"7,095",165,"7,260","7,371",166,"7,537","7,058",180,"7,238",299
Civilian,792,11,803,846,11,857,811,10,821,36
Uniform,"6,303",154,"6,457","6,525",155,"6,680","6,247",170,"6,417",263
Prisons,"2,268",0,"2,268","2,310",0,"2,310","2,290",0,"2,290",20
Procurement,47,2,49,50,2,52,45,3,48,4
Public Health,659,169,828,762,231,993,643,168,811,182
Public Property,133,0,133,159,0,159,131,0,131,28
Records,55,0,55,63,0,63,57,0,57,6
Register of Wills,62,0,62,63,0,63,62,0,62,1
Revenue,290,229,519,339,251,590,294,227,521,69
Sheriff,277,0,277,311,0,311,288,0,288,23
Streets Sanitation,"1,153",0,"1,153","1,228",0,"1,228","1,133",0,"1,133",95
Streets - Transportation,531,0,531,561,0,561,527,0,527,34
Water,0,"1,744","1,744",0,"1,947","1,947",0,"1,730","1,730",217
Youth Commission,2,0,2,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"20,991","5,657","26,648","22,315","6,421","28,736","20,995","5,627","26,622","2,114"
