0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2016,,,,,FISCAL YEAR 2017,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,0,0,0,63,0,63,58,0,58,5
Office of Community Schools and Pre-K,0,0,0,26,0,26,32,0,32,(6)
Office of Homeless Services,146,12,158,162,14,176,150,12,162,14
Office of Housing & Comm. Development,0,48,48,0,52,52,0,49,49,3
Office of Human Resources,84,0,84,90,0,90,85,0,85,5
Office of Innovation and Technology,271,80,351,283,88,371,273,86,359,12
Office of the Inspector General,19,0,19,19,0,19,17,0,17,2
Office of Planning and Development,0,0,0,3,0,3,3,0,3,0
Office of Property Assessment,200,0,200,223,0,223,198,0,198,25
Office of Sustainability,8,1,9,8,1,9,8,1,9,0
Parks and Recreation,593,19,612,720,24,744,594,22,616,128
Police Total,"6,942",179,"7,121","7,371",166,"7,537","6,933",163,"7,096",441
Civilian,793,10,803,846,11,857,825,10,835,22
Uniform,"6,149",169,"6,318","6,525",155,"6,680","6,108",153,"6,261",419
Prisons,"2,289",0,"2,289","2,325",0,"2,325","2,325",0,"2,325",0
Procurement,42,2,44,51,2,53,46,2,48,5
Public Health,653,153,806,773,224,997,675,161,836,161
Public Property,135,0,135,159,0,159,149,0,149,10
Records,57,0,57,63,0,63,53,0,53,10
Register of Wills,69,0,69,71,0,71,71,0,71,0
Revenue,378,231,609,438,285,723,391,237,628,95
Sheriff,330,0,330,380,0,380,345,0,345,35
Streets Sanitation,"1,145",0,"1,145","1,240",0,"1,240","1,174",0,"1,174",66
Streets - Transportation,531,0,531,561,0,561,518,1,519,42
Water,0,"1,796","1,796",0,"1,985","1,985",0,"1,817","1,817",168
Youth Commission,1,0,1,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,427","5,615","27,042","22,796","6,343","29,139","21,556","5,798","27,354","1,785"
