0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2013,,,,,FISCAL YEAR 2014,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),118,0,118,123,0,123,111,0,111,12
Board of Ethics,8,0,8,12,0,12,9,0,9,3
Board of Pensions,0,53,53,0,77,77,0,54,54,23
Board of Revision of Taxes,7,0,7,9,0,9,9,0,9,0
City Commissioners (Election Board),90,0,90,98,0,98,85,0,85,13
City Council,173,0,173,195,0,195,174,0,174,21
City Planning Commission,31,3,34,33,4,37,28,3,31,6
City Representative,8,0,8,7,0,7,7,0,7,0
City Treasurer,13,0,13,14,0,14,13,0,13,1
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,20,783,803,27,863,890,27,779,806,84
District Attorney - Total,419,105,524,419,140,559,445,95,540,19
Civilian,405,96,501,405,136,541,431,85,516,25
Uniform,14,9,23,14,4,18,14,10,24,(6)
Finance,163,0,163,170,0,170,169,0,169,1
Fire Total,"2,125",77,"2,202","2,328",79,"2,407","2,087",192,"2,279",128
Civilian,97,3,100,112,4,116,101,3,104,12
Uniform,"2,028",74,"2,102","2,216",75,"2,291","1,986",189,"2,175",116
First Judicial District,"1,909",451,"2,360","1,953",472,"2,425","1,871",462,"2,333",92
Fleet Management,273,72,345,283,78,361,267,69,336,25
Free Library,609,22,631,654,26,680,597,23,620,60
Historical Commission,5,0,5,6,0,6,6,0,6,0
Human Relations Commission,29,0,29,34,0,34,30,0,30,4
Human Services (1),377,"1,172","1,549",442,"1,396","1,838",349,"1,247","1,596",242
"Labor Relations, Mayor's Office of",7,0,7,8,0,8,7,0,7,1
Law,138,54,192,147,57,204,147,51,198,6
Licenses & Inspections,292,8,300,320,9,329,305,7,312,17
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,1,0,1,2,0,2,2,0,2,0
L&I-Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Managing Director's Office,156,22,178,269,21,290,272,24,296,(6)
Mayor's Office,36,3,39,47,3,50,44,3,47,3
Mayor's Off. of Comm Empowerment/Oppor.,15,66,81,0,69,69,0,45,45,24
Mayor's Office of Transportation & Utilities,13,2,15,15,2,17,13,3,16,1
Mural Arts Program,11,0,11,11,0,11,11,0,11,0
Office of Arts and Culture,2,0,2,2,0,2,1,0,1,1
Office of Behavioral Hith/Intel. disAbility,19,225,244,18,246,264,16,227,243,21
