0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2017,,,,,FISCAL YEAR 2018,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of Chief Administrative Officer,55,0,55,62,0,62,58,2,60,2
Office of Community Schools and Pre-K,32,0,32,36,0,36,33,0,33,3
Office of Homeless Services,146,18,164,157,25,182,150,27,177,5
Office of Housing & Comm. Development,0,48,48,0,0,0,0,0,0,0
Office of Human Resources,85,0,85,81,0,81,78,0,78,3
Office of Innovation and Technology,274,88,362,294,107,401,284,91,375,26
Office of the Inspector General,18,0,18,19,0,19,19,0,19,0
Office of Planning and Development,4,0,4,0,0,0,0,0,0,0
Office of Property Assessment,199,0,199,223,0,223,193,0,193,30
Office of Sustainability,7,1,8,8,1,9,9,0,9,0
Parks and Recreation,607,22,629,748,24,772,629,29,658,114
Planning & Development,0,0,0,47,57,104,49,53,102,2
Police Total,"6,986",162,"7,148","7,371",166,"7,537","7,172",161,"7,333",204
Civilian,812,10,822,846,11,857,776,11,787,70
Uniform,"6,174",152,"6,326","6,525",155,"6,680","6,396",150,"6,546",134
Prisons,"2,277",0,"2,277","2,325",0,"2,325","2,177",0,"2,177",148
Procurement,44,2,46,51,2,53,46,1,47,6
Public Health,687,154,841,826,219,"1,045",711,160,871,174
Public Property,146,0,146,158,0,158,135,0,135,23
Records,57,0,57,63,0,63,57,0,57,6
Register of Wills,72,0,72,74,0,74,71,0,71,3
Revenue,402,241,643,436,232,668,414,205,619,49
Sheriff,348,0,348,408,0,408,364,0,364,44
Streets,"1,702",1,"1,703","1,819",0,"1,819","1,738",0,"1,738",81
Water,0,"1,812","1,812",0,"2,072","2,072",0,"1,886","1,886",186
Water Rate Board,0,0,0,0,1,1,0,0,0,1
Youth Commission,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,610","5,849","27,459","23,411","6,440","29,851","22,226","5,641","27,867","1,984"
