0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2018,,,,,FISCAL YEAR 2019,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,0,0,0,0,0,0,0
Auditing (City Controller's Office),116,0,116,134,0,134,124,1,125,9
Board of Ethics,10,0,10,12,0,12,10,0,10,2
Board of Pensions,0,56,56,0,73,73,0,56,56,17
Board of Revision of Taxes,11,0,11,15,0,15,11,0,11,4
City Commissioners (Election Board),100,0,100,105,0,105,94,0,94,11
City Council,192,0,192,195,0,195,197,0,197,(2)
City Representative,9,0,9,9,0,9,8,0,8,1
City Treasurer,15,0,15,16,0,16,16,0,16,0
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,31,822,853,32,910,942,48,788,836,106
District Attorney - Total,455,73,528,513,76,589,491,75,566,23
Civilian,416,62,478,470,64,534,455,65,520,14
Uniform,39,11,50,43,12,55,36,10,46,9
Finance,115,0,115,123,0,123,116,0,116,7
Fire Total,"2,511",74,"2,585","2,672",179,"2,851","2,530",207,"2,737",114
Civilian,119,3,122,141,3,144,116,3,119,25
Uniform,"2,392",71,"2,463","2,531",176,"2,707","2,414",204,"2,618",89
First Judicial District,"1,867",509,"2,376","1,841",493,"2,334","1,842",507,"2,349",(15)
Fleet Management,281,74,355,306,83,389,286,78,364,25
Free Library,649,12,661,692,16,708,651,10,661,47
Human Relations Commission,32,0,32,34,0,34,32,0,32,2
Human Services (1),517,"1,026","1,543",460,"1,330","1,790",396,"1,139","1,535",255
"Labor, Mayor's Office of",20,0,20,23,0,23,22,0,22,1
Law,121,50,171,129,54,183,128,52,180,3
Licenses & Inspections,396,0,396,429,9,438,372,8,380,58
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,307,57,364,312,57,369,307,68,375,(6)
Mayor's Office,41,3,44,53,3,56,51,9,60,(4)
Mayor's Off. of Comm Empowerment/Oppor.,2,30,32,0,36,36,0,23,23,13
Mural Arts Program,11,0,11,12,0,12,11,0,11,1
Office of Arts and Culture,5,0,5,5,0,5,7,0,7,(2)
Office of Behavioral Hith/Intel. disAbility,16,240,256,16,261,277,16,246,262,15
