0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2019,,,,,FISCAL YEAR 2020,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,0,0,0,0,0,0,0,0,0,0
Auditing (City Controller's Office),124,0,124,135,0,135,127,0,127,8
Board of Ethics,10,0,10,12,0,12,10,0,10,2
Board of Pensions,0,56,56,0,73,73,0,56,56,17
Board of Revision of Taxes,11,0,11,15,0,15,15,0,15,0
City Commissioners (Election Board),94,0,94,105,0,105,96,0,96,9
City Council,197,0,197,208,0,208,195,0,195,13
City Representative,8,0,8,10,0,10,9,0,9,1
City Treasurer,16,0,16,18,0,18,16,0,16,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,48,788,836,55,918,973,49,831,880,93
District Attorney - Total,491,75,566,513,84,597,548,78,626,(29)
Civilian,455,65,520,470,71,541,511,69,580,(39)
Uniform,36,10,46,43,13,56,37,9,46,10
Finance,116,0,116,124,0,124,120,0,120,4
Fire Total,"2,530",207,"2,737","2,704",202,"2,906","2,560",200,"2,760",146
Civilian,116,3,119,170,3,173,124,3,127,46
Uniform,"2,414",204,"2,618","2,534",199,"2,733","2,436",197,"2,633",100
First Judicial District,"1,842",507,"2,349","1,850",510,"2,360","1,847",487,"2,334",26
Fleet Management,286,78,364,310,84,394,283,78,361,33
Free Library,651,10,661,737,17,754,695,10,705,49
Human Relations Commission,32,0,32,35,0,35,33,0,33,2
Human Services (1),396,"1,139","1,535",437,"1,343","1,780",437,"1,060","1,497",283
"Labor, Mayor's Office of",22,0,22,30,0,30,26,0,26,4
Law,128,52,180,133,55,188,130,51,181,7
Licenses & Inspections,372,8,380,466,8,474,387,8,395,79
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
Managing Director's Office,307,68,375,344,63,407,317,83,400,7
Mayor's Office,51,9,60,60,4,64,60,4,64,0
Mayor's Off. of Comm Empowerment/Oppor.,0,23,23,0,34,34,0,24,24,10
Mural Arts Program,11,0,11,12,0,12,11,0,11,1
Office of Arts and Culture,7,0,7,8,0,8,8,0,8,0
Office of Behavioral Hlth/Intel. disAbility,16,246,262,23,268,291,23,242,265,26
