0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2008,,,,,FISCAL YEAR,2009,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,4,0,4,4,0,4,4,0,4,0
Auditing (City Controller's Office),121,0,121,140,0,140,124,0,124,16
Board of Building Standards,2,0,2,2,0,2,1,0,1,1
Board of Ethics,6,0,6,11,0,11,9,0,9,2
Board of L & I Review,3,0,3,3,0,3,2,0,2,1
Bd. of Pensions,0,59,59,0,79,79,0,67,67,12
Bd. of Revision of Taxes,139,0,139,145,o,145,133,0,133,12
Camp William Penn,1,0,1,0,0,0,1,0,1,(1)
"Capital Program Office, Mayor-",21,0,21,39,0,39,24,0,24,15
City Commissioners (Election Board),91,0,91,88,0,88,100,0,100,(12)
City Council,192,0,192,195,0,195,185,0,185,10
City Planning Commission,44,2,46,49,4,53,42,5,47,6
City Representative,0,0,0,13,0,13,6,0,6,7
City Treasurer,11,0,11,13,0,13,11,0,11,2
Civil Service Commission,2,0,2,2,0,2,2,o,2,0
Clerk of Quarter Sessions,117,0,117,121,0,121,110,0,110,11
Commerce,13,782,795,10,921,931,23,760,783,148
District Attorney - Total,437,109,546,450,131,581,441,113,554,27
Civilian,423,99,522,435,106,541,429,103,532,9
Uniform,14,10,24,15,25,40,12,10,22,18
Fairmount Park,156,1,157,189,1,190,159,1,160,30
Finance,170,10,180,169,5,174,143,6,149,25
Fire Total,"2,326",64,"2,390","2,505",78,"2,583","2,259",68,"2,327",256
Uniform,"2,225",61,"2,286","2,395",74,"2,469","2,157",64,"2,221",248
Civilian,101,3,104,110,4,114,102,4,106,8
First Judicial District,"1,970",439,"2,409","1,965",532,"2,497","1,898",451,"2,349",148
Fleet Management,307,60,367,329,78,407,302,57,359,48
Free Library,713,66,779,730,90,820,629,87,716,104
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,34,0,34,34,0,34,34,0,34,0
Human Services,"1,784",41,"1,825","1,871",61,"1,932","1,741",66,"1,807",125
"Information Services, Mayor's Office of",141,17,158,156,17,173,146,16,162,11
"Labor Relations, Mayor's Office of",7,0,7,7,0,7,7,0,7,0
Law,192,57,249,220,60,280,182,53,235,45
