0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2020,,,,,FISCAL YEAR 2021,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,64,0,64,68,0,68,59,0,59,9
Office of Children and Families,40,0,40,3,0,3,3,0,3,0
Office of Homeless Services,151,24,175,143,48,191,127,43,170,21
Office of Human Resources,79,0,79,75,0,75,75,0,75,0
Office of Innovation and Technology,317,97,414,358,124,482,313,102,415,67
Office of the Inspector General,16,0,16,19,0,19,18,0,18,1
Office of Property Assessment,195,0,195,220,0,220,190,0,190,30
Office of Sustainability,7,1,8,12,1,13,8,2,10,3
Parks and Recreation,647,25,672,748,32,780,644,26,670,110
Planning & Development,55,53,108,62,58,120,55,51,106,14
Police Total,"7,175",164,"7,339","7,304",152,"7,456","6,869",150,"7,019",437
Civilian,803,11,814,924,11,935,816,11,827,108
Uniform,"6,372",153,"6,525","6,380",141,"6,521","6,053",139,"6,192",329
Prisons,"1,975",0,"1,975","2,006",0,"2,006","1,620",0,"1,620",386
Procurement,42,1,43,42,2,44,35,2,37,7
Public Health,739,146,885,818,187,"1,005",716,182,898,107
Public Property,119,0,119,176,0,176,142,0,142,34
Records,51,0,51,55,0,55,51,0,51,4
Register of Wills,66,0,66,70,0,70,70,0,70,0
Revenue,402,205,607,436,232,668,386,193,579,89
Sheriff,385,0,385,428,0,428,367,0,367,61
Streets,"1,925",1,"1,926","1,903",0,"1,903","1,941",0,"1,941",(38)
Water,0,"1,989","1,989",0,"2,281","2,281",0,"1,922","1,922",359
"Water,Sewer & Stormwater Rate Board",0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,422","5,917","28,339","23,980","6,609","30,589","21,630","5,579","27,209","3,380"
