0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2014,,,,,FISCAL YEAR 2015,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Atwater Kent Museum,3,0,3,4,0,4,2,0,2,2
Auditing (City Controller's Office),111,0,111,126,0,126,129,0,129,(3)
Board of Ethics,9,0,9,12,0,12,9,0,9,3
Board of Pensions,0,50,50,0,77,77,0,41,41,36
Board of Revision of Taxes,11,0,11,14,0,14,12,0,12,2
City Commissioners (Election Board),84,0,84,98,0,98,91,0,91,7
City Council,169,0,169,195,0,195,176,0,176,19
City Planning Commission,30,3,33,32,5,37,29,5,34,3
City Representative,7,0,7,7,0,7,6,0,6,1
City Treasurer,14,0,14,14,0,14,14,1,15,(1)
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,27,777,804,27,850,877,21,760,781,96
District Attorney - Total,464,84,548,463,126,589,476,78,554,35
Civilian,447,76,523,448,110,558,464,68,532,26
Uniform,17,8,25,15,16,31,12,10,22,9
Finance,170,0,170,177,0,177,160,12,172,5
Fire Total,"2,053",196,"2,249","2,203",207,"2,410","2,150",194,"2,344",66
Civilian,105,3,108,114,4,118,108,2,110,8
Uniform,"1,948",193,"2,141","2,089",203,"2,292","2,042",192,"2,234",58
First Judicial District,"1,866",465,"2,331","1,885",504,"2,389","1,842",467,"2,309",80
Fleet Management,264,67,331,283,78,361,261,65,326,35
Free Library,609,20,629,697,27,724,642,14,656,68
Historical Commission,6,0,6,6,0,6,6,0,6,0
Human Relations Commission,30,0,30,34,0,34,30,0,30,4
Human Services (1),382,"1,182","1,564",451,"1,390","1,841",395,"1,133","1,528",313
"Labor Relations, Mayor's Office of",7,0,7,8,0,8,7,0,7,1
Law,146,54,200,152,56,208,152,50,202,6
Licenses & Inspections,296,7,303,353,9,362,335,0,335,27
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,2,0,2,2,0,2,2,0,2,0
L&I-Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Managing Director's Office,279,23,302,264,24,288,257,57,314,(26)
Mayor's Office,44,3,47,46,3,49,51,3,54,(5)
Mayor's Off. of Comm Empowerment/Oppor.,0,33,33,0,37,37,0,34,34,3
Mayor's Office of Transportation & Utilities,13,2,15,14,2,16,12,4,16,0
Mural Arts Program,11,0,11,11,0,11,10,0,10,1
Office of Arts and Culture,2,0,2,2,0,2,2,0,2,0
Office of Behavioral Hith/Intel. disAbility,15,224,239,16,249,265,14,213,227,38
