0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2021,,,,,FISCAL YEAR 2022,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),118,0,118,135,0,135,116,0,116,19
Board of Ethics,9,0,9,10,0,10,9,0,9,1
Board of Pensions,0,55,55,0,73,73,0,58,58,15
Board of Revision of Taxes,15,0,15,16,0,16,14,0,14,2
City Commissioners (Election Board),137,0,137,106,0,106,132,0,132,(26)
City Council,182,0,182,188,0,188,179,0,179,9
City Representative,0,0,0,0,0,0,0,0,0,0
City Treasurer,16,0,16,18,0,18,16,0,16,2
Civil Service Commission,1,0,1,2,0,2,2,0,2,0
Commerce,37,730,767,51,752,803,32,658,690,113
District Attorney - Total,521,98,619,540,103,643,564,95,659,(16)
Civilian,486,91,577,508,97,605,528,89,617,(12)
Uniform,35,7,42,32,6,38,36,6,42,(4)
Finance,119,0,119,132,0,132,117,0,117,15
Fire Total,"2,678",77,"2,755","3,368",80,"3,448","2,653",77,"2,730",718
Civilian,114,2,116,177,3,180,110,1,111,69
Uniform,"2,564",75,"2,639","3,191",77,"3,268","2,543",76,"2,619",649
First Judicial District,"1,773",452,"2,225","1,822",499,"2,321","1,741",442,"2,183",138
Fleet Management,268,67,335,315,84,399,266,65,331,68
Free Library,634,11,645,715,13,728,636,10,646,82
Human Relations Commission,32,0,32,33,0,33,31,0,31,2
Human Services (1),492,972,"1,464",492,"1,338","1,830",492,"1,001","1,493",337
Labor,26,0,26,39,0,39,26,0,26,13
Law,127,48,175,180,51,231,168,57,225,6
Licenses & Inspections,372,8,380,426,8,434,359,8,367,67
L&I-Board of Building Standards,1,0,1,1,0,1,1,0,1,0
L&I-Board of L & I Review,1,0,1,2,0,2,2,0,2,0
Managing Director's Office,290,125,415,456,127,583,290,117,407,176
Mayor's Office,61,3,64,62,3,65,59,2,61,4
Mayor's Office-Comm. Empowerment & Opp.,0,29,29,0,37,37,0,29,29,8
Mural Arts Program,8,0,8,10,0,10,8,0,8,2
Office of Arts and Culture,0,0,0,0,0,0,0,0,0,0
Office of Behavioral Hith & Intellectual disAbility,23,230,253,47,274,321,27,233,260,61
