0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2009,,,,,FISCAL YEAR 2010,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,309,14,323,330,14,344,305,11,316,28
Managing Director (MDO),128,3,131,123,9,132,112,15,127,5
Mayor,71,3,74,45,3,48,38,3,41,7
Mayor - Office of Arts and Culture,0,0,0,2,0,2,2,0,2,
Mayor - Office of the Inspector General,0,0,0,19,0,19,15,0,15,
Mayor's Office of Comm. Svcs.,87,84,171,0,0,0,0,75,75,(75)
Mayor's Office of Transportation,8,0,8,7,0,7,8,1,9,(2)
Mural Arts Program,12,0,12,12,0,12,12,0,12,0
Off. of Behavioral Hlth/Mental Retard. Svcs.,26,244,270,32,252,284,22,236,258,26
Office of Human Resources,64,0,64,70,0,70,53,0,53,
Off.ot Supportive Housing,126,45,171,132,54,186,124,44,168,18
Office of Housing and Community Develop.,0,75,75,0,79,79,0,74,74,5
Police Total,"7,443",162,"7,605","7,494",166,"7,660","7,378",168,"7,546",114
Civilian,832,11,843,870,11,881,782,16,798,83
Uniform,"6,611",151,"6,762","6,624",155,"6,779","6,596",152,"6,748",31
Prisons,"2,067",0,"2,067","2,360",0,"2,360","2,254",0,"2,254",106
Procurement,50,2,52,50,1,51,46,2,48,3
Public Health,675,215,890,739,368,"1,107",662,213,875,232
Public Property,135,0,135,172,0,172,123,0,123,49
Records,64,0,64,63,0,63,59,0,59,4
Recreation,443,20,463,474,22,496,435,21,456,40
Register of Wills,65,0,65,64,0,64,63,0,63,1
Revenue,256,234,490,263,270,533,250,236,486,47
Sheriff,238,0,238,245,0,245,230,0,230,15
Streets,536,0,536,569,0,569,523,0,523,46
Streets Sanitation,"1,183",0,"1,183","1,228",0,"1,228","1,170",0,"1,170",58
Water,0,"1,719","1,719",0,"1,952","1,952",0,"1,672","1,672",280
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,1,0,1,2,0,2,2,0,2,0
,,,,,,,,,,
TOTAL ALL FUNDS,"22,717","4,570","27,287","23,497","5,205","28,702","22,297","4,566","26,863","1,839"
