dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2013,Actual,YTD,2012-09-30,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,111,0,2013,Actual,YTD,2012-09-30,111,City Controller's Office,61,
Board of Building Standards,General,1,0,2013,Actual,YTD,2012-09-30,1,L&I: Board of Building and Standards,29,
Board of Ethics,General,9,0,2013,Actual,YTD,2012-09-30,9,Board of Ethics,45,
Board of L & I Review,General,2,0,2013,Actual,YTD,2012-09-30,2,L&I: Board of Review,27,
Board of Pensions,General,0,0,2013,Actual,YTD,2012-09-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,10,0,2013,Actual,YTD,2012-09-30,10,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,89,0,2013,Actual,YTD,2012-09-30,89,City Commissioner's Office,73,City Commissioners
City Council,General,178,0,2013,Actual,YTD,2012-09-30,178,City Council,01,
City Planning Commission,General,34,0,2013,Actual,YTD,2012-09-30,34,City Planning Commission,51,
City Representative,General,6,0,2013,Actual,YTD,2012-09-30,6,Office of the City Representative,41,City Rep
City Treasurer,General,13,0,2013,Actual,YTD,2012-09-30,13,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2013,Actual,YTD,2012-09-30,2,Civil Service Commission,55,
Commerce,General,25,0,2013,Actual,YTD,2012-09-30,25,Office of the Director of Commerce,42,Commerce
Finance,General,150,0,2013,Actual,YTD,2012-09-30,150,Office of the Director of Finance,35,Finance
First Judicial District,General,1961,0,2013,Actual,YTD,2012-09-30,1961,First Judicial District,84,FJD
Fleet Management,General,269,0,2013,Actual,YTD,2012-09-30,269,Office of Fleet Management,25,Fleet
Free Library,General,612,0,2013,Actual,YTD,2012-09-30,612,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,5,0,2013,Actual,YTD,2012-09-30,5,Historical Commission,32,
Human Relations Commission,General,29,0,2013,Actual,YTD,2012-09-30,29,Commission on Human Relations,54,Human Relations
Human Services (1),General,323,0,2013,Actual,YTD,2012-09-30,323,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,8,0,2013,Actual,YTD,2012-09-30,8,Labor,03,
Law,General,96,0,2013,Actual,YTD,2012-09-30,96,Law Department,44,Law
Licenses & Inspections,General,298,0,2013,Actual,YTD,2012-09-30,298,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),General,153,0,2013,Actual,YTD,2012-09-30,153,Managing Director's Office,10,MDO
Mayor,General,32,0,2013,Actual,YTD,2012-09-30,32,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,General,2,0,2013,Actual,YTD,2012-09-30,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Mayor - Office of the Inspector General,General,17,0,2013,Actual,YTD,2012-09-30,17,Office of the Inspector General,48,OIG
Mayor's Office of Comm. Svcs.,General,20,0,2013,Actual,YTD,2012-09-30,20,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation,General,12,0,2013,Actual,YTD,2012-09-30,12,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,General,11,0,2013,Actual,YTD,2012-09-30,11,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,General,20,0,2013,Actual,YTD,2012-09-30,20,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Human Resources,General,80,0,2013,Actual,YTD,2012-09-30,80,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,259,0,2013,Actual,YTD,2012-09-30,259,Office of Innovation and Technology,04,OIT
Office of Property Assessment,General,159,0,2013,Actual,YTD,2012-09-30,159,Office of Property Assessment,59,OPA
Off.of Supportive Housing,General,150,0,2013,Actual,YTD,2012-09-30,150,Office of Homeless Services,24,OHS
Office of Housing and Community Develop.,General,0,0,2013,Actual,YTD,2012-09-30,0,Office of Housing and Community Development,06,
Parks and Recreation,General,576,0,2013,Actual,YTD,2012-09-30,576,Department of Parks and Recreation,16,Parks & Recreation
Prisons,General,2101,0,2013,Actual,YTD,2012-09-30,2101,Philadelphia Prison System,23,Prisons
Procurement,General,47,0,2013,Actual,YTD,2012-09-30,47,Procurement Department,38,Procurement
Public Health,General,692,0,2013,Actual,YTD,2012-09-30,692,Department of Public Health,14,Public Health
Public Property,General,123,0,2013,Actual,YTD,2012-09-30,123,Department of Public Property,20,Public Property
Records,General,61,0,2013,Actual,YTD,2012-09-30,61,Department of Records,31,Records
Register of Wills,General,62,0,2013,Actual,YTD,2012-09-30,62,Register of Wills,68,
Revenue,General,306,0,2013,Actual,YTD,2012-09-30,306,Department of Revenue,36,Revenue
Sheriff,General,222,0,2013,Actual,YTD,2012-09-30,222,Office of the Sheriff,70,Sheriff
Streets,General,522,0,2013,Actual,YTD,2012-09-30,522,Streets Department,12,Streets
Streets Sanitation,General,1158,0,2013,Actual,YTD,2012-09-30,1158,Streets: Sanitation,12-S,
Water,General,0,0,2013,Actual,YTD,2012-09-30,0,Water Department,28,Water
Youth Commission,General,1,0,2013,Actual,YTD,2012-09-30,1,Youth Commission,47,
Zoning Board of Adjustment,General,5,0,2013,Actual,YTD,2012-09-30,5,Zoning Board of Adjustments,30,ZBA
Zoning Code Commission,General,0,0,2013,Actual,YTD,2012-09-30,0,Zoning Code Commission,57,
Atwater Kent Museum,Other,0,0,2013,Actual,YTD,2012-09-30,0,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2013,Actual,YTD,2012-09-30,0,City Controller's Office,61,
Board of Building Standards,Other,0,0,2013,Actual,YTD,2012-09-30,0,L&I: Board of Building and Standards,29,
Board of Ethics,Other,0,0,2013,Actual,YTD,2012-09-30,0,Board of Ethics,45,
Board of L & I Review,Other,0,0,2013,Actual,YTD,2012-09-30,0,L&I: Board of Review,27,
Board of Pensions,Other,57,0,2013,Actual,YTD,2012-09-30,57,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2013,Actual,YTD,2012-09-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2013,Actual,YTD,2012-09-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2013,Actual,YTD,2012-09-30,0,City Council,01,
City Planning Commission,Other,3,0,2013,Actual,YTD,2012-09-30,3,City Planning Commission,51,
City Representative,Other,0,0,2013,Actual,YTD,2012-09-30,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2013,Actual,YTD,2012-09-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2013,Actual,YTD,2012-09-30,0,Civil Service Commission,55,
