dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,3,0,2016,Actual,YTD,2015-09-30,3,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,131,0,2016,Actual,YTD,2015-09-30,131,City Controller's Office,,61
Board of Ethics,General,10,0,2016,Actual,YTD,2015-09-30,10,Board of Ethics,,45
Board of Pensions,General,0,0,2016,Actual,YTD,2015-09-30,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,14,0,2016,Actual,YTD,2015-09-30,14,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,91,0,2016,Actual,YTD,2015-09-30,91,City Commissioner's Office,City Commissioners,73
City Council,General,177,0,2016,Actual,YTD,2015-09-30,177,City Council,,01
City Planning Commission,General,29,0,2016,Actual,YTD,2015-09-30,29,City Planning Commission,,51
City Representative,General,6,0,2016,Actual,YTD,2015-09-30,6,Office of the City Representative,City Rep,41
City Treasurer,General,14,0,2016,Actual,YTD,2015-09-30,14,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2016,Actual,YTD,2015-09-30,2,Civil Service Commission,,55
Commerce,General,28,0,2016,Actual,YTD,2015-09-30,28,Office of the Director of Commerce,Commerce,42
Finance,General,141,0,2016,Actual,YTD,2015-09-30,141,Office of the Director of Finance,Finance,35
First Judicial District,General,1794,0,2016,Actual,YTD,2015-09-30,1794,First Judicial District,FJD,84
Fleet Management,General,267,0,2016,Actual,YTD,2015-09-30,267,Office of Fleet Management,Fleet,25
Free Library,General,643,0,2016,Actual,YTD,2015-09-30,643,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,4,0,2016,Actual,YTD,2015-09-30,4,Historical Commission,,32
Human Relations Commission,General,32,0,2016,Actual,YTD,2015-09-30,32,Commission on Human Relations,Human Relations,54
Human Services (1),General,395,0,2016,Actual,YTD,2015-09-30,395,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",General,8,0,2016,Actual,YTD,2015-09-30,8,Labor,,03
Law,General,115,0,2016,Actual,YTD,2015-09-30,115,Law Department,Law,44
Licenses & Inspections,General,336,0,2016,Actual,YTD,2015-09-30,336,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2016,Actual,YTD,2015-09-30,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,2,0,2016,Actual,YTD,2015-09-30,2,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,General,5,0,2016,Actual,YTD,2015-09-30,5,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,General,266,0,2016,Actual,YTD,2015-09-30,266,Managing Director's Office,MDO,10
Mayor's Office,General,49,0,2016,Actual,YTD,2015-09-30,49,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2016,Actual,YTD,2015-09-30,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,General,10,0,2016,Actual,YTD,2015-09-30,10,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,11,0,2016,Actual,YTD,2015-09-30,11,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,3,0,2016,Actual,YTD,2015-09-30,3,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,General,15,0,2016,Actual,YTD,2015-09-30,15,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Housing & Comm. Development,General,0,0,2016,Actual,YTD,2015-09-30,0,Office of Housing and Community Development,,06
Office of Human Resources,General,86,0,2016,Actual,YTD,2015-09-30,86,Office of Human Resources,OHR,56
Office of Innovation and Technology,General,262,0,2016,Actual,YTD,2015-09-30,262,Office of Innovation and Technology,OIT,04
Office of the Inspector General,General,19,0,2016,Actual,YTD,2015-09-30,19,Office of the Inspector General,OIG,48
Office of Property Assessment,General,190,0,2016,Actual,YTD,2015-09-30,190,Office of Property Assessment,OPA,59
Office of Supportive Housing,General,146,0,2016,Actual,YTD,2015-09-30,146,Office of Homeless Services,OHS,24
Office of Sustainability,General,4,0,2016,Actual,YTD,2015-09-30,4,Office of Sustainability,Sustainability,49
Parks and Recreation,General,600,0,2016,Actual,YTD,2015-09-30,600,Department of Parks and Recreation,Parks & Recreation,16
Prisons,General,2317,0,2016,Actual,YTD,2015-09-30,2317,Philadelphia Prison System,Prisons,23
Procurement,General,43,0,2016,Actual,YTD,2015-09-30,43,Procurement Department,Procurement,38
Public Health,General,659,0,2016,Actual,YTD,2015-09-30,659,Department of Public Health,Public Health,14
Public Property,General,143,0,2016,Actual,YTD,2015-09-30,143,Department of Public Property,Public Property,20
Records,General,57,0,2016,Actual,YTD,2015-09-30,57,Department of Records,Records,31
Register of Wills,General,64,0,2016,Actual,YTD,2015-09-30,64,Register of Wills,,68
Revenue,General,360,0,2016,Actual,YTD,2015-09-30,360,Department of Revenue,Revenue,36
Sheriff,General,323,0,2016,Actual,YTD,2015-09-30,323,Office of the Sheriff,Sheriff,70
Streets Sanitation,General,1165,0,2016,Actual,YTD,2015-09-30,1165,Streets: Sanitation,,12S
Streets - Transportation,General,527,0,2016,Actual,YTD,2015-09-30,527,Streets: Transportation,,12T
Water,General,0,0,2016,Actual,YTD,2015-09-30,0,Water Department,Water,28
Youth Commission,General,2,0,2016,Actual,YTD,2015-09-30,2,Youth Commission,,47
Atwater Kent Museum,Other,0,0,2016,Actual,YTD,2015-09-30,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Other,0,0,2016,Actual,YTD,2015-09-30,0,City Controller's Office,,61
Board of Ethics,Other,0,0,2016,Actual,YTD,2015-09-30,0,Board of Ethics,,45
Board of Pensions,Other,58,0,2016,Actual,YTD,2015-09-30,58,Board of Pensions,Pensions,53
Board of Revision of Taxes,Other,0,0,2016,Actual,YTD,2015-09-30,0,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Other,0,0,2016,Actual,YTD,2015-09-30,0,City Commissioner's Office,City Commissioners,73
City Council,Other,0,0,2016,Actual,YTD,2015-09-30,0,City Council,,01
City Planning Commission,Other,5,0,2016,Actual,YTD,2015-09-30,5,City Planning Commission,,51
City Representative,Other,0,0,2016,Actual,YTD,2015-09-30,0,Office of the City Representative,City Rep,41
City Treasurer,Other,0,0,2016,Actual,YTD,2015-09-30,0,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Other,0,0,2016,Actual,YTD,2015-09-30,0,Civil Service Commission,,55
Commerce,Other,744,0,2016,Actual,YTD,2015-09-30,744,Office of the Director of Commerce,Commerce,42
Finance,Other,2,0,2016,Actual,YTD,2015-09-30,2,Office of the Director of Finance,Finance,35
First Judicial District,Other,505,0,2016,Actual,YTD,2015-09-30,505,First Judicial District,FJD,84
Fleet Management,Other,64,0,2016,Actual,YTD,2015-09-30,64,Office of Fleet Management,Fleet,25
Free Library,Other,15,0,2016,Actual,YTD,2015-09-30,15,The Free Library of Philadelphia,Free Library,52
Historical Commission,Other,0,0,2016,Actual,YTD,2015-09-30,0,Historical Commission,,32
Human Relations Commission,Other,0,0,2016,Actual,YTD,2015-09-30,0,Commission on Human Relations,Human Relations,54
Human Services (1),Other,1123,0,2016,Actual,YTD,2015-09-30,1123,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",Other,0,0,2016,Actual,YTD,2015-09-30,0,Labor,,03
Law,Other,43,0,2016,Actual,YTD,2015-09-30,43,Law Department,Law,44
Licenses & Inspections,Other,8,0,2016,Actual,YTD,2015-09-30,8,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,Other,0,0,2016,Actual,YTD,2015-09-30,0,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,Other,0,0,2016,Actual,YTD,2015-09-30,0,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,Other,0,0,2016,Actual,YTD,2015-09-30,0,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,Other,59,0,2016,Actual,YTD,2015-09-30,59,Managing Director's Office,MDO,10
Mayor's Office,Other,3,0,2016,Actual,YTD,2015-09-30,3,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,Other,34,0,2016,Actual,YTD,2015-09-30,34,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,Other,4,0,2016,Actual,YTD,2015-09-30,4,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,Other,0,0,2016,Actual,YTD,2015-09-30,0,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,Other,0,0,2016,Actual,YTD,2015-09-30,0,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,Other,214,0,2016,Actual,YTD,2015-09-30,214,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Housing & Comm. Development,Other,55,0,2016,Actual,YTD,2015-09-30,55,Office of Housing and Community Development,,06
Office of Human Resources,Other,0,0,2016,Actual,YTD,2015-09-30,0,Office of Human Resources,OHR,56
Office of Innovation and Technology,Other,82,0,2016,Actual,YTD,2015-09-30,82,Office of Innovation and Technology,OIT,04
Office of the Inspector General,Other,0,0,2016,Actual,YTD,2015-09-30,0,Office of the Inspector General,OIG,48
Office of Property Assessment,Other,0,0,2016,Actual,YTD,2015-09-30,0,Office of Property Assessment,OPA,59
Office of Supportive Housing,Other,13,0,2016,Actual,YTD,2015-09-30,13,Office of Homeless Services,OHS,24
Office of Sustainability,Other,1,0,2016,Actual,YTD,2015-09-30,1,Office of Sustainability,Sustainability,49
Parks and Recreation,Other,27,0,2016,Actual,YTD,2015-09-30,27,Department of Parks and Recreation,Parks & Recreation,16
Prisons,Other,0,0,2016,Actual,YTD,2015-09-30,0,Philadelphia Prison System,Prisons,23
Procurement,Other,2,0,2016,Actual,YTD,2015-09-30,2,Procurement Department,Procurement,38
Public Health,Other,146,0,2016,Actual,YTD,2015-09-30,146,Department of Public Health,Public Health,14
Public Property,Other,0,0,2016,Actual,YTD,2015-09-30,0,Department of Public Property,Public Property,20
Records,Other,0,0,2016,Actual,YTD,2015-09-30,0,Department of Records,Records,31
Register of Wills,Other,0,0,2016,Actual,YTD,2015-09-30,0,Register of Wills,,68
Revenue,Other,235,0,2016,Actual,YTD,2015-09-30,235,Department of Revenue,Revenue,36
Sheriff,Other,0,0,2016,Actual,YTD,2015-09-30,0,Office of the Sheriff,Sheriff,70
Streets Sanitation,Other,0,0,2016,Actual,YTD,2015-09-30,0,Streets: Sanitation,,12S
Streets - Transportation,Other,0,0,2016,Actual,YTD,2015-09-30,0,Streets: Transportation,,12T
Water,Other,1788,0,2016,Actual,YTD,2015-09-30,1788,Water Department,Water,28
Youth Commission,Other,0,0,2016,Actual,YTD,2015-09-30,0,Youth Commission,,47
Atwater Kent Museum,Total,3,0,2016,Actual,YTD,2015-09-30,3,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Total,131,0,2016,Actual,YTD,2015-09-30,131,City Controller's Office,,61
Board of Ethics,Total,10,0,2016,Actual,YTD,2015-09-30,10,Board of Ethics,,45
Board of Pensions,Total,58,0,2016,Actual,YTD,2015-09-30,58,Board of Pensions,Pensions,53
Board of Revision of Taxes,Total,14,0,2016,Actual,YTD,2015-09-30,14,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Total,91,0,2016,Actual,YTD,2015-09-30,91,City Commissioner's Office,City Commissioners,73
City Council,Total,177,0,2016,Actual,YTD,2015-09-30,177,City Council,,01
City Planning Commission,Total,34,0,2016,Actual,YTD,2015-09-30,34,City Planning Commission,,51
City Representative,Total,6,0,2016,Actual,YTD,2015-09-30,6,Office of the City Representative,City Rep,41
City Treasurer,Total,14,0,2016,Actual,YTD,2015-09-30,14,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Total,2,0,2016,Actual,YTD,2015-09-30,2,Civil Service Commission,,55
Commerce,Total,772,0,2016,Actual,YTD,2015-09-30,772,Office of the Director of Commerce,Commerce,42
Finance,Total,143,0,2016,Actual,YTD,2015-09-30,143,Office of the Director of Finance,Finance,35
First Judicial District,Total,2299,0,2016,Actual,YTD,2015-09-30,2299,First Judicial District,FJD,84
Fleet Management,Total,331,0,2016,Actual,YTD,2015-09-30,331,Office of Fleet Management,Fleet,25
Free Library,Total,658,0,2016,Actual,YTD,2015-09-30,658,The Free Library of Philadelphia,Free Library,52
Historical Commission,Total,4,0,2016,Actual,YTD,2015-09-30,4,Historical Commission,,32
Human Relations Commission,Total,32,0,2016,Actual,YTD,2015-09-30,32,Commission on Human Relations,Human Relations,54
Human Services (1),Total,1518,0,2016,Actual,YTD,2015-09-30,1518,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",Total,8,0,2016,Actual,YTD,2015-09-30,8,Labor,,03
Law,Total,158,0,2016,Actual,YTD,2015-09-30,158,Law Department,Law,44
Licenses & Inspections,Total,344,0,2016,Actual,YTD,2015-09-30,344,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,Total,1,0,2016,Actual,YTD,2015-09-30,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,Total,2,0,2016,Actual,YTD,2015-09-30,2,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,Total,5,0,2016,Actual,YTD,2015-09-30,5,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,Total,325,0,2016,Actual,YTD,2015-09-30,325,Managing Director's Office,MDO,10
Mayor's Office,Total,52,0,2016,Actual,YTD,2015-09-30,52,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,Total,34,0,2016,Actual,YTD,2015-09-30,34,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,Total,14,0,2016,Actual,YTD,2015-09-30,14,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,Total,11,0,2016,Actual,YTD,2015-09-30,11,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,Total,3,0,2016,Actual,YTD,2015-09-30,3,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,Total,229,0,2016,Actual,YTD,2015-09-30,229,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Housing & Comm. Development,Total,55,0,2016,Actual,YTD,2015-09-30,55,Office of Housing and Community Development,,06
Office of Human Resources,Total,86,0,2016,Actual,YTD,2015-09-30,86,Office of Human Resources,OHR,56
Office of Innovation and Technology,Total,344,0,2016,Actual,YTD,2015-09-30,344,Office of Innovation and Technology,OIT,04
Office of the Inspector General,Total,19,0,2016,Actual,YTD,2015-09-30,19,Office of the Inspector General,OIG,48
Office of Property Assessment,Total,190,0,2016,Actual,YTD,2015-09-30,190,Office of Property Assessment,OPA,59
Office of Supportive Housing,Total,159,0,2016,Actual,YTD,2015-09-30,159,Office of Homeless Services,OHS,24
Office of Sustainability,Total,5,0,2016,Actual,YTD,2015-09-30,5,Office of Sustainability,Sustainability,49
Parks and Recreation,Total,627,0,2016,Actual,YTD,2015-09-30,627,Department of Parks and Recreation,Parks & Recreation,16
Prisons,Total,2317,0,2016,Actual,YTD,2015-09-30,2317,Philadelphia Prison System,Prisons,23
Procurement,Total,45,0,2016,Actual,YTD,2015-09-30,45,Procurement Department,Procurement,38
Public Health,Total,805,0,2016,Actual,YTD,2015-09-30,805,Department of Public Health,Public Health,14
Public Property,Total,143,0,2016,Actual,YTD,2015-09-30,143,Department of Public Property,Public Property,20
Records,Total,57,0,2016,Actual,YTD,2015-09-30,57,Department of Records,Records,31
Register of Wills,Total,64,0,2016,Actual,YTD,2015-09-30,64,Register of Wills,,68
Revenue,Total,595,0,2016,Actual,YTD,2015-09-30,595,Department of Revenue,Revenue,36
Sheriff,Total,323,0,2016,Actual,YTD,2015-09-30,323,Office of the Sheriff,Sheriff,70
Streets Sanitation,Total,1165,0,2016,Actual,YTD,2015-09-30,1165,Streets: Sanitation,,12S
Streets - Transportation,Total,527,0,2016,Actual,YTD,2015-09-30,527,Streets: Transportation,,12T
Water,Total,1788,0,2016,Actual,YTD,2015-09-30,1788,Water Department,Water,28
Youth Commission,Total,2,0,2016,Actual,YTD,2015-09-30,2,Youth Commission,,47
Police,General,799,6206,2016,Actual,YTD,2015-09-30,7005,Police Department,Police,11
Police,Other,12,167,2016,Actual,YTD,2015-09-30,179,Police Department,Police,11
Police,Total,811,6373,2016,Actual,YTD,2015-09-30,7184,Police Department,Police,11
Fire,General,113,2221,2016,Actual,YTD,2015-09-30,2334,Fire Department,Fire,13
Fire,Other,3,63,2016,Actual,YTD,2015-09-30,66,Fire Department,Fire,13
Fire,Total,116,2284,2016,Actual,YTD,2015-09-30,2400,Fire Department,Fire,13
District Attorney,General,452,30,2016,Actual,YTD,2015-09-30,482,District Attorney's Office,DAO,69
District Attorney,Other,64,10,2016,Actual,YTD,2015-09-30,74,District Attorney's Office,DAO,69
District Attorney,Total,516,40,2016,Actual,YTD,2015-09-30,556,District Attorney's Office,DAO,69
Atwater Kent Museum,General,2,0,2015,Actual,Full Year,2015-06-30,2,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,129,0,2015,Actual,Full Year,2015-06-30,129,City Controller's Office,,61
Board of Ethics,General,9,0,2015,Actual,Full Year,2015-06-30,9,Board of Ethics,,45
Board of Pensions,General,0,0,2015,Actual,Full Year,2015-06-30,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,12,0,2015,Actual,Full Year,2015-06-30,12,Board of Revision of Taxes,BRT,63
