dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2011,Actual,YTD,2010-12-31,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,113,0,2011,Actual,YTD,2010-12-31,113,City Controller's Office,61,
Board of Building Standards,General,1,0,2011,Actual,YTD,2010-12-31,1,L&I: Board of Building and Standards,29,
Board of Ethics,General,8,0,2011,Actual,YTD,2010-12-31,8,Board of Ethics,45,
Board of L & 1 Review,General,2,0,2011,Actual,YTD,2010-12-31,2,L&I: Board of Review,27,
Board of Pensions,General,0,0,2011,Actual,YTD,2010-12-31,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,6,0,2011,Actual,YTD,2010-12-31,6,Board of Revision of Taxes,63,BRT
Camp William Penn,General,0,0,2011,Actual,YTD,2010-12-31,0,Camp William Penn,19,
City Commissioners (Election Board),General,98,0,2011,Actual,YTD,2010-12-31,98,City Commissioner's Office,73,City Commissioners
City Council,General,174,0,2011,Actual,YTD,2010-12-31,174,City Council,01,
City Planning Commission,General,34,0,2011,Actual,YTD,2010-12-31,34,City Planning Commission,51,
City Representative,General,7,0,2011,Actual,YTD,2010-12-31,7,Office of the City Representative,41,City Rep
City Treasurer,General,12,0,2011,Actual,YTD,2010-12-31,12,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2011,Actual,YTD,2010-12-31,2,Civil Service Commission,55,
Clerk of Quarter Sessions,General,0,0,2011,Actual,YTD,2010-12-31,0,Clerk of Quarter Sessions,64,
Commerce,General,24,0,2011,Actual,YTD,2010-12-31,24,Office of the Director of Commerce,42,Commerce
Division of Technology,General,264,0,2011,Actual,YTD,2010-12-31,264,Office of Innovation and Technology,04,OIT
Fairmount Park,General,0,0,2011,Actual,YTD,2010-12-31,0,Fairmount Park Commission,17,
Finance,General,140,0,2011,Actual,YTD,2010-12-31,140,Office of the Director of Finance,35,Finance
First Judicial District,General,1853,0,2011,Actual,YTD,2010-12-31,1853,First Judicial District,84,FJD
Fleet Management,General,275,0,2011,Actual,YTD,2010-12-31,275,Office of Fleet Management,25,Fleet
Free Library,General,595,0,2011,Actual,YTD,2010-12-31,595,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,6,0,2011,Actual,YTD,2010-12-31,6,Historical Commission,32,
Human Relations Commission,General,31,0,2011,Actual,YTD,2010-12-31,31,Commission on Human Relations,54,Human Relations
Human Services,General,1679,0,2011,Actual,YTD,2010-12-31,1679,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,6,0,2011,Actual,YTD,2010-12-31,6,Labor,03,
Law,General,170,0,2011,Actual,YTD,2010-12-31,170,Law Department,44,Law
Licenses & Inspections,General,278,0,2011,Actual,YTD,2010-12-31,278,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),General,119,0,2011,Actual,YTD,2010-12-31,119,Managing Director's Office,10,MDO
Mayor,General,35,0,2011,Actual,YTD,2010-12-31,35,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,General,2,0,2011,Actual,YTD,2010-12-31,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Mayor - Office of the Inspector General,General,14,0,2011,Actual,YTD,2010-12-31,14,Office of the Inspector General,48,OIG
Mayor's Office of Comm. Svcs.,General,0,0,2011,Actual,YTD,2010-12-31,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation,General,8,0,2011,Actual,YTD,2010-12-31,8,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,General,11,0,2011,Actual,YTD,2010-12-31,11,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,General,20,0,2011,Actual,YTD,2010-12-31,20,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Human Resources,General,69,0,2011,Actual,YTD,2010-12-31,69,Office of Human Resources,56,OHR
Office of Property Assessment (1),General,134,0,2011,Actual,YTD,2010-12-31,134,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Off. of Supportive Housing,General,115,0,2011,Actual,YTD,2010-12-31,115,Office of Homeless Services,24,OHS
Office of Housing and Community Develop.,General,0,0,2011,Actual,YTD,2010-12-31,0,Office of Housing and Community Development,06,
Parks and Recreation,General,593,0,2011,Actual,YTD,2010-12-31,593,Department of Parks and Recreation,16,Parks & Recreation
Prisons,General,2202,0,2011,Actual,YTD,2010-12-31,2202,Philadelphia Prison System,23,Prisons
Procurement,General,42,0,2011,Actual,YTD,2010-12-31,42,Procurement Department,38,Procurement
Public Health,General,661,0,2011,Actual,YTD,2010-12-31,661,Department of Public Health,14,Public Health
Public Property,General,123,0,2011,Actual,YTD,2010-12-31,123,Department of Public Property,20,Public Property
Records,General,55,0,2011,Actual,YTD,2010-12-31,55,Department of Records,31,Records
Register of Wills,General,62,0,2011,Actual,YTD,2010-12-31,62,Register of Wills,68,
Revenue,General,248,0,2011,Actual,YTD,2010-12-31,248,Department of Revenue,36,Revenue
Sheriff,General,220,0,2011,Actual,YTD,2010-12-31,220,Office of the Sheriff,70,Sheriff
Streets,General,511,0,2011,Actual,YTD,2010-12-31,511,Streets Department,12,Streets
Streets - Sanitation,General,1140,0,2011,Actual,YTD,2010-12-31,1140,Streets: Sanitation,12-S,
Water,General,0,0,2011,Actual,YTD,2010-12-31,0,Water Department,28,Water
Youth Commission,General,1,0,2011,Actual,YTD,2010-12-31,1,Youth Commission,47,
Zoning Board of Adjustment,General,5,0,2011,Actual,YTD,2010-12-31,5,Zoning Board of Adjustments,30,ZBA
Zoning Code Commission,General,2,0,2011,Actual,YTD,2010-12-31,2,Zoning Code Commission,57,
Atwater Kent Museum,Other,0,0,2011,Actual,YTD,2010-12-31,0,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2011,Actual,YTD,2010-12-31,0,City Controller's Office,61,
Board of Building Standards,Other,0,0,2011,Actual,YTD,2010-12-31,0,L&I: Board of Building and Standards,29,
Board of Ethics,Other,0,0,2011,Actual,YTD,2010-12-31,0,Board of Ethics,45,
Board of L & 1 Review,Other,0,0,2011,Actual,YTD,2010-12-31,0,L&I: Board of Review,27,
Board of Pensions,Other,64,0,2011,Actual,YTD,2010-12-31,64,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2011,Actual,YTD,2010-12-31,0,Board of Revision of Taxes,63,BRT
Camp William Penn,Other,0,0,2011,Actual,YTD,2010-12-31,0,Camp William Penn,19,
City Commissioners (Election Board),Other,0,0,2011,Actual,YTD,2010-12-31,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2011,Actual,YTD,2010-12-31,0,City Council,01,
City Planning Commission,Other,4,0,2011,Actual,YTD,2010-12-31,4,City Planning Commission,51,
City Representative,Other,0,0,2011,Actual,YTD,2010-12-31,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2011,Actual,YTD,2010-12-31,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2011,Actual,YTD,2010-12-31,0,Civil Service Commission,55,
Clerk of Quarter Sessions,Other,0,0,2011,Actual,YTD,2010-12-31,0,Clerk of Quarter Sessions,64,
Commerce,Other,740,0,2011,Actual,YTD,2010-12-31,740,Office of the Director of Commerce,42,Commerce
Division of Technology,Other,67,0,2011,Actual,YTD,2010-12-31,67,Office of Innovation and Technology,04,OIT
Fairmount Park,Other,0,0,2011,Actual,YTD,2010-12-31,0,Fairmount Park Commission,17,
Finance,Other,0,0,2011,Actual,YTD,2010-12-31,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,550,0,2011,Actual,YTD,2010-12-31,550,First Judicial District,84,FJD
Fleet Management,Other,65,0,2011,Actual,YTD,2010-12-31,65,Office of Fleet Management,25,Fleet
Free Library,Other,63,0,2011,Actual,YTD,2010-12-31,63,The Free Library of Philadelphia,52,Free Library
Historical Commission,Other,0,0,2011,Actual,YTD,2010-12-31,0,Historical Commission,32,
Human Relations Commission,Other,0,0,2011,Actual,YTD,2010-12-31,0,Commission on Human Relations,54,Human Relations
Human Services,Other,57,0,2011,Actual,YTD,2010-12-31,57,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",Other,0,0,2011,Actual,YTD,2010-12-31,0,Labor,03,
Law,Other,58,0,2011,Actual,YTD,2010-12-31,58,Law Department,44,Law
Licenses & Inspections,Other,12,0,2011,Actual,YTD,2010-12-31,12,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),Other,13,0,2011,Actual,YTD,2010-12-31,13,Managing Director's Office,10,MDO
Mayor,Other,4,0,2011,Actual,YTD,2010-12-31,4,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,Other,0,0,2011,Actual,YTD,2010-12-31,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Mayor - Office of the Inspector General,Other,0,0,2011,Actual,YTD,2010-12-31,0,Office of the Inspector General,48,OIG
Mayor's Office of Comm. Svcs.,Other,76,0,2011,Actual,YTD,2010-12-31,76,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation,Other,2,0,2011,Actual,YTD,2010-12-31,2,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,Other,0,0,2011,Actual,YTD,2010-12-31,0,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,Other,230,0,2011,Actual,YTD,2010-12-31,230,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Human Resources,Other,0,0,2011,Actual,YTD,2010-12-31,0,Office of Human Resources,56,OHR
Office of Property Assessment (1),Other,0,0,2011,Actual,YTD,2010-12-31,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Off. of Supportive Housing,Other,43,0,2011,Actual,YTD,2010-12-31,43,Office of Homeless Services,24,OHS
Office of Housing and Community Develop.,Other,72,0,2011,Actual,YTD,2010-12-31,72,Office of Housing and Community Development,06,
Parks and Recreation,Other,22,0,2011,Actual,YTD,2010-12-31,22,Department of Parks and Recreation,16,Parks & Recreation
Prisons,Other,0,0,2011,Actual,YTD,2010-12-31,0,Philadelphia Prison System,23,Prisons
Procurement,Other,2,0,2011,Actual,YTD,2010-12-31,2,Procurement Department,38,Procurement
Public Health,Other,203,0,2011,Actual,YTD,2010-12-31,203,Department of Public Health,14,Public Health
Public Property,Other,0,0,2011,Actual,YTD,2010-12-31,0,Department of Public Property,20,Public Property
Records,Other,0,0,2011,Actual,YTD,2010-12-31,0,Department of Records,31,Records
Register of Wills,Other,0,0,2011,Actual,YTD,2010-12-31,0,Register of Wills,68,
Revenue,Other,233,0,2011,Actual,YTD,2010-12-31,233,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2011,Actual,YTD,2010-12-31,0,Office of the Sheriff,70,Sheriff
Streets,Other,0,0,2011,Actual,YTD,2010-12-31,0,Streets Department,12,Streets
Streets - Sanitation,Other,0,0,2011,Actual,YTD,2010-12-31,0,Streets: Sanitation,12-S,
Water,Other,1627,0,2011,Actual,YTD,2010-12-31,1627,Water Department,28,Water
Youth Commission,Other,0,0,2011,Actual,YTD,2010-12-31,0,Youth Commission,47,
Zoning Board of Adjustment,Other,0,0,2011,Actual,YTD,2010-12-31,0,Zoning Board of Adjustments,30,ZBA
Zoning Code Commission,Other,0,0,2011,Actual,YTD,2010-12-31,0,Zoning Code Commission,57,
Atwater Kent Museum,Total,4,0,2011,Actual,YTD,2010-12-31,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Total,113,0,2011,Actual,YTD,2010-12-31,113,City Controller's Office,61,
Board of Building Standards,Total,1,0,2011,Actual,YTD,2010-12-31,1,L&I: Board of Building and Standards,29,
Board of Ethics,Total,8,0,2011,Actual,YTD,2010-12-31,8,Board of Ethics,45,
Board of L & 1 Review,Total,2,0,2011,Actual,YTD,2010-12-31,2,L&I: Board of Review,27,
Board of Pensions,Total,64,0,2011,Actual,YTD,2010-12-31,64,Board of Pensions,53,Pensions
Board of Revision of Taxes,Total,6,0,2011,Actual,YTD,2010-12-31,6,Board of Revision of Taxes,63,BRT
Camp William Penn,Total,0,0,2011,Actual,YTD,2010-12-31,0,Camp William Penn,19,
City Commissioners (Election Board),Total,98,0,2011,Actual,YTD,2010-12-31,98,City Commissioner's Office,73,City Commissioners
City Council,Total,174,0,2011,Actual,YTD,2010-12-31,174,City Council,01,
City Planning Commission,Total,38,0,2011,Actual,YTD,2010-12-31,38,City Planning Commission,51,
