dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,4,0,2018,Actual,YTD,2017-12-31,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,130,0,2018,Actual,YTD,2017-12-31,130,City Controller's Office,,61
Board of Ethics,General,11,0,2018,Actual,YTD,2017-12-31,11,Board of Ethics,,45
Board of Pensions,General,0,0,2018,Actual,YTD,2017-12-31,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,12,0,2018,Actual,YTD,2017-12-31,12,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,101,0,2018,Actual,YTD,2017-12-31,101,City Commissioner's Office,City Commissioners,73
City Council,General,194,0,2018,Actual,YTD,2017-12-31,194,City Council,,01
City Planning Commission,General,0,0,2018,Actual,YTD,2017-12-31,0,City Planning Commission,,51
City Representative,General,7,0,2018,Actual,YTD,2017-12-31,7,Office of the City Representative,City Rep,41
City Treasurer,General,16,0,2018,Actual,YTD,2017-12-31,16,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2018,Actual,YTD,2017-12-31,2,Civil Service Commission,,55
Commerce,General,30,0,2018,Actual,YTD,2017-12-31,30,Office of the Director of Commerce,Commerce,42
Finance,General,111,0,2018,Actual,YTD,2017-12-31,111,Office of the Director of Finance,Finance,35
First Judicial District,General,1860,0,2018,Actual,YTD,2017-12-31,1860,First Judicial District,FJD,84
Fleet Management,General,283,0,2018,Actual,YTD,2017-12-31,283,Office of Fleet Management,Fleet,25
Free Library,General,651,0,2018,Actual,YTD,2017-12-31,651,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,0,0,2018,Actual,YTD,2017-12-31,0,Historical Commission,,32
Human Relations Commission,General,31,0,2018,Actual,YTD,2017-12-31,31,Commission on Human Relations,Human Relations,54
Human Services (1),General,437,0,2018,Actual,YTD,2017-12-31,437,Department of Human Services,DHS,22
"Labor, Mayor's Office of",General,21,0,2018,Actual,YTD,2017-12-31,21,Labor,,03
Law,General,121,0,2018,Actual,YTD,2017-12-31,121,Law Department,Law,44
Licenses & Inspections,General,379,0,2018,Actual,YTD,2017-12-31,379,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2018,Actual,YTD,2017-12-31,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,2,0,2018,Actual,YTD,2017-12-31,2,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,General,0,0,2018,Actual,YTD,2017-12-31,0,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,General,303,0,2018,Actual,YTD,2017-12-31,303,Managing Director's Office,MDO,10
Mayor's Office,General,41,0,2018,Actual,YTD,2017-12-31,41,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,General,2,0,2018,Actual,YTD,2017-12-31,2,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,General,0,0,2018,Actual,YTD,2017-12-31,0,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,10,0,2018,Actual,YTD,2017-12-31,10,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,4,0,2018,Actual,YTD,2017-12-31,4,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,General,16,0,2018,Actual,YTD,2017-12-31,16,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Chief Administrative Officer,General,61,0,2018,Actual,YTD,2017-12-31,61,Board of Revision of Taxes,BRT,63
Office of Community Schools and Pre-K,General,32,0,2018,Actual,YTD,2017-12-31,32,Office of Children and Families,OCF,66
Office of Homeless Services,General,150,0,2018,Actual,YTD,2017-12-31,150,Office of Homeless Services,OHS,24
Office of Housing & Comm. Development,General,0,0,2018,Actual,YTD,2017-12-31,0,Office of Housing and Community Development,,06
Office of Human Resources,General,74,0,2018,Actual,YTD,2017-12-31,74,Office of Human Resources,OHR,56
Office of Innovation and Technology,General,282,0,2018,Actual,YTD,2017-12-31,282,Office of Innovation and Technology,OIT,04
Office of the Inspector General,General,19,0,2018,Actual,YTD,2017-12-31,19,Office of the Inspector General,OIG,48
Office of Planning and Development,General,0,0,2018,Actual,YTD,2017-12-31,0,Mayor's Office of Planning and Development,,62
Office of Property Assessment,General,192,0,2018,Actual,YTD,2017-12-31,192,Office of Property Assessment,OPA,59
Office of Sustainability,General,8,0,2018,Actual,YTD,2017-12-31,8,Office of Sustainability,Sustainability,49
Parks and Recreation,General,652,0,2018,Actual,YTD,2017-12-31,652,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,General,45,0,2018,Actual,YTD,2017-12-31,45,Department of Planning and Development,Planning & Development,72
Prisons,General,2234,0,2018,Actual,YTD,2017-12-31,2234,Philadelphia Prison System,Prisons,23
Procurement,General,45,0,2018,Actual,YTD,2017-12-31,45,Procurement Department,Procurement,38
Public Health,General,724,0,2018,Actual,YTD,2017-12-31,724,Department of Public Health,Public Health,14
Public Property,General,136,0,2018,Actual,YTD,2017-12-31,136,Department of Public Property,Public Property,20
Records,General,56,0,2018,Actual,YTD,2017-12-31,56,Department of Records,Records,31
Register of Wills,General,69,0,2018,Actual,YTD,2017-12-31,69,Register of Wills,,68
Revenue,General,406,0,2018,Actual,YTD,2017-12-31,406,Department of Revenue,Revenue,36
Sheriff,General,370,0,2018,Actual,YTD,2017-12-31,370,Office of the Sheriff,Sheriff,70
