dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,4,0,2009,Actual,YTD,2008-12-31,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,126,0,2009,Actual,YTD,2008-12-31,126,City Controller's Office,,61
Board of Building Standards,General,2,0,2009,Actual,YTD,2008-12-31,2,L&I: Board of Building and Standards,,29
Board of Ethics,General,9,0,2009,Actual,YTD,2008-12-31,9,Board of Ethics,,45
Board of L & I Review,General,3,0,2009,Actual,YTD,2008-12-31,3,L&I: Board of Review,,27
Bd. of Pensions,General,0,0,2009,Actual,YTD,2008-12-31,0,Board of Pensions,Pensions,53
Bd. of Revision of Taxes,General,137,0,2009,Actual,YTD,2008-12-31,137,Board of Revision of Taxes,BRT,63
Camp William Penn,General,1,0,2009,Actual,YTD,2008-12-31,1,Camp William Penn,,19
"Capital Program Office, Mayor-",General,36,0,2009,Actual,YTD,2008-12-31,36,Capital Program Office,,07
City Commissioners (Election Board),General,93,0,2009,Actual,YTD,2008-12-31,93,City Commissioner's Office,City Commissioners,73
City Council,General,193,0,2009,Actual,YTD,2008-12-31,193,City Council,,01
City Planning Commission,General,45,0,2009,Actual,YTD,2008-12-31,45,City Planning Commission,,51
City Representative,General,8,0,2009,Actual,YTD,2008-12-31,8,Office of the City Representative,City Rep,41
City Treasurer,General,8,0,2009,Actual,YTD,2008-12-31,8,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2009,Actual,YTD,2008-12-31,2,Civil Service Commission,,55
Clerk of Quarter Sessions,General,118,0,2009,Actual,YTD,2008-12-31,118,Clerk of Quarter Sessions,,64
Commerce,General,10,0,2009,Actual,YTD,2008-12-31,10,Office of the Director of Commerce,Commerce,42
Fairmount Park,General,154,0,2009,Actual,YTD,2008-12-31,154,Fairmount Park Commission,,17
Finance,General,172,0,2009,Actual,YTD,2008-12-31,172,Office of the Director of Finance,Finance,35
First Judicial District,General,1947,0,2009,Actual,YTD,2008-12-31,1947,First Judicial District,FJD,84
Fleet Management,General,311,0,2009,Actual,YTD,2008-12-31,311,Office of Fleet Management,Fleet,25
Free Library,General,706,0,2009,Actual,YTD,2008-12-31,706,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,6,0,2009,Actual,YTD,2008-12-31,6,Historical Commission,,32
Human Relations Commission,General,34,0,2009,Actual,YTD,2008-12-31,34,Commission on Human Relations,Human Relations,54
Human Services,General,1778,0,2009,Actual,YTD,2008-12-31,1778,Department of Human Services,DHS,22
"Information Services, Mayor's Office of",General,138,0,2009,Actual,YTD,2008-12-31,138,Office of Innovation and Technology,OIT,04
"Labor Relations, Mayor's Office of",General,7,0,2009,Actual,YTD,2008-12-31,7,Labor,,03
Law,General,182,0,2009,Actual,YTD,2008-12-31,182,Law Department,Law,44
Licenses & Inspections,General,353,0,2009,Actual,YTD,2008-12-31,353,Department of Licenses and Inspections,L&I,26
Managing Director (MDO),General,131,0,2009,Actual,YTD,2008-12-31,131,Managing Director's Office,MDO,10
Mayor,General,77,0,2009,Actual,YTD,2008-12-31,77,Mayor's Office,Mayor,05
Mayor's Office of Comm. Svcs.,General,0,0,2009,Actual,YTD,2008-12-31,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation,General,8,0,2009,Actual,YTD,2008-12-31,8,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,12,0,2009,Actual,YTD,2008-12-31,12,Mural Arts Program,Mural Arts,50
Off. of Behavioral Hith/Mental Retard. Svcs.,General,27,0,2009,Actual,YTD,2008-12-31,27,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Off.of Supportive Housing,General,134,0,2009,Actual,YTD,2008-12-31,134,Office of Homeless Services,OHS,24
Office of Housing and Community Develop.,General,0,0,2009,Actual,YTD,2008-12-31,0,Office of Housing and Community Development,,06
Personnel,General,65,0,2009,Actual,YTD,2008-12-31,65,Office of Human Resources,OHR,56
Prisons,General,2239,0,2009,Actual,YTD,2008-12-31,2239,Philadelphia Prison System,Prisons,23
Procurement,General,56,0,2009,Actual,YTD,2008-12-31,56,Procurement Department,Procurement,38
Public Health,General,672,0,2009,Actual,YTD,2008-12-31,672,Department of Public Health,Public Health,14
Public Property,General,146,0,2009,Actual,YTD,2008-12-31,146,Department of Public Property,Public Property,20
Records,General,69,0,2009,Actual,YTD,2008-12-31,69,Department of Records,Records,31
Recreation,General,453,0,2009,Actual,YTD,2008-12-31,453,Department of Parks and Recreation,Parks & Recreation,16
Register of Wills,General,68,0,2009,Actual,YTD,2008-12-31,68,Register of Wills,,68
Revenue,General,249,0,2009,Actual,YTD,2008-12-31,249,Department of Revenue,Revenue,36
Sheriff,General,237,0,2009,Actual,YTD,2008-12-31,237,Office of the Sheriff,Sheriff,70
Streets,General,586,0,2009,Actual,YTD,2008-12-31,586,Streets Department,Streets,12
Streets Sanitation,General,1213,0,2009,Actual,YTD,2008-12-31,1213,Streets: Sanitation,,12S
Water,General,0,0,2009,Actual,YTD,2008-12-31,0,Water Department,Water,28
Youth Commission,General,1,0,2009,Actual,YTD,2008-12-31,1,Youth Commission,,47
Zoning Board of Adjustment,General,5,0,2009,Actual,YTD,2008-12-31,5,Zoning Board of Adjustments,ZBA,30
Zoning Code Commission,General,0,0,2009,Actual,YTD,2008-12-31,0,Zoning Code Commission,,57
Atwater Kent Museum,Other,0,0,2009,Actual,YTD,2008-12-31,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Other,0,0,2009,Actual,YTD,2008-12-31,0,City Controller's Office,,61
Board of Building Standards,Other,0,0,2009,Actual,YTD,2008-12-31,0,L&I: Board of Building and Standards,,29
Board of Ethics,Other,0,0,2009,Actual,YTD,2008-12-31,0,Board of Ethics,,45
Board of L & I Review,Other,0,0,2009,Actual,YTD,2008-12-31,0,L&I: Board of Review,,27
Bd. of Pensions,Other,65,0,2009,Actual,YTD,2008-12-31,65,Board of Pensions,Pensions,53
Bd. of Revision of Taxes,Other,0,0,2009,Actual,YTD,2008-12-31,0,Board of Revision of Taxes,BRT,63
Camp William Penn,Other,0,0,2009,Actual,YTD,2008-12-31,0,Camp William Penn,,19
"Capital Program Office, Mayor-",Other,0,0,2009,Actual,YTD,2008-12-31,0,Capital Program Office,,07
City Commissioners (Election Board),Other,0,0,2009,Actual,YTD,2008-12-31,0,City Commissioner's Office,City Commissioners,73
City Council,Other,0,0,2009,Actual,YTD,2008-12-31,0,City Council,,01
City Planning Commission,Other,5,0,2009,Actual,YTD,2008-12-31,5,City Planning Commission,,51
City Representative,Other,0,0,2009,Actual,YTD,2008-12-31,0,Office of the City Representative,City Rep,41
City Treasurer,Other,0,0,2009,Actual,YTD,2008-12-31,0,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Other,0,0,2009,Actual,YTD,2008-12-31,0,Civil Service Commission,,55
Clerk of Quarter Sessions,Other,0,0,2009,Actual,YTD,2008-12-31,0,Clerk of Quarter Sessions,,64
Commerce,Other,770,0,2009,Actual,YTD,2008-12-31,770,Office of the Director of Commerce,Commerce,42
Fairmount Park,Other,1,0,2009,Actual,YTD,2008-12-31,1,Fairmount Park Commission,,17
Finance,Other,7,0,2009,Actual,YTD,2008-12-31,7,Office of the Director of Finance,Finance,35
