dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2014,Actual,YTD,2013-12-31,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,111,0,2014,Actual,YTD,2013-12-31,111,City Controller's Office,61,
Board of Ethics,General,9,0,2014,Actual,YTD,2013-12-31,9,Board of Ethics,45,
Board of Pensions,General,0,0,2014,Actual,YTD,2013-12-31,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,9,0,2014,Actual,YTD,2013-12-31,9,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,85,0,2014,Actual,YTD,2013-12-31,85,City Commissioner's Office,73,City Commissioners
City Council,General,174,0,2014,Actual,YTD,2013-12-31,174,City Council,01,
City Planning Commission,General,28,0,2014,Actual,YTD,2013-12-31,28,City Planning Commission,51,
City Representative,General,7,0,2014,Actual,YTD,2013-12-31,7,Office of the City Representative,41,City Rep
City Treasurer,General,13,0,2014,Actual,YTD,2013-12-31,13,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2014,Actual,YTD,2013-12-31,2,Civil Service Commission,55,
Commerce,General,27,0,2014,Actual,YTD,2013-12-31,27,Office of the Director of Commerce,42,Commerce
Finance,General,169,0,2014,Actual,YTD,2013-12-31,169,Office of the Director of Finance,35,Finance
First Judicial District,General,1871,0,2014,Actual,YTD,2013-12-31,1871,First Judicial District,84,FJD
Fleet Management,General,267,0,2014,Actual,YTD,2013-12-31,267,Office of Fleet Management,25,Fleet
Free Library,General,597,0,2014,Actual,YTD,2013-12-31,597,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,6,0,2014,Actual,YTD,2013-12-31,6,Historical Commission,32,
Human Relations Commission,General,30,0,2014,Actual,YTD,2013-12-31,30,Commission on Human Relations,54,Human Relations
Human Services (1),General,349,0,2014,Actual,YTD,2013-12-31,349,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,7,0,2014,Actual,YTD,2013-12-31,7,Labor,03,
Law,General,147,0,2014,Actual,YTD,2013-12-31,147,Law Department,44,Law
Licenses & Inspections,General,305,0,2014,Actual,YTD,2013-12-31,305,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2014,Actual,YTD,2013-12-31,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2014,Actual,YTD,2013-12-31,2,L&I: Board of Review,27,
L&I-Zoning Board of Adjustment,General,5,0,2014,Actual,YTD,2013-12-31,5,Zoning Board of Adjustments,30,ZBA
Managing Director's Office,General,272,0,2014,Actual,YTD,2013-12-31,272,Managing Director's Office,10,MDO
Mayor's Office,General,44,0,2014,Actual,YTD,2013-12-31,44,Mayor's Office,05,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2014,Actual,YTD,2013-12-31,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation & Utilities,General,13,0,2014,Actual,YTD,2013-12-31,13,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,General,11,0,2014,Actual,YTD,2013-12-31,11,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,1,0,2014,Actual,YTD,2013-12-31,1,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,16,0,2014,Actual,YTD,2013-12-31,16,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Housing & Comm. Development,General,0,0,2014,Actual,YTD,2013-12-31,0,Office of Housing and Community Development,06,
Office of Human Resources,General,80,0,2014,Actual,YTD,2013-12-31,80,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,256,0,2014,Actual,YTD,2013-12-31,256,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,17,0,2014,Actual,YTD,2013-12-31,17,Office of the Inspector General,48,OIG
Office of Property Assessment,General,173,0,2014,Actual,YTD,2013-12-31,173,Office of Property Assessment,59,OPA
Office of Supportive Housing,General,152,0,2014,Actual,YTD,2013-12-31,152,Office of Homeless Services,24,OHS
Parks and Recreation,General,602,0,2014,Actual,YTD,2013-12-31,602,Department of Parks and Recreation,16,Parks & Recreation
Prisons,General,2293,0,2014,Actual,YTD,2013-12-31,2293,Philadelphia Prison System,23,Prisons
Procurement,General,46,0,2014,Actual,YTD,2013-12-31,46,Procurement Department,38,Procurement
Public Health,General,674,0,2014,Actual,YTD,2013-12-31,674,Department of Public Health,14,Public Health
Public Property,General,124,0,2014,Actual,YTD,2013-12-31,124,Department of Public Property,20,Public Property
Records,General,60,0,2014,Actual,YTD,2013-12-31,60,Department of Records,31,Records
