dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,4,0,2012,Actual,YTD,2012-06-30,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,111,0,2012,Actual,YTD,2012-06-30,111,City Controller's Office,,61
Board of Building Standards,General,1,0,2012,Actual,YTD,2012-06-30,1,L&I: Board of Building and Standards,,29
Board of Ethics,General,8,0,2012,Actual,YTD,2012-06-30,8,Board of Ethics,,45
Board of L & I Review,General,2,0,2012,Actual,YTD,2012-06-30,2,L&I: Board of Review,,27
Board of Pensions,General,0,0,2012,Actual,YTD,2012-06-30,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,8,0,2012,Actual,YTD,2012-06-30,8,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,91,0,2012,Actual,YTD,2012-06-30,91,City Commissioner's Office,City Commissioners,73
City Council,General,175,0,2012,Actual,YTD,2012-06-30,175,City Council,,01
City Planning Commission,General,34,0,2012,Actual,YTD,2012-06-30,34,City Planning Commission,,51
City Representative,General,6,0,2012,Actual,YTD,2012-06-30,6,Office of the City Representative,City Rep,41
City Treasurer,General,14,0,2012,Actual,YTD,2012-06-30,14,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2012,Actual,YTD,2012-06-30,2,Civil Service Commission,,55
Commerce,General,18,0,2012,Actual,YTD,2012-06-30,18,Office of the Director of Commerce,Commerce,42
Finance,General,156,0,2012,Actual,YTD,2012-06-30,156,Office of the Director of Finance,Finance,35
First Judicial District,General,1957,0,2012,Actual,YTD,2012-06-30,1957,First Judicial District,FJD,84
Fleet Management,General,268,0,2012,Actual,YTD,2012-06-30,268,Office of Fleet Management,Fleet,25
Free Library,General,608,0,2012,Actual,YTD,2012-06-30,608,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,4,0,2012,Actual,YTD,2012-06-30,4,Historical Commission,,32
Human Relations Commission,General,29,0,2012,Actual,YTD,2012-06-30,29,Commission on Human Relations,Human Relations,54
Human Services (1),General,804,0,2012,Actual,YTD,2012-06-30,804,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",General,8,0,2012,Actual,YTD,2012-06-30,8,Labor,,03
Law,General,105,0,2012,Actual,YTD,2012-06-30,105,Law Department,Law,44
Licenses & Inspections,General,298,0,2012,Actual,YTD,2012-06-30,298,Department of Licenses and Inspections,L&I,26
Managing Director (MDO),General,145,0,2012,Actual,YTD,2012-06-30,145,Managing Director's Office,MDO,10
Mayor,General,33,0,2012,Actual,YTD,2012-06-30,33,Mayor's Office,Mayor,05
Mayor - Office of Arts and Culture,General,2,0,2012,Actual,YTD,2012-06-30,2,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Mayor - Office of the Inspector General,General,17,0,2012,Actual,YTD,2012-06-30,17,Office of the Inspector General,OIG,48
Mayor's Office of Comm. Svcs.,General,0,0,2012,Actual,YTD,2012-06-30,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation,General,8,0,2012,Actual,YTD,2012-06-30,8,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,11,0,2012,Actual,YTD,2012-06-30,11,Mural Arts Program,Mural Arts,50
Off. of Behavioral Hith/Mental Retard. Svcs.,General,19,0,2012,Actual,YTD,2012-06-30,19,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Human Resources,General,80,0,2012,Actual,YTD,2012-06-30,80,Office of Human Resources,OHR,56
Office of Innovation and Technology,General,255,0,2012,Actual,YTD,2012-06-30,255,Office of Innovation and Technology,OIT,04
Office of Property Assessment (2),General,157,0,2012,Actual,YTD,2012-06-30,157,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Off.c of Supportive Housing,General,147,0,2012,Actual,YTD,2012-06-30,147,Office of Homeless Services,OHS,24
Office of Housing and Community Develop.,General,0,0,2012,Actual,YTD,2012-06-30,0,Office of Housing and Community Development,,06
Parks and Recreation,General,574,0,2012,Actual,YTD,2012-06-30,574,Department of Parks and Recreation,Parks & Recreation,16
Prisons,General,2144,0,2012,Actual,YTD,2012-06-30,2144,Philadelphia Prison System,Prisons,23
Procurement,General,45,0,2012,Actual,YTD,2012-06-30,45,Procurement Department,Procurement,38
Public Health,General,669,0,2012,Actual,YTD,2012-06-30,669,Department of Public Health,Public Health,14
Public Property,General,122,0,2012,Actual,YTD,2012-06-30,122,Department of Public Property,Public Property,20
Records,General,64,0,2012,Actual,YTD,2012-06-30,64,Department of Records,Records,31
Register of Wills,General,61,0,2012,Actual,YTD,2012-06-30,61,Register of Wills,,68
Revenue,General,286,0,2012,Actual,YTD,2012-06-30,286,Department of Revenue,Revenue,36
Sheriff,General,226,0,2012,Actual,YTD,2012-06-30,226,Office of the Sheriff,Sheriff,70
Streets,General,525,0,2012,Actual,YTD,2012-06-30,525,Streets Department,Streets,12
Streets Sanitation,General,1157,0,2012,Actual,YTD,2012-06-30,1157,Streets: Sanitation,,12S
Water,General,0,0,2012,Actual,YTD,2012-06-30,0,Water Department,Water,28
Youth Commission,General,1,0,2012,Actual,YTD,2012-06-30,1,Youth Commission,,47
Zoning Board of Adjustment,General,5,0,2012,Actual,YTD,2012-06-30,5,Zoning Board of Adjustments,ZBA,30
Zoning Code Commission,General,0,0,2012,Actual,YTD,2012-06-30,0,Zoning Code Commission,,57
Atwater Kent Museum,Other,0,0,2012,Actual,YTD,2012-06-30,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Other,0,0,2012,Actual,YTD,2012-06-30,0,City Controller's Office,,61
Board of Building Standards,Other,0,0,2012,Actual,YTD,2012-06-30,0,L&I: Board of Building and Standards,,29
Board of Ethics,Other,0,0,2012,Actual,YTD,2012-06-30,0,Board of Ethics,,45
Board of L & I Review,Other,0,0,2012,Actual,YTD,2012-06-30,0,L&I: Board of Review,,27
Board of Pensions,Other,61,0,2012,Actual,YTD,2012-06-30,61,Board of Pensions,Pensions,53
Board of Revision of Taxes,Other,0,0,2012,Actual,YTD,2012-06-30,0,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Other,0,0,2012,Actual,YTD,2012-06-30,0,City Commissioner's Office,City Commissioners,73
City Council,Other,0,0,2012,Actual,YTD,2012-06-30,0,City Council,,01
City Planning Commission,Other,4,0,2012,Actual,YTD,2012-06-30,4,City Planning Commission,,51
City Representative,Other,0,0,2012,Actual,YTD,2012-06-30,0,Office of the City Representative,City Rep,41
City Treasurer,Other,0,0,2012,Actual,YTD,2012-06-30,0,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Other,0,0,2012,Actual,YTD,2012-06-30,0,Civil Service Commission,,55
Commerce,Other,751,0,2012,Actual,YTD,2012-06-30,751,Office of the Director of Commerce,Commerce,42
Finance,Other,0,0,2012,Actual,YTD,2012-06-30,0,Office of the Director of Finance,Finance,35
First Judicial District,Other,493,0,2012,Actual,YTD,2012-06-30,493,First Judicial District,FJD,84
Fleet Management,Other,70,0,2012,Actual,YTD,2012-06-30,70,Office of Fleet Management,Fleet,25
Free Library,Other,38,0,2012,Actual,YTD,2012-06-30,38,The Free Library of Philadelphia,Free Library,52
Historical Commission,Other,0,0,2012,Actual,YTD,2012-06-30,0,Historical Commission,,32
Human Relations Commission,Other,0,0,2012,Actual,YTD,2012-06-30,0,Commission on Human Relations,Human Relations,54
Human Services (1),Other,830,0,2012,Actual,YTD,2012-06-30,830,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",Other,0,0,2012,Actual,YTD,2012-06-30,0,Labor,,03
Law,Other,55,0,2012,Actual,YTD,2012-06-30,55,Law Department,Law,44
Licenses & Inspections,Other,16,0,2012,Actual,YTD,2012-06-30,16,Department of Licenses and Inspections,L&I,26
Managing Director (MDO),Other,26,0,2012,Actual,YTD,2012-06-30,26,Managing Director's Office,MDO,10
Mayor,Other,3,0,2012,Actual,YTD,2012-06-30,3,Mayor's Office,Mayor,05
Mayor - Office of Arts and Culture,Other,0,0,2012,Actual,YTD,2012-06-30,0,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Mayor - Office of the Inspector General,Other,0,0,2012,Actual,YTD,2012-06-30,0,Office of the Inspector General,OIG,48
Mayor's Office of Comm. Svcs.,Other,63,0,2012,Actual,YTD,2012-06-30,63,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation,Other,3,0,2012,Actual,YTD,2012-06-30,3,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,Other,0,0,2012,Actual,YTD,2012-06-30,0,Mural Arts Program,Mural Arts,50
Off. of Behavioral Hith/Mental Retard. Svcs.,Other,229,0,2012,Actual,YTD,2012-06-30,229,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Human Resources,Other,0,0,2012,Actual,YTD,2012-06-30,0,Office of Human Resources,OHR,56
Office of Innovation and Technology,Other,64,0,2012,Actual,YTD,2012-06-30,64,Office of Innovation and Technology,OIT,04
Office of Property Assessment (2),Other,0,0,2012,Actual,YTD,2012-06-30,0,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Off.c of Supportive Housing,Other,8,0,2012,Actual,YTD,2012-06-30,8,Office of Homeless Services,OHS,24
Office of Housing and Community Develop.,Other,59,0,2012,Actual,YTD,2012-06-30,59,Office of Housing and Community Development,,06
Parks and Recreation,Other,23,0,2012,Actual,YTD,2012-06-30,23,Department of Parks and Recreation,Parks & Recreation,16
Prisons,Other,0,0,2012,Actual,YTD,2012-06-30,0,Philadelphia Prison System,Prisons,23
Procurement,Other,0,0,2012,Actual,YTD,2012-06-30,0,Procurement Department,Procurement,38
Public Health,Other,188,0,2012,Actual,YTD,2012-06-30,188,Department of Public Health,Public Health,14
Public Property,Other,0,0,2012,Actual,YTD,2012-06-30,0,Department of Public Property,Public Property,20
Records,Other,0,0,2012,Actual,YTD,2012-06-30,0,Department of Records,Records,31
Register of Wills,Other,0,0,2012,Actual,YTD,2012-06-30,0,Register of Wills,,68
Revenue,Other,239,0,2012,Actual,YTD,2012-06-30,239,Department of Revenue,Revenue,36
Sheriff,Other,0,0,2012,Actual,YTD,2012-06-30,0,Office of the Sheriff,Sheriff,70
Streets,Other,0,0,2012,Actual,YTD,2012-06-30,0,Streets Department,Streets,12
Streets Sanitation,Other,0,0,2012,Actual,YTD,2012-06-30,0,Streets: Sanitation,,12S
Water,Other,1629,0,2012,Actual,YTD,2012-06-30,1629,Water Department,Water,28
Youth Commission,Other,0,0,2012,Actual,YTD,2012-06-30,0,Youth Commission,,47
Zoning Board of Adjustment,Other,0,0,2012,Actual,YTD,2012-06-30,0,Zoning Board of Adjustments,ZBA,30
Zoning Code Commission,Other,0,0,2012,Actual,YTD,2012-06-30,0,Zoning Code Commission,,57
Atwater Kent Museum,Total,4,0,2012,Actual,YTD,2012-06-30,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Total,111,0,2012,Actual,YTD,2012-06-30,111,City Controller's Office,,61
Board of Building Standards,Total,1,0,2012,Actual,YTD,2012-06-30,1,L&I: Board of Building and Standards,,29
Board of Ethics,Total,8,0,2012,Actual,YTD,2012-06-30,8,Board of Ethics,,45
Board of L & I Review,Total,2,0,2012,Actual,YTD,2012-06-30,2,L&I: Board of Review,,27
Board of Pensions,Total,61,0,2012,Actual,YTD,2012-06-30,61,Board of Pensions,Pensions,53
Board of Revision of Taxes,Total,8,0,2012,Actual,YTD,2012-06-30,8,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Total,91,0,2012,Actual,YTD,2012-06-30,91,City Commissioner's Office,City Commissioners,73
City Council,Total,175,0,2012,Actual,YTD,2012-06-30,175,City Council,,01
City Planning Commission,Total,38,0,2012,Actual,YTD,2012-06-30,38,City Planning Commission,,51
City Representative,Total,6,0,2012,Actual,YTD,2012-06-30,6,Office of the City Representative,City Rep,41
City Treasurer,Total,14,0,2012,Actual,YTD,2012-06-30,14,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Total,2,0,2012,Actual,YTD,2012-06-30,2,Civil Service Commission,,55
Commerce,Total,769,0,2012,Actual,YTD,2012-06-30,769,Office of the Director of Commerce,Commerce,42
Finance,Total,156,0,2012,Actual,YTD,2012-06-30,156,Office of the Director of Finance,Finance,35
First Judicial District,Total,2450,0,2012,Actual,YTD,2012-06-30,2450,First Judicial District,FJD,84
Fleet Management,Total,338,0,2012,Actual,YTD,2012-06-30,338,Office of Fleet Management,Fleet,25
Free Library,Total,646,0,2012,Actual,YTD,2012-06-30,646,The Free Library of Philadelphia,Free Library,52
Historical Commission,Total,4,0,2012,Actual,YTD,2012-06-30,4,Historical Commission,,32
Human Relations Commission,Total,29,0,2012,Actual,YTD,2012-06-30,29,Commission on Human Relations,Human Relations,54
Human Services (1),Total,1634,0,2012,Actual,YTD,2012-06-30,1634,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",Total,8,0,2012,Actual,YTD,2012-06-30,8,Labor,,03
Law,Total,160,0,2012,Actual,YTD,2012-06-30,160,Law Department,Law,44
Licenses & Inspections,Total,314,0,2012,Actual,YTD,2012-06-30,314,Department of Licenses and Inspections,L&I,26
Managing Director (MDO),Total,171,0,2012,Actual,YTD,2012-06-30,171,Managing Director's Office,MDO,10
Mayor,Total,36,0,2012,Actual,YTD,2012-06-30,36,Mayor's Office,Mayor,05
Mayor - Office of Arts and Culture,Total,2,0,2012,Actual,YTD,2012-06-30,2,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Mayor - Office of the Inspector General,Total,17,0,2012,Actual,YTD,2012-06-30,17,Office of the Inspector General,OIG,48
Mayor's Office of Comm. Svcs.,Total,63,0,2012,Actual,YTD,2012-06-30,63,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation,Total,11,0,2012,Actual,YTD,2012-06-30,11,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,Total,11,0,2012,Actual,YTD,2012-06-30,11,Mural Arts Program,Mural Arts,50
Off. of Behavioral Hith/Mental Retard. Svcs.,Total,248,0,2012,Actual,YTD,2012-06-30,248,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Human Resources,Total,80,0,2012,Actual,YTD,2012-06-30,80,Office of Human Resources,OHR,56
Office of Innovation and Technology,Total,319,0,2012,Actual,YTD,2012-06-30,319,Office of Innovation and Technology,OIT,04
Office of Property Assessment (2),Total,157,0,2012,Actual,YTD,2012-06-30,157,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Off.c of Supportive Housing,Total,155,0,2012,Actual,YTD,2012-06-30,155,Office of Homeless Services,OHS,24
Office of Housing and Community Develop.,Total,59,0,2012,Actual,YTD,2012-06-30,59,Office of Housing and Community Development,,06
Parks and Recreation,Total,597,0,2012,Actual,YTD,2012-06-30,597,Department of Parks and Recreation,Parks & Recreation,16
Prisons,Total,2144,0,2012,Actual,YTD,2012-06-30,2144,Philadelphia Prison System,Prisons,23
Procurement,Total,45,0,2012,Actual,YTD,2012-06-30,45,Procurement Department,Procurement,38
Public Health,Total,857,0,2012,Actual,YTD,2012-06-30,857,Department of Public Health,Public Health,14
Public Property,Total,122,0,2012,Actual,YTD,2012-06-30,122,Department of Public Property,Public Property,20
Records,Total,64,0,2012,Actual,YTD,2012-06-30,64,Department of Records,Records,31
Register of Wills,Total,61,0,2012,Actual,YTD,2012-06-30,61,Register of Wills,,68
Revenue,Total,525,0,2012,Actual,YTD,2012-06-30,525,Department of Revenue,Revenue,36
Sheriff,Total,226,0,2012,Actual,YTD,2012-06-30,226,Office of the Sheriff,Sheriff,70
Streets,Total,525,0,2012,Actual,YTD,2012-06-30,525,Streets Department,Streets,12
Streets Sanitation,Total,1157,0,2012,Actual,YTD,2012-06-30,1157,Streets: Sanitation,,12S
Water,Total,1629,0,2012,Actual,YTD,2012-06-30,1629,Water Department,Water,28
Youth Commission,Total,1,0,2012,Actual,YTD,2012-06-30,1,Youth Commission,,47
Zoning Board of Adjustment,Total,5,0,2012,Actual,YTD,2012-06-30,5,Zoning Board of Adjustments,ZBA,30
Zoning Code Commission,Total,0,0,2012,Actual,YTD,2012-06-30,0,Zoning Code Commission,,57
Police,General,812,6413,2012,Actual,YTD,2012-06-30,7225,Police Department,Police,11
Police,Other,11,153,2012,Actual,YTD,2012-06-30,164,Police Department,Police,11
Police,Total,823,6566,2012,Actual,YTD,2012-06-30,7389,Police Department,Police,11
Fire,General,1969,103,2012,Actual,YTD,2012-06-30,2072,Fire Department,Fire,13
Fire,Other,71,4,2012,Actual,YTD,2012-06-30,75,Fire Department,Fire,13
Fire,Total,2040,107,2012,Actual,YTD,2012-06-30,2147,Fire Department,Fire,13
District Attorney,General,400,14,2012,Actual,YTD,2012-06-30,414,District Attorney's Office,DAO,69
District Attorney,Other,98,8,2012,Actual,YTD,2012-06-30,106,District Attorney's Office,DAO,69
District Attorney,Total,498,22,2012,Actual,YTD,2012-06-30,520,District Attorney's Office,DAO,69
Atwater Kent Museum,General,4,0,2011,Actual,Full Year,2011-06-30,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,113,0,2011,Actual,Full Year,2011-06-30,113,City Controller's Office,,61
Board of Building Standards,General,1,0,2011,Actual,Full Year,2011-06-30,1,L&I: Board of Building and Standards,,29
Board of Ethics,General,8,0,2011,Actual,Full Year,2011-06-30,8,Board of Ethics,,45
Board of L & I Review,General,2,0,2011,Actual,Full Year,2011-06-30,2,L&I: Board of Review,,27
Board of Pensions,General,0,0,2011,Actual,Full Year,2011-06-30,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,8,0,2011,Actual,Full Year,2011-06-30,8,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,95,0,2011,Actual,Full Year,2011-06-30,95,City Commissioner's Office,City Commissioners,73
City Council,General,182,0,2011,Actual,Full Year,2011-06-30,182,City Council,,01
City Planning Commission,General,33,0,2011,Actual,Full Year,2011-06-30,33,City Planning Commission,,51
City Representative,General,6,0,2011,Actual,Full Year,2011-06-30,6,Office of the City Representative,City Rep,41
City Treasurer,General,13,0,2011,Actual,Full Year,2011-06-30,13,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2011,Actual,Full Year,2011-06-30,2,Civil Service Commission,,55
Commerce,General,23,0,2011,Actual,Full Year,2011-06-30,23,Office of the Director of Commerce,Commerce,42
Finance,General,140,0,2011,Actual,Full Year,2011-06-30,140,Office of the Director of Finance,Finance,35
First Judicial District,General,1869,0,2011,Actual,Full Year,2011-06-30,1869,First Judicial District,FJD,84
Fleet Management,General,265,0,2011,Actual,Full Year,2011-06-30,265,Office of Fleet Management,Fleet,25
Free Library,General,619,0,2011,Actual,Full Year,2011-06-30,619,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,6,0,2011,Actual,Full Year,2011-06-30,6,Historical Commission,,32
Human Relations Commission,General,30,0,2011,Actual,Full Year,2011-06-30,30,Commission on Human Relations,Human Relations,54
Human Services (1),General,1668,0,2011,Actual,Full Year,2011-06-30,1668,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",General,6,0,2011,Actual,Full Year,2011-06-30,6,Labor,,03
Law,General,160,0,2011,Actual,Full Year,2011-06-30,160,Law Department,Law,44
Licenses & Inspections,General,290,0,2011,Actual,Full Year,2011-06-30,290,Department of Licenses and Inspections,L&I,26
Managing Director (MDO),General,153,0,2011,Actual,Full Year,2011-06-30,153,Managing Director's Office,MDO,10
Mayor,General,33,0,2011,Actual,Full Year,2011-06-30,33,Mayor's Office,Mayor,05
Mayor - Office of Arts and Culture,General,2,0,2011,Actual,Full Year,2011-06-30,2,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Mayor - Office of the Inspector General,General,16,0,2011,Actual,Full Year,2011-06-30,16,Office of the Inspector General,OIG,48
Mayor's Office of Comm. Svcs.,General,0,0,2011,Actual,Full Year,2011-06-30,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation,General,8,0,2011,Actual,Full Year,2011-06-30,8,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,12,0,2011,Actual,Full Year,2011-06-30,12,Mural Arts Program,Mural Arts,50
Off. of Behavioral Hith/Mental Retard. Svcs.,General,21,0,2011,Actual,Full Year,2011-06-30,21,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Human Resources,General,73,0,2011,Actual,Full Year,2011-06-30,73,Office of Human Resources,OHR,56
Office of Innovation and Technology,General,258,0,2011,Actual,Full Year,2011-06-30,258,Office of Innovation and Technology,OIT,04
Office of Property Assessment (2),General,132,0,2011,Actual,Full Year,2011-06-30,132,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Off.c of Supportive Housing,General,116,0,2011,Actual,Full Year,2011-06-30,116,Office of Homeless Services,OHS,24
Office of Housing and Community Develop.,General,0,0,2011,Actual,Full Year,2011-06-30,0,Office of Housing and Community Development,,06
Parks and Recreation,General,590,0,2011,Actual,Full Year,2011-06-30,590,Department of Parks and Recreation,Parks & Recreation,16
Prisons,General,2166,0,2011,Actual,Full Year,2011-06-30,2166,Philadelphia Prison System,Prisons,23
Procurement,General,45,0,2011,Actual,Full Year,2011-06-30,45,Procurement Department,Procurement,38
Public Health,General,661,0,2011,Actual,Full Year,2011-06-30,661,Department of Public Health,Public Health,14
Public Property,General,126,0,2011,Actual,Full Year,2011-06-30,126,Department of Public Property,Public Property,20
Records,General,61,0,2011,Actual,Full Year,2011-06-30,61,Department of Records,Records,31
Register of Wills,General,63,0,2011,Actual,Full Year,2011-06-30,63,Register of Wills,,68
Revenue,General,248,0,2011,Actual,Full Year,2011-06-30,248,Department of Revenue,Revenue,36
Sheriff,General,221,0,2011,Actual,Full Year,2011-06-30,221,Office of the Sheriff,Sheriff,70
Streets,General,510,0,2011,Actual,Full Year,2011-06-30,510,Streets Department,Streets,12
Streets Sanitation,General,1179,0,2011,Actual,Full Year,2011-06-30,1179,Streets: Sanitation,,12S
Water,General,0,0,2011,Actual,Full Year,2011-06-30,0,Water Department,Water,28
Youth Commission,General,1,0,2011,Actual,Full Year,2011-06-30,1,Youth Commission,,47
Zoning Board of Adjustment,General,5,0,2011,Actual,Full Year,2011-06-30,5,Zoning Board of Adjustments,ZBA,30
Zoning Code Commission,General,2,0,2011,Actual,Full Year,2011-06-30,2,Zoning Code Commission,,57
Atwater Kent Museum,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Other,0,0,2011,Actual,Full Year,2011-06-30,0,City Controller's Office,,61
Board of Building Standards,Other,0,0,2011,Actual,Full Year,2011-06-30,0,L&I: Board of Building and Standards,,29
Board of Ethics,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Board of Ethics,,45
Board of L & I Review,Other,0,0,2011,Actual,Full Year,2011-06-30,0,L&I: Board of Review,,27
Board of Pensions,Other,65,0,2011,Actual,Full Year,2011-06-30,65,Board of Pensions,Pensions,53
Board of Revision of Taxes,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Other,0,0,2011,Actual,Full Year,2011-06-30,0,City Commissioner's Office,City Commissioners,73
City Council,Other,0,0,2011,Actual,Full Year,2011-06-30,0,City Council,,01
City Planning Commission,Other,3,0,2011,Actual,Full Year,2011-06-30,3,City Planning Commission,,51
City Representative,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Office of the City Representative,City Rep,41
City Treasurer,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Civil Service Commission,,55
Commerce,Other,731,0,2011,Actual,Full Year,2011-06-30,731,Office of the Director of Commerce,Commerce,42
Finance,Other,3,0,2011,Actual,Full Year,2011-06-30,3,Office of the Director of Finance,Finance,35
First Judicial District,Other,503,0,2011,Actual,Full Year,2011-06-30,503,First Judicial District,FJD,84
Fleet Management,Other,66,0,2011,Actual,Full Year,2011-06-30,66,Office of Fleet Management,Fleet,25
Free Library,Other,63,0,2011,Actual,Full Year,2011-06-30,63,The Free Library of Philadelphia,Free Library,52
Historical Commission,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Historical Commission,,32
Human Relations Commission,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Commission on Human Relations,Human Relations,54
Human Services (1),Other,48,0,2011,Actual,Full Year,2011-06-30,48,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",Other,0,0,2011,Actual,Full Year,2011-06-30,0,Labor,,03
Law,Other,55,0,2011,Actual,Full Year,2011-06-30,55,Law Department,Law,44
Licenses & Inspections,Other,12,0,2011,Actual,Full Year,2011-06-30,12,Department of Licenses and Inspections,L&I,26
Managing Director (MDO),Other,17,0,2011,Actual,Full Year,2011-06-30,17,Managing Director's Office,MDO,10
Mayor,Other,4,0,2011,Actual,Full Year,2011-06-30,4,Mayor's Office,Mayor,05
Mayor - Office of Arts and Culture,Other,0,0,2011,Actual,Full Year,2011-06-30,0,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Mayor - Office of the Inspector General,Other,0,0,2011,Actual,Full Year,2011-06-30,0,Office of the Inspector General,OIG,48
Mayor's Office of Comm. Svcs.,Other,73,0,2011,Actual,Full Year,2011-06-30,73,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation,Other,2,0,2011,Actual,Full Year,2011-06-30,2,Mayor's Office of Transportation and Utilities,,46
