dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Auditing (City Controller's Office),General,118,0,2021,Actual,YTD,2021-06-30,118,City Controller's Office,,61
Board of Ethics,General,9,0,2021,Actual,YTD,2021-06-30,9,Board of Ethics,,45
Board of Pensions,General,0,0,2021,Actual,YTD,2021-06-30,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,15,0,2021,Actual,YTD,2021-06-30,15,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,137,0,2021,Actual,YTD,2021-06-30,137,City Commissioner's Office,City Commissioners,73
City Council,General,182,0,2021,Actual,YTD,2021-06-30,182,City Council,,01
City Representative,General,0,0,2021,Actual,YTD,2021-06-30,0,Office of the City Representative,City Rep,41
City Treasurer,General,16,0,2021,Actual,YTD,2021-06-30,16,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,1,0,2021,Actual,YTD,2021-06-30,1,Civil Service Commission,,55
Commerce,General,37,0,2021,Actual,YTD,2021-06-30,37,Office of the Director of Commerce,Commerce,42
Finance,General,119,0,2021,Actual,YTD,2021-06-30,119,Office of the Director of Finance,Finance,35
First Judicial District,General,1773,0,2021,Actual,YTD,2021-06-30,1773,First Judicial District,FJD,84
Fleet Management,General,268,0,2021,Actual,YTD,2021-06-30,268,Office of Fleet Management,Fleet,25
Free Library,General,634,0,2021,Actual,YTD,2021-06-30,634,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,General,32,0,2021,Actual,YTD,2021-06-30,32,Commission on Human Relations,Human Relations,54
Human Services (1),General,492,0,2021,Actual,YTD,2021-06-30,492,Department of Human Services,DHS,22
Labor,General,26,0,2021,Actual,YTD,2021-06-30,26,Labor,,03
Law,General,127,0,2021,Actual,YTD,2021-06-30,127,Law Department,Law,44
Licenses & Inspections,General,372,0,2021,Actual,YTD,2021-06-30,372,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2021,Actual,YTD,2021-06-30,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,1,0,2021,Actual,YTD,2021-06-30,1,L&I: Board of Review,,27
Managing Director's Office,General,290,0,2021,Actual,YTD,2021-06-30,290,Managing Director's Office,MDO,10
Mayor's Office,General,61,0,2021,Actual,YTD,2021-06-30,61,Mayor's Office,Mayor,05
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2021,Actual,YTD,2021-06-30,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,General,8,0,2021,Actual,YTD,2021-06-30,8,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,0,0,2021,Actual,YTD,2021-06-30,0,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith & Intellectual disAbility,General,23,0,2021,Actual,YTD,2021-06-30,23,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,General,59,0,2021,Actual,YTD,2021-06-30,59,Office of the Chief Administrative Officer,CAO,65
Office of Children and Families,General,3,0,2021,Actual,YTD,2021-06-30,3,Office of Children and Families,OCF,66
Office of Homeless Services,General,127,0,2021,Actual,YTD,2021-06-30,127,Office of Homeless Services,OHS,24
Office of Human Resources,General,75,0,2021,Actual,YTD,2021-06-30,75,Office of Human Resources,OHR,56
Office of Innovation and Technology,General,313,0,2021,Actual,YTD,2021-06-30,313,Office of Innovation and Technology,OIT,04
Office of the Inspector General,General,18,0,2021,Actual,YTD,2021-06-30,18,Office of the Inspector General,OIG,48
Office of Property Assessment,General,190,0,2021,Actual,YTD,2021-06-30,190,Office of Property Assessment,OPA,59
Office of Sustainability,General,8,0,2021,Actual,YTD,2021-06-30,8,Office of Sustainability,Sustainability,49
Parks and Recreation,General,644,0,2021,Actual,YTD,2021-06-30,644,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,General,55,0,2021,Actual,YTD,2021-06-30,55,Department of Planning and Development,Planning & Development,72
Prisons,General,1620,0,2021,Actual,YTD,2021-06-30,1620,Philadelphia Prison System,Prisons,23
Procurement,General,35,0,2021,Actual,YTD,2021-06-30,35,Procurement Department,Procurement,38
Public Health,General,716,0,2021,Actual,YTD,2021-06-30,716,Department of Public Health,Public Health,14
Public Property,General,142,0,2021,Actual,YTD,2021-06-30,142,Department of Public Property,Public Property,20
Records,General,51,0,2021,Actual,YTD,2021-06-30,51,Department of Records,Records,31
Register of Wills,General,70,0,2021,Actual,YTD,2021-06-30,70,Register of Wills,,68
Revenue,General,386,0,2021,Actual,YTD,2021-06-30,386,Department of Revenue,Revenue,36
Sheriff,General,367,0,2021,Actual,YTD,2021-06-30,367,Office of the Sheriff,Sheriff,70
Streets,General,1941,0,2021,Actual,YTD,2021-06-30,1941,Streets Department,Streets,12
Water,General,0,0,2021,Actual,YTD,2021-06-30,0,Water Department,Water,28
"Water,Sewer & Stormwater Rate Board",General,0,0,2021,Actual,YTD,2021-06-30,0,"Water, Sewer, and Stormwater Rate Board",,67
Auditing (City Controller's Office),Other,0,0,2021,Actual,YTD,2021-06-30,0,City Controller's Office,,61
Board of Ethics,Other,0,0,2021,Actual,YTD,2021-06-30,0,Board of Ethics,,45
Board of Pensions,Other,55,0,2021,Actual,YTD,2021-06-30,55,Board of Pensions,Pensions,53
Board of Revision of Taxes,Other,0,0,2021,Actual,YTD,2021-06-30,0,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Other,0,0,2021,Actual,YTD,2021-06-30,0,City Commissioner's Office,City Commissioners,73
City Council,Other,0,0,2021,Actual,YTD,2021-06-30,0,City Council,,01
City Representative,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of the City Representative,City Rep,41
City Treasurer,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Other,0,0,2021,Actual,YTD,2021-06-30,0,Civil Service Commission,,55
Commerce,Other,730,0,2021,Actual,YTD,2021-06-30,730,Office of the Director of Commerce,Commerce,42
Finance,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of the Director of Finance,Finance,35
First Judicial District,Other,452,0,2021,Actual,YTD,2021-06-30,452,First Judicial District,FJD,84
Fleet Management,Other,67,0,2021,Actual,YTD,2021-06-30,67,Office of Fleet Management,Fleet,25
Free Library,Other,11,0,2021,Actual,YTD,2021-06-30,11,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,Other,0,0,2021,Actual,YTD,2021-06-30,0,Commission on Human Relations,Human Relations,54
Human Services (1),Other,972,0,2021,Actual,YTD,2021-06-30,972,Department of Human Services,DHS,22
Labor,Other,0,0,2021,Actual,YTD,2021-06-30,0,Labor,,03
Law,Other,48,0,2021,Actual,YTD,2021-06-30,48,Law Department,Law,44
Licenses & Inspections,Other,8,0,2021,Actual,YTD,2021-06-30,8,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,Other,0,0,2021,Actual,YTD,2021-06-30,0,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,Other,0,0,2021,Actual,YTD,2021-06-30,0,L&I: Board of Review,,27
Managing Director's Office,Other,125,0,2021,Actual,YTD,2021-06-30,125,Managing Director's Office,MDO,10
Mayor's Office,Other,3,0,2021,Actual,YTD,2021-06-30,3,Mayor's Office,Mayor,05
Mayor's Office-Comm. Empowerment & Opp.,Other,29,0,2021,Actual,YTD,2021-06-30,29,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,Other,0,0,2021,Actual,YTD,2021-06-30,0,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,Other,0,0,2021,Actual,YTD,2021-06-30,0,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith & Intellectual disAbility,Other,230,0,2021,Actual,YTD,2021-06-30,230,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of the Chief Administrative Officer,CAO,65
Office of Children and Families,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of Children and Families,OCF,66
Office of Homeless Services,Other,43,0,2021,Actual,YTD,2021-06-30,43,Office of Homeless Services,OHS,24
Office of Human Resources,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of Human Resources,OHR,56
Office of Innovation and Technology,Other,102,0,2021,Actual,YTD,2021-06-30,102,Office of Innovation and Technology,OIT,04
Office of the Inspector General,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of the Inspector General,OIG,48
Office of Property Assessment,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of Property Assessment,OPA,59
Office of Sustainability,Other,2,0,2021,Actual,YTD,2021-06-30,2,Office of Sustainability,Sustainability,49
Parks and Recreation,Other,26,0,2021,Actual,YTD,2021-06-30,26,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,Other,51,0,2021,Actual,YTD,2021-06-30,51,Department of Planning and Development,Planning & Development,72
Prisons,Other,0,0,2021,Actual,YTD,2021-06-30,0,Philadelphia Prison System,Prisons,23
Procurement,Other,2,0,2021,Actual,YTD,2021-06-30,2,Procurement Department,Procurement,38
Public Health,Other,182,0,2021,Actual,YTD,2021-06-30,182,Department of Public Health,Public Health,14
Public Property,Other,0,0,2021,Actual,YTD,2021-06-30,0,Department of Public Property,Public Property,20
Records,Other,0,0,2021,Actual,YTD,2021-06-30,0,Department of Records,Records,31
Register of Wills,Other,0,0,2021,Actual,YTD,2021-06-30,0,Register of Wills,,68
Revenue,Other,193,0,2021,Actual,YTD,2021-06-30,193,Department of Revenue,Revenue,36
Sheriff,Other,0,0,2021,Actual,YTD,2021-06-30,0,Office of the Sheriff,Sheriff,70
Streets,Other,0,0,2021,Actual,YTD,2021-06-30,0,Streets Department,Streets,12
Water,Other,1922,0,2021,Actual,YTD,2021-06-30,1922,Water Department,Water,28
"Water,Sewer & Stormwater Rate Board",Other,1,0,2021,Actual,YTD,2021-06-30,1,"Water, Sewer, and Stormwater Rate Board",,67
Auditing (City Controller's Office),Total,118,0,2021,Actual,YTD,2021-06-30,118,City Controller's Office,,61
