dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2010,Actual,YTD,2010-06-30,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,120,0,2010,Actual,YTD,2010-06-30,120,City Controller's Office,61,
Board of Building Standards,General,1,0,2010,Actual,YTD,2010-06-30,1,L&I: Board of Building and Standards,29,
Board of Ethics,General,7,0,2010,Actual,YTD,2010-06-30,7,Board of Ethics,45,
Board of L & I Review,General,2,0,2010,Actual,YTD,2010-06-30,2,L&I: Board of Review,27,
Bd. of Pensions,General,0,0,2010,Actual,YTD,2010-06-30,0,Board of Pensions,53,Pensions
Bd. of Revision of Taxes,General,112,0,2010,Actual,YTD,2010-06-30,112,Board of Revision of Taxes,63,BRT
Camp William Penn,General,1,0,2010,Actual,YTD,2010-06-30,1,Camp William Penn,19,
"Capital Program Office, Mayor-",General,0,0,2010,Actual,YTD,2010-06-30,0,Capital Program Office,07,
City Commissioners (Election Board),General,102,0,2010,Actual,YTD,2010-06-30,102,City Commissioner's Office,73,City Commissioners
City Council,General,176,0,2010,Actual,YTD,2010-06-30,176,City Council,01,
City Planning Commission,General,40,0,2010,Actual,YTD,2010-06-30,40,City Planning Commission,51,
City Representative,General,7,0,2010,Actual,YTD,2010-06-30,7,Office of the City Representative,41,City Rep
City Treasurer,General,11,0,2010,Actual,YTD,2010-06-30,11,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2010,Actual,YTD,2010-06-30,2,Civil Service Commission,55,
Clerk of Quarter Sessions,General,106,0,2010,Actual,YTD,2010-06-30,106,Clerk of Quarter Sessions,64,
Commerce,General,24,0,2010,Actual,YTD,2010-06-30,24,Office of the Director of Commerce,42,Commerce
Division of Technology,General,174,0,2010,Actual,YTD,2010-06-30,174,Office of Innovation and Technology,04,OIT
Fairmount Park,General,155,0,2010,Actual,YTD,2010-06-30,155,Fairmount Park Commission,17,
Finance,General,141,0,2010,Actual,YTD,2010-06-30,141,Office of the Director of Finance,35,Finance
First Judicial District,General,1756,0,2010,Actual,YTD,2010-06-30,1756,First Judicial District,84,FJD
