dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,4,0,2018,Actual,YTD,2018-03-31,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,120,0,2018,Actual,YTD,2018-03-31,120,City Controller's Office,,61
Board of Ethics,General,11,0,2018,Actual,YTD,2018-03-31,11,Board of Ethics,,45
Board of Pensions,General,0,0,2018,Actual,YTD,2018-03-31,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,11,0,2018,Actual,YTD,2018-03-31,11,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,101,0,2018,Actual,YTD,2018-03-31,101,City Commissioner's Office,City Commissioners,73
City Council,General,193,0,2018,Actual,YTD,2018-03-31,193,City Council,,01
City Planning Commission,General,0,0,2018,Actual,YTD,2018-03-31,0,City Planning Commission,,51
City Representative,General,9,0,2018,Actual,YTD,2018-03-31,9,Office of the City Representative,City Rep,41
City Treasurer,General,17,0,2018,Actual,YTD,2018-03-31,17,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2018,Actual,YTD,2018-03-31,2,Civil Service Commission,,55
Commerce,General,30,0,2018,Actual,YTD,2018-03-31,30,Office of the Director of Commerce,Commerce,42
Finance,General,116,0,2018,Actual,YTD,2018-03-31,116,Office of the Director of Finance,Finance,35
First Judicial District,General,1859,0,2018,Actual,YTD,2018-03-31,1859,First Judicial District,FJD,84
Fleet Management,General,280,0,2018,Actual,YTD,2018-03-31,280,Office of Fleet Management,Fleet,25
Free Library,General,645,0,2018,Actual,YTD,2018-03-31,645,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,0,0,2018,Actual,YTD,2018-03-31,0,Historical Commission,,32
Human Relations Commission,General,32,0,2018,Actual,YTD,2018-03-31,32,Commission on Human Relations,Human Relations,54
Human Services (1),General,445,0,2018,Actual,YTD,2018-03-31,445,Department of Human Services,DHS,22
"Labor, Mayor's Office of",General,19,0,2018,Actual,YTD,2018-03-31,19,Labor,,03
Law,General,119,0,2018,Actual,YTD,2018-03-31,119,Law Department,Law,44
Licenses & Inspections,General,377,0,2018,Actual,YTD,2018-03-31,377,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2018,Actual,YTD,2018-03-31,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,2,0,2018,Actual,YTD,2018-03-31,2,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,General,0,0,2018,Actual,YTD,2018-03-31,0,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,General,302,0,2018,Actual,YTD,2018-03-31,302,Managing Director's Office,MDO,10
Mayor's Office,General,40,0,2018,Actual,YTD,2018-03-31,40,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,General,2,0,2018,Actual,YTD,2018-03-31,2,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,General,0,0,2018,Actual,YTD,2018-03-31,0,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,11,0,2018,Actual,YTD,2018-03-31,11,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,5,0,2018,Actual,YTD,2018-03-31,5,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,General,16,0,2018,Actual,YTD,2018-03-31,16,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Chief Administrative Officer,General,60,0,2018,Actual,YTD,2018-03-31,60,Board of Revision of Taxes,BRT,63
Office of Community Schools and Pre-K,General,32,0,2018,Actual,YTD,2018-03-31,32,Office of Children and Families,OCF,66
Office of Homeless Services,General,149,0,2018,Actual,YTD,2018-03-31,149,Office of Homeless Services,OHS,24
Office of Housing & Comm. Development,General,0,0,2018,Actual,YTD,2018-03-31,0,Office of Housing and Community Development,,06
Office of Human Resources,General,74,0,2018,Actual,YTD,2018-03-31,74,Office of Human Resources,OHR,56
Office of Innovation and Technology,General,286,0,2018,Actual,YTD,2018-03-31,286,Office of Innovation and Technology,OIT,04
Office of the Inspector General,General,21,0,2018,Actual,YTD,2018-03-31,21,Office of the Inspector General,OIG,48
Office of Planning and Development,General,0,0,2018,Actual,YTD,2018-03-31,0,Mayor's Office of Planning and Development,,62
Office of Property Assessment,General,194,0,2018,Actual,YTD,2018-03-31,194,Office of Property Assessment,OPA,59
Office of Sustainability,General,7,0,2018,Actual,YTD,2018-03-31,7,Office of Sustainability,Sustainability,49
Parks and Recreation,General,641,0,2018,Actual,YTD,2018-03-31,641,Department of Parks and Recreation,Parks & Recreation,16
