dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2013,Actual,YTD,2013-06-30,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,118,0,2013,Actual,YTD,2013-06-30,118,City Controller's Office,61,
Board of Building Standards,General,1,0,2013,Actual,YTD,2013-06-30,1,L&I: Board of Building and Standards,29,
Board of Ethics,General,8,0,2013,Actual,YTD,2013-06-30,8,Board of Ethics,45,
Board of L & I Review,General,1,0,2013,Actual,YTD,2013-06-30,1,L&I: Board of Review,27,
Board of Pensions,General,0,0,2013,Actual,YTD,2013-06-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,7,0,2013,Actual,YTD,2013-06-30,7,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,90,0,2013,Actual,YTD,2013-06-30,90,City Commissioner's Office,73,City Commissioners
City Council,General,173,0,2013,Actual,YTD,2013-06-30,173,City Council,01,
City Planning Commission,General,31,0,2013,Actual,YTD,2013-06-30,31,City Planning Commission,51,
City Representative,General,8,0,2013,Actual,YTD,2013-06-30,8,Office of the City Representative,41,City Rep
City Treasurer,General,13,0,2013,Actual,YTD,2013-06-30,13,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2013,Actual,YTD,2013-06-30,2,Civil Service Commission,55,
Commerce,General,20,0,2013,Actual,YTD,2013-06-30,20,Office of the Director of Commerce,42,Commerce
Finance,General,163,0,2013,Actual,YTD,2013-06-30,163,Office of the Director of Finance,35,Finance
First Judicial District,General,1909,0,2013,Actual,YTD,2013-06-30,1909,First Judicial District,84,FJD
Fleet Management,General,273,0,2013,Actual,YTD,2013-06-30,273,Office of Fleet Management,25,Fleet
Free Library,General,609,0,2013,Actual,YTD,2013-06-30,609,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,5,0,2013,Actual,YTD,2013-06-30,5,Historical Commission,32,
Human Relations Commission,General,29,0,2013,Actual,YTD,2013-06-30,29,Commission on Human Relations,54,Human Relations
Human Services (1),General,349,0,2013,Actual,YTD,2013-06-30,349,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,7,0,2013,Actual,YTD,2013-06-30,7,Labor,03,
Law,General,138,0,2013,Actual,YTD,2013-06-30,138,Law Department,44,Law
Licenses & Inspections,General,292,0,2013,Actual,YTD,2013-06-30,292,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),General,156,0,2013,Actual,YTD,2013-06-30,156,Managing Director's Office,10,MDO
Mayor,General,36,0,2013,Actual,YTD,2013-06-30,36,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,General,2,0,2013,Actual,YTD,2013-06-30,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Mayor - Office of the Inspector General,General,18,0,2013,Actual,YTD,2013-06-30,18,Office of the Inspector General,48,OIG
Mayor's Office of Comm. Svcs.,General,15,0,2013,Actual,YTD,2013-06-30,15,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation,General,13,0,2013,Actual,YTD,2013-06-30,13,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,General,11,0,2013,Actual,YTD,2013-06-30,11,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,General,19,0,2013,Actual,YTD,2013-06-30,19,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Human Resources,General,78,0,2013,Actual,YTD,2013-06-30,78,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,255,0,2013,Actual,YTD,2013-06-30,255,Office of Innovation and Technology,04,OIT
Office of Property Assessment,General,173,0,2013,Actual,YTD,2013-06-30,173,Office of Property Assessment,59,OPA
Off.ot Supportive Housing,General,145,0,2013,Actual,YTD,2013-06-30,145,Office of Homeless Services,24,OHS
Office of Housing and Community Develop.,General,0,0,2013,Actual,YTD,2013-06-30,0,Office of Housing and Community Development,06,
Parks and Recreation,General,568,0,2013,Actual,YTD,2013-06-30,568,Department of Parks and Recreation,16,Parks & Recreation
Prisons,General,2248,0,2013,Actual,YTD,2013-06-30,2248,Philadelphia Prison System,23,Prisons
Procurement,General,45,0,2013,Actual,YTD,2013-06-30,45,Procurement Department,38,Procurement
Public Health,General,673,0,2013,Actual,YTD,2013-06-30,673,Department of Public Health,14,Public Health
Public Property,General,123,0,2013,Actual,YTD,2013-06-30,123,Department of Public Property,20,Public Property
Records,General,59,0,2013,Actual,YTD,2013-06-30,59,Department of Records,31,Records
Register of Wills,General,64,0,2013,Actual,YTD,2013-06-30,64,Register of Wills,68,
Revenue,General,282,0,2013,Actual,YTD,2013-06-30,282,Department of Revenue,36,Revenue
Sheriff,General,231,0,2013,Actual,YTD,2013-06-30,231,Office of the Sheriff,70,Sheriff
Streets,General,525,0,2013,Actual,YTD,2013-06-30,525,Streets Department,12,Streets
Streets - Sanitation,General,1165,0,2013,Actual,YTD,2013-06-30,1165,Streets: Sanitation,12-S,
Water,General,0,0,2013,Actual,YTD,2013-06-30,0,Water Department,28,Water
Youth Commission,General,1,0,2013,Actual,YTD,2013-06-30,1,Youth Commission,47,
Zoning Board of Adjustment,General,5,0,2013,Actual,YTD,2013-06-30,5,Zoning Board of Adjustments,30,ZBA
Zoning Code Commission,General,0,0,2013,Actual,YTD,2013-06-30,0,Zoning Code Commission,57,
Atwater Kent Museum,Other,0,0,2013,Actual,YTD,2013-06-30,0,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2013,Actual,YTD,2013-06-30,0,City Controller's Office,61,
Board of Building Standards,Other,0,0,2013,Actual,YTD,2013-06-30,0,L&I: Board of Building and Standards,29,
Board of Ethics,Other,0,0,2013,Actual,YTD,2013-06-30,0,Board of Ethics,45,
Board of L & I Review,Other,0,0,2013,Actual,YTD,2013-06-30,0,L&I: Board of Review,27,
Board of Pensions,Other,53,0,2013,Actual,YTD,2013-06-30,53,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2013,Actual,YTD,2013-06-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2013,Actual,YTD,2013-06-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2013,Actual,YTD,2013-06-30,0,City Council,01,
City Planning Commission,Other,3,0,2013,Actual,YTD,2013-06-30,3,City Planning Commission,51,
City Representative,Other,0,0,2013,Actual,YTD,2013-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2013,Actual,YTD,2013-06-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2013,Actual,YTD,2013-06-30,0,Civil Service Commission,55,
Commerce,Other,783,0,2013,Actual,YTD,2013-06-30,783,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2013,Actual,YTD,2013-06-30,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,451,0,2013,Actual,YTD,2013-06-30,451,First Judicial District,84,FJD
Fleet Management,Other,72,0,2013,Actual,YTD,2013-06-30,72,Office of Fleet Management,25,Fleet
Free Library,Other,22,0,2013,Actual,YTD,2013-06-30,22,The Free Library of Philadelphia,52,Free Library
Historical Commission,Other,0,0,2013,Actual,YTD,2013-06-30,0,Historical Commission,32,
Human Relations Commission,Other,0,0,2013,Actual,YTD,2013-06-30,0,Commission on Human Relations,54,Human Relations
Human Services (1),Other,1200,0,2013,Actual,YTD,2013-06-30,1200,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",Other,0,0,2013,Actual,YTD,2013-06-30,0,Labor,03,
Law,Other,54,0,2013,Actual,YTD,2013-06-30,54,Law Department,44,Law
Licenses & Inspections,Other,8,0,2013,Actual,YTD,2013-06-30,8,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),Other,22,0,2013,Actual,YTD,2013-06-30,22,Managing Director's Office,10,MDO
Mayor,Other,3,0,2013,Actual,YTD,2013-06-30,3,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,Other,0,0,2013,Actual,YTD,2013-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Mayor - Office of the Inspector General,Other,0,0,2013,Actual,YTD,2013-06-30,0,Office of the Inspector General,48,OIG
Mayor's Office of Comm. Svcs.,Other,66,0,2013,Actual,YTD,2013-06-30,66,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation,Other,2,0,2013,Actual,YTD,2013-06-30,2,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,Other,0,0,2013,Actual,YTD,2013-06-30,0,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,Other,225,0,2013,Actual,YTD,2013-06-30,225,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Human Resources,Other,0,0,2013,Actual,YTD,2013-06-30,0,Office of Human Resources,56,OHR
Office of Innovation and Technology,Other,69,0,2013,Actual,YTD,2013-06-30,69,Office of Innovation and Technology,04,OIT
Office of Property Assessment,Other,0,0,2013,Actual,YTD,2013-06-30,0,Office of Property Assessment,59,OPA
Off.ot Supportive Housing,Other,9,0,2013,Actual,YTD,2013-06-30,9,Office of Homeless Services,24,OHS
Office of Housing and Community Develop.,Other,58,0,2013,Actual,YTD,2013-06-30,58,Office of Housing and Community Development,06,
Parks and Recreation,Other,21,0,2013,Actual,YTD,2013-06-30,21,Department of Parks and Recreation,16,Parks & Recreation
Prisons,Other,0,0,2013,Actual,YTD,2013-06-30,0,Philadelphia Prison System,23,Prisons
Procurement,Other,2,0,2013,Actual,YTD,2013-06-30,2,Procurement Department,38,Procurement
Public Health,Other,169,0,2013,Actual,YTD,2013-06-30,169,Department of Public Health,14,Public Health
Public Property,Other,0,0,2013,Actual,YTD,2013-06-30,0,Department of Public Property,20,Public Property
Records,Other,0,0,2013,Actual,YTD,2013-06-30,0,Department of Records,31,Records
Register of Wills,Other,0,0,2013,Actual,YTD,2013-06-30,0,Register of Wills,68,
Revenue,Other,239,0,2013,Actual,YTD,2013-06-30,239,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2013,Actual,YTD,2013-06-30,0,Office of the Sheriff,70,Sheriff
Streets,Other,0,0,2013,Actual,YTD,2013-06-30,0,Streets Department,12,Streets
Streets - Sanitation,Other,0,0,2013,Actual,YTD,2013-06-30,0,Streets: Sanitation,12-S,
Water,Other,1698,0,2013,Actual,YTD,2013-06-30,1698,Water Department,28,Water
Youth Commission,Other,0,0,2013,Actual,YTD,2013-06-30,0,Youth Commission,47,
Zoning Board of Adjustment,Other,0,0,2013,Actual,YTD,2013-06-30,0,Zoning Board of Adjustments,30,ZBA
Zoning Code Commission,Other,0,0,2013,Actual,YTD,2013-06-30,0,Zoning Code Commission,57,
Atwater Kent Museum,Total,4,0,2013,Actual,YTD,2013-06-30,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Total,118,0,2013,Actual,YTD,2013-06-30,118,City Controller's Office,61,
Board of Building Standards,Total,1,0,2013,Actual,YTD,2013-06-30,1,L&I: Board of Building and Standards,29,
Board of Ethics,Total,8,0,2013,Actual,YTD,2013-06-30,8,Board of Ethics,45,
Board of L & I Review,Total,1,0,2013,Actual,YTD,2013-06-30,1,L&I: Board of Review,27,
Board of Pensions,Total,53,0,2013,Actual,YTD,2013-06-30,53,Board of Pensions,53,Pensions
Board of Revision of Taxes,Total,7,0,2013,Actual,YTD,2013-06-30,7,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Total,90,0,2013,Actual,YTD,2013-06-30,90,City Commissioner's Office,73,City Commissioners
City Council,Total,173,0,2013,Actual,YTD,2013-06-30,173,City Council,01,
City Planning Commission,Total,34,0,2013,Actual,YTD,2013-06-30,34,City Planning Commission,51,
City Representative,Total,8,0,2013,Actual,YTD,2013-06-30,8,Office of the City Representative,41,City Rep
City Treasurer,Total,13,0,2013,Actual,YTD,2013-06-30,13,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Total,2,0,2013,Actual,YTD,2013-06-30,2,Civil Service Commission,55,
Commerce,Total,803,0,2013,Actual,YTD,2013-06-30,803,Office of the Director of Commerce,42,Commerce
Finance,Total,163,0,2013,Actual,YTD,2013-06-30,163,Office of the Director of Finance,35,Finance
First Judicial District,Total,2360,0,2013,Actual,YTD,2013-06-30,2360,First Judicial District,84,FJD
Fleet Management,Total,345,0,2013,Actual,YTD,2013-06-30,345,Office of Fleet Management,25,Fleet
Free Library,Total,631,0,2013,Actual,YTD,2013-06-30,631,The Free Library of Philadelphia,52,Free Library
Historical Commission,Total,5,0,2013,Actual,YTD,2013-06-30,5,Historical Commission,32,
Human Relations Commission,Total,29,0,2013,Actual,YTD,2013-06-30,29,Commission on Human Relations,54,Human Relations
Human Services (1),Total,1549,0,2013,Actual,YTD,2013-06-30,1549,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",Total,7,0,2013,Actual,YTD,2013-06-30,7,Labor,03,
Law,Total,192,0,2013,Actual,YTD,2013-06-30,192,Law Department,44,Law
Licenses & Inspections,Total,300,0,2013,Actual,YTD,2013-06-30,300,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),Total,178,0,2013,Actual,YTD,2013-06-30,178,Managing Director's Office,10,MDO
Mayor,Total,39,0,2013,Actual,YTD,2013-06-30,39,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,Total,2,0,2013,Actual,YTD,2013-06-30,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Mayor - Office of the Inspector General,Total,18,0,2013,Actual,YTD,2013-06-30,18,Office of the Inspector General,48,OIG
Mayor's Office of Comm. Svcs.,Total,81,0,2013,Actual,YTD,2013-06-30,81,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation,Total,15,0,2013,Actual,YTD,2013-06-30,15,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,Total,11,0,2013,Actual,YTD,2013-06-30,11,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,Total,244,0,2013,Actual,YTD,2013-06-30,244,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Human Resources,Total,78,0,2013,Actual,YTD,2013-06-30,78,Office of Human Resources,56,OHR
Office of Innovation and Technology,Total,324,0,2013,Actual,YTD,2013-06-30,324,Office of Innovation and Technology,04,OIT
Office of Property Assessment,Total,173,0,2013,Actual,YTD,2013-06-30,173,Office of Property Assessment,59,OPA
