dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Auditing (City Controller's Office),General,118,0,2021,Actual,YTD,2021-03-31,118,City Controller's Office,61,
Board of Ethics,General,9,0,2021,Actual,YTD,2021-03-31,9,Board of Ethics,45,
Board of Pensions,General,0,0,2021,Actual,YTD,2021-03-31,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,15,0,2021,Actual,YTD,2021-03-31,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,140,0,2021,Actual,YTD,2021-03-31,140,City Commissioner's Office,73,City Commissioners
City Council,General,185,0,2021,Actual,YTD,2021-03-31,185,City Council,01,
City Representative,General,0,0,2021,Actual,YTD,2021-03-31,0,Office of the City Representative,41,City Rep
City Treasurer,General,14,0,2021,Actual,YTD,2021-03-31,14,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,1,0,2021,Actual,YTD,2021-03-31,1,Civil Service Commission,55,
Commerce,General,38,0,2021,Actual,YTD,2021-03-31,38,Office of the Director of Commerce,42,Commerce
Finance,General,119,0,2021,Actual,YTD,2021-03-31,119,Office of the Director of Finance,35,Finance
First Judicial District,General,1799,0,2021,Actual,YTD,2021-03-31,1799,First Judicial District,84,FJD
Fleet Management,General,276,0,2021,Actual,YTD,2021-03-31,276,Office of Fleet Management,25,Fleet
Free Library,General,646,0,2021,Actual,YTD,2021-03-31,646,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,32,0,2021,Actual,YTD,2021-03-31,32,Commission on Human Relations,54,Human Relations
Human Services (1),General,492,0,2021,Actual,YTD,2021-03-31,492,Department of Human Services,22,DHS
Labor,General,27,0,2021,Actual,YTD,2021-03-31,27,Labor,03,
Law,General,124,0,2021,Actual,YTD,2021-03-31,124,Law Department,44,Law
Licenses & Inspections,General,387,0,2021,Actual,YTD,2021-03-31,387,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2021,Actual,YTD,2021-03-31,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2021,Actual,YTD,2021-03-31,2,L&I: Board of Review,27,
Managing Director's Office,General,272,0,2021,Actual,YTD,2021-03-31,272,Managing Director's Office,10,MDO
Mayor's Office,General,60,0,2021,Actual,YTD,2021-03-31,60,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2021,Actual,YTD,2021-03-31,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,10,0,2021,Actual,YTD,2021-03-31,10,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,0,0,2021,Actual,YTD,2021-03-31,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,General,24,0,2021,Actual,YTD,2021-03-31,24,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,57,0,2021,Actual,YTD,2021-03-31,57,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,3,0,2021,Actual,YTD,2021-03-31,3,Office of Children and Families,66,OCF
Office of Homeless Services,General,129,0,2021,Actual,YTD,2021-03-31,129,Office of Homeless Services,24,OHS
Office of Human Resources,General,74,0,2021,Actual,YTD,2021-03-31,74,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,308,0,2021,Actual,YTD,2021-03-31,308,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,16,0,2021,Actual,YTD,2021-03-31,16,Office of the Inspector General,48,OIG
Office of Property Assessment,General,194,0,2021,Actual,YTD,2021-03-31,194,Office of Property Assessment,59,OPA
Office of Sustainability,General,7,0,2021,Actual,YTD,2021-03-31,7,Office of Sustainability,49,Sustainability
Parks and Recreation,General,624,0,2021,Actual,YTD,2021-03-31,624,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,54,0,2021,Actual,YTD,2021-03-31,54,Department of Planning and Development,72,Planning & Development
Prisons,General,1750,0,2021,Actual,YTD,2021-03-31,1750,Philadelphia Prison System,23,Prisons
Procurement,General,35,0,2021,Actual,YTD,2021-03-31,35,Procurement Department,38,Procurement
Public Health,General,716,0,2021,Actual,YTD,2021-03-31,716,Department of Public Health,14,Public Health
Public Property,General,142,0,2021,Actual,YTD,2021-03-31,142,Department of Public Property,20,Public Property
Records,General,46,0,2021,Actual,YTD,2021-03-31,46,Department of Records,31,Records
Register of Wills,General,68,0,2021,Actual,YTD,2021-03-31,68,Register of Wills,68,
Revenue,General,392,0,2021,Actual,YTD,2021-03-31,392,Department of Revenue,36,Revenue
Sheriff,General,379,0,2021,Actual,YTD,2021-03-31,379,Office of the Sheriff,70,Sheriff
Streets,General,1886,0,2021,Actual,YTD,2021-03-31,1886,Streets Department,12,Streets
Water,General,0,0,2021,Actual,YTD,2021-03-31,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2021,Actual,YTD,2021-03-31,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2021,Actual,YTD,2021-03-31,0,City Controller's Office,61,
Board of Ethics,Other,0,0,2021,Actual,YTD,2021-03-31,0,Board of Ethics,45,
Board of Pensions,Other,56,0,2021,Actual,YTD,2021-03-31,56,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2021,Actual,YTD,2021-03-31,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2021,Actual,YTD,2021-03-31,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2021,Actual,YTD,2021-03-31,0,City Council,01,
City Representative,Other,0,0,2021,Actual,YTD,2021-03-31,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2021,Actual,YTD,2021-03-31,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2021,Actual,YTD,2021-03-31,0,Civil Service Commission,55,
Commerce,Other,754,0,2021,Actual,YTD,2021-03-31,754,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2021,Actual,YTD,2021-03-31,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,462,0,2021,Actual,YTD,2021-03-31,462,First Judicial District,84,FJD
Fleet Management,Other,70,0,2021,Actual,YTD,2021-03-31,70,Office of Fleet Management,25,Fleet
Free Library,Other,9,0,2021,Actual,YTD,2021-03-31,9,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2021,Actual,YTD,2021-03-31,0,Commission on Human Relations,54,Human Relations
Human Services (1),Other,999,0,2021,Actual,YTD,2021-03-31,999,Department of Human Services,22,DHS
Labor,Other,0,0,2021,Actual,YTD,2021-03-31,0,Labor,03,
Law,Other,49,0,2021,Actual,YTD,2021-03-31,49,Law Department,44,Law
Licenses & Inspections,Other,8,0,2021,Actual,YTD,2021-03-31,8,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Other,0,0,2021,Actual,YTD,2021-03-31,0,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Other,0,0,2021,Actual,YTD,2021-03-31,0,L&I: Board of Review,27,
