dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Auditing (City Controller's Office),General,109,0,2022,Actual,YTD,2022-06-30,109,City Controller's Office,61,
Board of Ethics,General,9,0,2022,Actual,YTD,2022-06-30,9,Board of Ethics,45,
Board of Pensions,General,0,0,2022,Actual,YTD,2022-06-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,14,0,2022,Actual,YTD,2022-06-30,14,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,134,0,2022,Actual,YTD,2022-06-30,134,City Commissioner's Office,73,City Commissioners
City Council,General,175,0,2022,Actual,YTD,2022-06-30,175,City Council,01,
City Treasurer,General,17,0,2022,Actual,YTD,2022-06-30,17,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2022,Actual,YTD,2022-06-30,2,Civil Service Commission,55,
Commerce,General,35,0,2022,Actual,YTD,2022-06-30,35,Office of the Director of Commerce,42,Commerce
Finance,General,122,0,2022,Actual,YTD,2022-06-30,122,Office of the Director of Finance,35,Finance
First Judicial District,General,1686,0,2022,Actual,YTD,2022-06-30,1686,First Judicial District,84,FJD
Fleet Services,General,266,0,2022,Actual,YTD,2022-06-30,266,Office of Fleet Management,25,Fleet
Free Library,General,618,0,2022,Actual,YTD,2022-06-30,618,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,32,0,2022,Actual,YTD,2022-06-30,32,Commission on Human Relations,54,Human Relations
Human Services (1),General,492,0,2022,Actual,YTD,2022-06-30,492,Department of Human Services,22,DHS
Labor,General,28,0,2022,Actual,YTD,2022-06-30,28,Labor,03,
Law,General,175,0,2022,Actual,YTD,2022-06-30,175,Law Department,44,Law
Licenses & Inspections,General,346,0,2022,Actual,YTD,2022-06-30,346,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2022,Actual,YTD,2022-06-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2022,Actual,YTD,2022-06-30,2,L&I: Board of Review,27,
Managing Director's Office,General,311,0,2022,Actual,YTD,2022-06-30,311,Managing Director's Office,10,MDO
Mayor's Office,General,60,0,2022,Actual,YTD,2022-06-30,60,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2022,Actual,YTD,2022-06-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,8,0,2022,Actual,YTD,2022-06-30,8,Mural Arts Program,50,Mural Arts
Office of Behavioral Hith & Intellectual disAbility,General,30,0,2022,Actual,YTD,2022-06-30,30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,75,0,2022,Actual,YTD,2022-06-30,75,Office of the Chief Administrative Officer,65,CAO
