dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2012,Actual,YTD,2011-12-31,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,115,0,2012,Actual,YTD,2011-12-31,115,City Controller's Office,61,
Board of Building Standards,General,1,0,2012,Actual,YTD,2011-12-31,1,L&I: Board of Building and Standards,29,
Board of Ethics,General,8,0,2012,Actual,YTD,2011-12-31,8,Board of Ethics,45,
Board of L & I Review,General,2,0,2012,Actual,YTD,2011-12-31,2,L&I: Board of Review,27,
Board of Pensions,General,0,0,2012,Actual,YTD,2011-12-31,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,9,0,2012,Actual,YTD,2011-12-31,9,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,92,0,2012,Actual,YTD,2011-12-31,92,City Commissioner's Office,73,City Commissioners
City Council,General,183,0,2012,Actual,YTD,2011-12-31,183,City Council,01,
City Planning Commission,General,34,0,2012,Actual,YTD,2011-12-31,34,City Planning Commission,51,
City Representative,General,6,0,2012,Actual,YTD,2011-12-31,6,Office of the City Representative,41,City Rep
City Treasurer,General,12,0,2012,Actual,YTD,2011-12-31,12,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2012,Actual,YTD,2011-12-31,2,Civil Service Commission,55,
Commerce,General,24,0,2012,Actual,YTD,2011-12-31,24,Office of the Director of Commerce,42,Commerce
Finance,General,148,0,2012,Actual,YTD,2011-12-31,148,Office of the Director of Finance,35,Finance
First Judicial District,General,1932,0,2012,Actual,YTD,2011-12-31,1932,First Judicial District,84,FJD
Fleet Management,General,268,0,2012,Actual,YTD,2011-12-31,268,Office of Fleet Management,25,Fleet
Free Library,General,614,0,2012,Actual,YTD,2011-12-31,614,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,5,0,2012,Actual,YTD,2011-12-31,5,Historical Commission,32,
Human Relations Commission,General,31,0,2012,Actual,YTD,2011-12-31,31,Commission on Human Relations,54,Human Relations
Human Services (1),General,0,0,2012,Actual,YTD,2011-12-31,0,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,8,0,2012,Actual,YTD,2011-12-31,8,Labor,03,
Law,General,97,0,2012,Actual,YTD,2011-12-31,97,Law Department,44,Law
Licenses & Inspections,General,287,0,2012,Actual,YTD,2011-12-31,287,Department of Licenses and Inspections,26,L&I
