dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2009,Actual,YTD,2009-06-30,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,124,0,2009,Actual,YTD,2009-06-30,124,City Controller's Office,61,
Board of Building Standards,General,1,0,2009,Actual,YTD,2009-06-30,1,L&I: Board of Building and Standards,29,
Board of Ethics,General,9,0,2009,Actual,YTD,2009-06-30,9,Board of Ethics,45,
Board of L & I Review,General,2,0,2009,Actual,YTD,2009-06-30,2,L&I: Board of Review,27,
Bd. of Pensions,General,0,0,2009,Actual,YTD,2009-06-30,0,Board of Pensions,53,Pensions
Bd. of Revision of Taxes,General,133,0,2009,Actual,YTD,2009-06-30,133,Board of Revision of Taxes,63,BRT
Camp William Penn,General,1,0,2009,Actual,YTD,2009-06-30,1,Camp William Penn,19,
"Capital Program Office, Mayor-",General,24,0,2009,Actual,YTD,2009-06-30,24,Capital Program Office,07,
City Commissioners (Election Board),General,100,0,2009,Actual,YTD,2009-06-30,100,City Commissioner's Office,73,City Commissioners
City Council,General,185,0,2009,Actual,YTD,2009-06-30,185,City Council,01,
City Planning Commission,General,42,0,2009,Actual,YTD,2009-06-30,42,City Planning Commission,51,
City Representative,General,6,0,2009,Actual,YTD,2009-06-30,6,Office of the City Representative,41,City Rep
City Treasurer,General,11,0,2009,Actual,YTD,2009-06-30,11,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2009,Actual,YTD,2009-06-30,2,Civil Service Commission,55,
Clerk of Quarter Sessions,General,110,0,2009,Actual,YTD,2009-06-30,110,Clerk of Quarter Sessions,64,
Commerce,General,23,0,2009,Actual,YTD,2009-06-30,23,Office of the Director of Commerce,42,Commerce
Fairmount Park,General,159,0,2009,Actual,YTD,2009-06-30,159,Fairmount Park Commission,17,
Finance,General,143,0,2009,Actual,YTD,2009-06-30,143,Office of the Director of Finance,35,Finance
First Judicial District,General,1898,0,2009,Actual,YTD,2009-06-30,1898,First Judicial District,84,FJD
Fleet Management,General,302,0,2009,Actual,YTD,2009-06-30,302,Office of Fleet Management,25,Fleet
Free Library,General,629,0,2009,Actual,YTD,2009-06-30,629,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,6,0,2009,Actual,YTD,2009-06-30,6,Historical Commission,32,
