dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Auditing (City Controller's Office),General,116,0,2022,Actual,YTD,2021-09-30,116,City Controller's Office,61,
Board of Ethics,General,9,0,2022,Actual,YTD,2021-09-30,9,Board of Ethics,45,
Board of Pensions,General,0,0,2022,Actual,YTD,2021-09-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,14,0,2022,Actual,YTD,2021-09-30,14,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,132,0,2022,Actual,YTD,2021-09-30,132,City Commissioner's Office,73,City Commissioners
City Council,General,179,0,2022,Actual,YTD,2021-09-30,179,City Council,01,
City Representative,General,0,0,2022,Actual,YTD,2021-09-30,0,Office of the City Representative,41,City Rep
City Treasurer,General,16,0,2022,Actual,YTD,2021-09-30,16,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2022,Actual,YTD,2021-09-30,2,Civil Service Commission,55,
Commerce,General,32,0,2022,Actual,YTD,2021-09-30,32,Office of the Director of Commerce,42,Commerce
Finance,General,117,0,2022,Actual,YTD,2021-09-30,117,Office of the Director of Finance,35,Finance
First Judicial District,General,1741,0,2022,Actual,YTD,2021-09-30,1741,First Judicial District,84,FJD
Fleet Management,General,266,0,2022,Actual,YTD,2021-09-30,266,Office of Fleet Management,25,Fleet
Free Library,General,636,0,2022,Actual,YTD,2021-09-30,636,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,31,0,2022,Actual,YTD,2021-09-30,31,Commission on Human Relations,54,Human Relations
Human Services (1),General,492,0,2022,Actual,YTD,2021-09-30,492,Department of Human Services,22,DHS
Labor,General,26,0,2022,Actual,YTD,2021-09-30,26,Labor,03,
Law,General,168,0,2022,Actual,YTD,2021-09-30,168,Law Department,44,Law
Licenses & Inspections,General,359,0,2022,Actual,YTD,2021-09-30,359,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2022,Actual,YTD,2021-09-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2022,Actual,YTD,2021-09-30,2,L&I: Board of Review,27,
Managing Director's Office,General,290,0,2022,Actual,YTD,2021-09-30,290,Managing Director's Office,10,MDO
Mayor's Office,General,59,0,2022,Actual,YTD,2021-09-30,59,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2022,Actual,YTD,2021-09-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,8,0,2022,Actual,YTD,2021-09-30,8,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,0,0,2022,Actual,YTD,2021-09-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,General,27,0,2022,Actual,YTD,2021-09-30,27,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,60,0,2022,Actual,YTD,2021-09-30,60,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,3,0,2022,Actual,YTD,2021-09-30,3,Office of Children and Families,66,OCF
Office of Homeless Services,General,146,0,2022,Actual,YTD,2021-09-30,146,Office of Homeless Services,24,OHS
Office of Human Resources,General,72,0,2022,Actual,YTD,2021-09-30,72,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,311,0,2022,Actual,YTD,2021-09-30,311,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,17,0,2022,Actual,YTD,2021-09-30,17,Office of the Inspector General,48,OIG
Office of Property Assessment,General,186,0,2022,Actual,YTD,2021-09-30,186,Office of Property Assessment,59,OPA
Office of Sustainability,General,11,0,2022,Actual,YTD,2021-09-30,11,Office of Sustainability,49,Sustainability
Parks and Recreation,General,626,0,2022,Actual,YTD,2021-09-30,626,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,54,0,2022,Actual,YTD,2021-09-30,54,Department of Planning and Development,72,Planning & Development
Prisons,General,1572,0,2022,Actual,YTD,2021-09-30,1572,Philadelphia Prison System,23,Prisons
Procurement,General,36,0,2022,Actual,YTD,2021-09-30,36,Procurement Department,38,Procurement
Public Health,General,702,0,2022,Actual,YTD,2021-09-30,702,Department of Public Health,14,Public Health
Public Property,General,144,0,2022,Actual,YTD,2021-09-30,144,Department of Public Property,20,Public Property
Records,General,50,0,2022,Actual,YTD,2021-09-30,50,Department of Records,31,Records
Register of Wills,General,66,0,2022,Actual,YTD,2021-09-30,66,Register of Wills,68,
Revenue,General,348,0,2022,Actual,YTD,2021-09-30,348,Department of Revenue,36,Revenue
Sheriff,General,360,0,2022,Actual,YTD,2021-09-30,360,Office of the Sheriff,70,Sheriff
Streets,General,2025,0,2022,Actual,YTD,2021-09-30,2025,Streets Department,12,Streets
