dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2008,Actual,YTD,2007-09-30,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,126,0,2008,Actual,YTD,2007-09-30,126,City Controller's Office,61,
Board of Building Standards,General,2,0,2008,Actual,YTD,2007-09-30,2,L&I: Board of Building and Standards,29,
Board of Ethics,General,3,0,2008,Actual,YTD,2007-09-30,3,Board of Ethics,45,
Board of L & I Review,General,3,0,2008,Actual,YTD,2007-09-30,3,L&I: Board of Review,27,
Bd. of Pensions,General,0,0,2008,Actual,YTD,2007-09-30,0,Board of Pensions,53,Pensions
Bd. of Revision of Taxes,General,126,0,2008,Actual,YTD,2007-09-30,126,Board of Revision of Taxes,63,BRT
Camp William Penn,General,3,0,2008,Actual,YTD,2007-09-30,3,Camp William Penn,19,
"Capital Program Office, Mayor-",General,23,0,2008,Actual,YTD,2007-09-30,23,Capital Program Office,07,
City Commissioners (Election Board),General,88,0,2008,Actual,YTD,2007-09-30,88,City Commissioner's Office,73,City Commissioners
City Council,General,187,0,2008,Actual,YTD,2007-09-30,187,City Council,01,
City Planning Commission,General,44,0,2008,Actual,YTD,2007-09-30,44,City Planning Commission,51,
City Rep. / Commerce,General,13,0,2008,Actual,YTD,2007-09-30,13,Office of the City Representative,41,City Rep
City Treasurer,General,11,0,2008,Actual,YTD,2007-09-30,11,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2008,Actual,YTD,2007-09-30,2,Civil Service Commission,55,
Clerk of Quarter Sessions,General,112,0,2008,Actual,YTD,2007-09-30,112,Clerk of Quarter Sessions,64,
Fairmount Park,General,156,0,2008,Actual,YTD,2007-09-30,156,Fairmount Park Commission,17,
Finance,General,159,0,2008,Actual,YTD,2007-09-30,159,Office of the Director of Finance,35,Finance
First Judicial District,General,1956,0,2008,Actual,YTD,2007-09-30,1956,First Judicial District,84,FJD
Fleet Management,General,308,0,2008,Actual,YTD,2007-09-30,308,Office of Fleet Management,25,Fleet
Free Library,General,732,0,2008,Actual,YTD,2007-09-30,732,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,6,0,2008,Actual,YTD,2007-09-30,6,Historical Commission,32,
Human Relations Commission,General,33,0,2008,Actual,YTD,2007-09-30,33,Commission on Human Relations,54,Human Relations
Human Services,General,1751,0,2008,Actual,YTD,2007-09-30,1751,Department of Human Services,22,DHS
"Information Services, Mayor's Office of",General,134,0,2008,Actual,YTD,2007-09-30,134,Office of Innovation and Technology,04,OIT
"Labor Relations, Mayor's Office of",General,7,0,2008,Actual,YTD,2007-09-30,7,Labor,03,
Law,General,180,0,2008,Actual,YTD,2007-09-30,180,Law Department,44,Law
Licenses & Inspections,General,339,0,2008,Actual,YTD,2007-09-30,339,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),General,98,0,2008,Actual,YTD,2007-09-30,98,Managing Director's Office,10,MDO
Mayor,General,54,0,2008,Actual,YTD,2007-09-30,54,Mayor's Office,05,Mayor
Mayor's Office of Comm. Svcs.,General,0,0,2008,Actual,YTD,2007-09-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,14,0,2008,Actual,YTD,2007-09-30,14,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,General,34,0,2008,Actual,YTD,2007-09-30,34,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Off.of Supportive Housing,General,145,0,2008,Actual,YTD,2007-09-30,145,Office of Homeless Services,24,OHS
Office of Housing and Community Develop.,General,0,0,2008,Actual,YTD,2007-09-30,0,Office of Housing and Community Development,06,
Personnel,General,75,0,2008,Actual,YTD,2007-09-30,75,Office of Human Resources,56,OHR
Prisons,General,2130,0,2008,Actual,YTD,2007-09-30,2130,Philadelphia Prison System,23,Prisons
Procurement,General,58,0,2008,Actual,YTD,2007-09-30,58,Procurement Department,38,Procurement
Public Health,General,677,0,2008,Actual,YTD,2007-09-30,677,Department of Public Health,14,Public Health
Public Property,General,148,0,2008,Actual,YTD,2007-09-30,148,Department of Public Property,20,Public Property
Records,General,72,0,2008,Actual,YTD,2007-09-30,72,Department of Records,31,Records
Recreation,General,462,0,2008,Actual,YTD,2007-09-30,462,Department of Parks and Recreation,16,Parks & Recreation
Register of Wills,General,67,0,2008,Actual,YTD,2007-09-30,67,Register of Wills,68,
Revenue,General,246,0,2008,Actual,YTD,2007-09-30,246,Department of Revenue,36,Revenue
Sheriff,General,246,0,2008,Actual,YTD,2007-09-30,246,Office of the Sheriff,70,Sheriff
Streets,General,587,0,2008,Actual,YTD,2007-09-30,587,Streets Department,12,Streets
Streets - Sanitation,General,1197,0,2008,Actual,YTD,2007-09-30,1197,Streets: Sanitation,12-S,
Water,General,0,0,2008,Actual,YTD,2007-09-30,0,Water Department,28,Water
Zoning Board of Adjustment,General,4,0,2008,Actual,YTD,2007-09-30,4,Zoning Board of Adjustments,30,ZBA
Atwater Kent Museum,Other,0,0,2008,Actual,YTD,2007-09-30,0,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2008,Actual,YTD,2007-09-30,0,City Controller's Office,61,
Board of Building Standards,Other,0,0,2008,Actual,YTD,2007-09-30,0,L&I: Board of Building and Standards,29,
Board of Ethics,Other,0,0,2008,Actual,YTD,2007-09-30,0,Board of Ethics,45,
Board of L & I Review,Other,0,0,2008,Actual,YTD,2007-09-30,0,L&I: Board of Review,27,
Bd. of Pensions,Other,68,0,2008,Actual,YTD,2007-09-30,68,Board of Pensions,53,Pensions
Bd. of Revision of Taxes,Other,0,0,2008,Actual,YTD,2007-09-30,0,Board of Revision of Taxes,63,BRT
Camp William Penn,Other,0,0,2008,Actual,YTD,2007-09-30,0,Camp William Penn,19,
"Capital Program Office, Mayor-",Other,0,0,2008,Actual,YTD,2007-09-30,0,Capital Program Office,07,
City Commissioners (Election Board),Other,0,0,2008,Actual,YTD,2007-09-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2008,Actual,YTD,2007-09-30,0,City Council,01,
City Planning Commission,Other,6,0,2008,Actual,YTD,2007-09-30,6,City Planning Commission,51,
City Rep. / Commerce,Other,737,0,2008,Actual,YTD,2007-09-30,737,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2008,Actual,YTD,2007-09-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2008,Actual,YTD,2007-09-30,0,Civil Service Commission,55,
Clerk of Quarter Sessions,Other,0,0,2008,Actual,YTD,2007-09-30,0,Clerk of Quarter Sessions,64,
Fairmount Park,Other,1,0,2008,Actual,YTD,2007-09-30,1,Fairmount Park Commission,17,
Finance,Other,12,0,2008,Actual,YTD,2007-09-30,12,Office of the Director of Finance,35,Finance
First Judicial District,Other,467,0,2008,Actual,YTD,2007-09-30,467,First Judicial District,84,FJD
Fleet Management,Other,68,0,2008,Actual,YTD,2007-09-30,68,Office of Fleet Management,25,Fleet
