dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2009,Actual,YTD,2008-09-30,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,123,0,2009,Actual,YTD,2008-09-30,123,City Controller's Office,61,
Board of Building Standards,General,2,0,2009,Actual,YTD,2008-09-30,2,L&I: Board of Building and Standards,29,
Board of Ethics,General,9,0,2009,Actual,YTD,2008-09-30,9,Board of Ethics,45,
Board of L & I Review,General,3,0,2009,Actual,YTD,2008-09-30,3,L&I: Board of Review,27,
Bd. of Pensions,General,0,0,2009,Actual,YTD,2008-09-30,0,Board of Pensions,53,Pensions
Bd. of Revision of Taxes,General,137,0,2009,Actual,YTD,2008-09-30,137,Board of Revision of Taxes,63,BRT
Camp William Penn,General,0,0,2009,Actual,YTD,2008-09-30,0,Camp William Penn,19,
"Capital Program Office, Mayor-",General,36,0,2009,Actual,YTD,2008-09-30,36,Capital Program Office,07,
City Commissioners (Election Board),General,95,0,2009,Actual,YTD,2008-09-30,95,City Commissioner's Office,73,City Commissioners
City Council,General,193,0,2009,Actual,YTD,2008-09-30,193,City Council,01,
City Planning Commission,General,44,0,2009,Actual,YTD,2008-09-30,44,City Planning Commission,51,
City Representative,General,7,0,2009,Actual,YTD,2008-09-30,7,Office of the City Representative,41,City Rep
City Treasurer,General,11,0,2009,Actual,YTD,2008-09-30,11,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2009,Actual,YTD,2008-09-30,2,Civil Service Commission,55,
Clerk of Quarter Sessions,General,120,0,2009,Actual,YTD,2008-09-30,120,Clerk of Quarter Sessions,64,
Commerce,General,9,0,2009,Actual,YTD,2008-09-30,9,Office of the Director of Commerce,42,Commerce
Fairmount Park,General,157,0,2009,Actual,YTD,2008-09-30,157,Fairmount Park Commission,17,
Finance,General,180,0,2009,Actual,YTD,2008-09-30,180,Office of the Director of Finance,35,Finance
First Judicial District,General,1958,0,2009,Actual,YTD,2008-09-30,1958,First Judicial District,84,FJD
Fleet Management,General,305,0,2009,Actual,YTD,2008-09-30,305,Office of Fleet Management,25,Fleet
Free Library,General,703,0,2009,Actual,YTD,2008-09-30,703,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,6,0,2009,Actual,YTD,2008-09-30,6,Historical Commission,32,
Human Relations Commission,General,34,0,2009,Actual,YTD,2008-09-30,34,Commission on Human Relations,54,Human Relations
Human Services,General,1809,0,2009,Actual,YTD,2008-09-30,1809,Department of Human Services,22,DHS
"Information Services, Mayor's Office of",General,139,0,2009,Actual,YTD,2008-09-30,139,Office of Innovation and Technology,04,OIT
"Labor Relations, Mayor's Office of",General,7,0,2009,Actual,YTD,2008-09-30,7,Labor,03,
