dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,3,0,2016,Actual,YTD,2016-06-30,3,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,137,0,2016,Actual,YTD,2016-06-30,137,City Controller's Office,61,
Board of Ethics,General,10,0,2016,Actual,YTD,2016-06-30,10,Board of Ethics,45,
Board of Pensions,General,0,0,2016,Actual,YTD,2016-06-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,14,0,2016,Actual,YTD,2016-06-30,14,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,92,0,2016,Actual,YTD,2016-06-30,92,City Commissioner's Office,73,City Commissioners
City Council,General,187,0,2016,Actual,YTD,2016-06-30,187,City Council,01,
City Planning Commission,General,31,0,2016,Actual,YTD,2016-06-30,31,City Planning Commission,51,
City Representative,General,7,0,2016,Actual,YTD,2016-06-30,7,Office of the City Representative,41,City Rep
City Treasurer,General,15,0,2016,Actual,YTD,2016-06-30,15,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2016,Actual,YTD,2016-06-30,2,Civil Service Commission,55,
Commerce,General,34,0,2016,Actual,YTD,2016-06-30,34,Office of the Director of Commerce,42,Commerce
Finance,General,165,0,2016,Actual,YTD,2016-06-30,165,Office of the Director of Finance,35,Finance
First Judicial District,General,1839,0,2016,Actual,YTD,2016-06-30,1839,First Judicial District,84,FJD
Fleet Management,General,263,0,2016,Actual,YTD,2016-06-30,263,Office of Fleet Management,25,Fleet
Free Library,General,636,0,2016,Actual,YTD,2016-06-30,636,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,5,0,2016,Actual,YTD,2016-06-30,5,Historical Commission,32,
Human Relations Commission,General,32,0,2016,Actual,YTD,2016-06-30,32,Commission on Human Relations,54,Human Relations
Human Services (1),General,449,0,2016,Actual,YTD,2016-06-30,449,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,7,0,2016,Actual,YTD,2016-06-30,7,Labor,03,
Law,General,126,0,2016,Actual,YTD,2016-06-30,126,Law Department,44,Law
Licenses & Inspections,General,335,0,2016,Actual,YTD,2016-06-30,335,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2016,Actual,YTD,2016-06-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2016,Actual,YTD,2016-06-30,2,L&I: Board of Review,27,
L&I-Zoning Board of Adjustment,General,5,0,2016,Actual,YTD,2016-06-30,5,Zoning Board of Adjustments,30,ZBA
Managing Director's Office,General,258,0,2016,Actual,YTD,2016-06-30,258,Managing Director's Office,10,MDO
Mayor's Office,General,48,0,2016,Actual,YTD,2016-06-30,48,Mayor's Office,05,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2016,Actual,YTD,2016-06-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation & Utilities,General,8,0,2016,Actual,YTD,2016-06-30,8,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,General,11,0,2016,Actual,YTD,2016-06-30,11,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,2,0,2016,Actual,YTD,2016-06-30,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,16,0,2016,Actual,YTD,2016-06-30,16,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Housing & Comm. Development,General,0,0,2016,Actual,YTD,2016-06-30,0,Office of Housing and Community Development,06,
Office of Human Resources,General,84,0,2016,Actual,YTD,2016-06-30,84,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,271,0,2016,Actual,YTD,2016-06-30,271,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,19,0,2016,Actual,YTD,2016-06-30,19,Office of the Inspector General,48,OIG
Office of Property Assessment,General,200,0,2016,Actual,YTD,2016-06-30,200,Office of Property Assessment,59,OPA
Office of Supportive Housing,General,146,0,2016,Actual,YTD,2016-06-30,146,Office of Homeless Services,24,OHS
Office of Sustainability,General,8,0,2016,Actual,YTD,2016-06-30,8,Office of Sustainability,49,Sustainability
Parks and Recreation,General,593,0,2016,Actual,YTD,2016-06-30,593,Department of Parks and Recreation,16,Parks & Recreation
Prisons,General,2289,0,2016,Actual,YTD,2016-06-30,2289,Philadelphia Prison System,23,Prisons
Procurement,General,42,0,2016,Actual,YTD,2016-06-30,42,Procurement Department,38,Procurement
Public Health,General,653,0,2016,Actual,YTD,2016-06-30,653,Department of Public Health,14,Public Health
Public Property,General,135,0,2016,Actual,YTD,2016-06-30,135,Department of Public Property,20,Public Property
Records,General,57,0,2016,Actual,YTD,2016-06-30,57,Department of Records,31,Records
Register of Wills,General,69,0,2016,Actual,YTD,2016-06-30,69,Register of Wills,68,
Revenue,General,378,0,2016,Actual,YTD,2016-06-30,378,Department of Revenue,36,Revenue
Sheriff,General,330,0,2016,Actual,YTD,2016-06-30,330,Office of the Sheriff,70,Sheriff
Streets Sanitation,General,1145,0,2016,Actual,YTD,2016-06-30,1145,Streets: Sanitation,12-S,
Streets - Transportation,General,531,0,2016,Actual,YTD,2016-06-30,531,Streets: Transportation,12-T,
Water,General,0,0,2016,Actual,YTD,2016-06-30,0,Water Department,28,Water
Youth Commission,General,1,0,2016,Actual,YTD,2016-06-30,1,Youth Commission,47,
Atwater Kent Museum,Other,0,0,2016,Actual,YTD,2016-06-30,0,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2016,Actual,YTD,2016-06-30,0,City Controller's Office,61,
Board of Ethics,Other,0,0,2016,Actual,YTD,2016-06-30,0,Board of Ethics,45,
Board of Pensions,Other,42,0,2016,Actual,YTD,2016-06-30,42,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2016,Actual,YTD,2016-06-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2016,Actual,YTD,2016-06-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2016,Actual,YTD,2016-06-30,0,City Council,01,
City Planning Commission,Other,5,0,2016,Actual,YTD,2016-06-30,5,City Planning Commission,51,
City Representative,Other,0,0,2016,Actual,YTD,2016-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2016,Actual,YTD,2016-06-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2016,Actual,YTD,2016-06-30,0,Civil Service Commission,55,
