dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2010,Actual,YTD,2009-12-31,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,122,0,2010,Actual,YTD,2009-12-31,122,City Controller's Office,61,
Board of Building Standards,General,1,0,2010,Actual,YTD,2009-12-31,1,L&I: Board of Building and Standards,29,
Board of Ethics,General,8,0,2010,Actual,YTD,2009-12-31,8,Board of Ethics,45,
Board of L & 1 Review,General,2,0,2010,Actual,YTD,2009-12-31,2,L&I: Board of Review,27,
Bd. of Pensions,General,0,0,2010,Actual,YTD,2009-12-31,0,Board of Pensions,53,Pensions
Bd. of Revision of Taxes,General,120,0,2010,Actual,YTD,2009-12-31,120,Board of Revision of Taxes,63,BRT
Camp William Penn,General,1,0,2010,Actual,YTD,2009-12-31,1,Camp William Penn,19,
"Capital Program Office, Mayor-",General,0,0,2010,Actual,YTD,2009-12-31,0,Capital Program Office,07,
City Commissioners (Election Board),General,100,0,2010,Actual,YTD,2009-12-31,100,City Commissioner's Office,73,City Commissioners
City Council,General,181,0,2010,Actual,YTD,2009-12-31,181,City Council,01,
City Planning Commission,General,43,0,2010,Actual,YTD,2009-12-31,43,City Planning Commission,51,
City Representative,General,7,0,2010,Actual,YTD,2009-12-31,7,Office of the City Representative,41,City Rep
City Treasurer,General,12,0,2010,Actual,YTD,2009-12-31,12,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2010,Actual,YTD,2009-12-31,2,Civil Service Commission,55,
Clerk of Quarter Sessions,General,108,0,2010,Actual,YTD,2009-12-31,108,Clerk of Quarter Sessions,64,
Commerce,General,24,0,2010,Actual,YTD,2009-12-31,24,Office of the Director of Commerce,42,Commerce
Division of Technology,General,138,0,2010,Actual,YTD,2009-12-31,138,Office of Innovation and Technology,04,OIT
Fairmount Park,General,155,0,2010,Actual,YTD,2009-12-31,155,Fairmount Park Commission,17,
Finance,General,134,0,2010,Actual,YTD,2009-12-31,134,Office of the Director of Finance,35,Finance
First Judicial District,General,1778,0,2010,Actual,YTD,2009-12-31,1778,First Judicial District,84,FJD
Fleet Management,General,299,0,2010,Actual,YTD,2009-12-31,299,Office of Fleet Management,25,Fleet
Free Library,General,615,0,2010,Actual,YTD,2009-12-31,615,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,6,0,2010,Actual,YTD,2009-12-31,6,Historical Commission,32,
Human Relations Commission,General,33,0,2010,Actual,YTD,2009-12-31,33,Commission on Human Relations,54,Human Relations
Human Services,General,1801,0,2010,Actual,YTD,2009-12-31,1801,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,7,0,2010,Actual,YTD,2009-12-31,7,Labor,03,
Law,General,178,0,2010,Actual,YTD,2009-12-31,178,Law Department,44,Law
Licenses & Inspections,General,295,0,2010,Actual,YTD,2009-12-31,295,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),General,147,0,2010,Actual,YTD,2009-12-31,147,Managing Director's Office,10,MDO
Mayor,General,36,0,2010,Actual,YTD,2009-12-31,36,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,General,2,0,2010,Actual,YTD,2009-12-31,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Mayor - Office of the Inspector General,General,16,0,2010,Actual,YTD,2009-12-31,16,Office of the Inspector General,48,OIG
Mayor's Office of Comm. Svcs.,General,0,0,2010,Actual,YTD,2009-12-31,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation,General,8,0,2010,Actual,YTD,2009-12-31,8,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,General,12,0,2010,Actual,YTD,2009-12-31,12,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,General,24,0,2010,Actual,YTD,2009-12-31,24,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Human Resources,General,61,0,2010,Actual,YTD,2009-12-31,61,Office of Human Resources,56,OHR
Off.of Supportive Housing,General,133,0,2010,Actual,YTD,2009-12-31,133,Office of Homeless Services,24,OHS
Office of Housing and Community Develop.,General,0,0,2010,Actual,YTD,2009-12-31,0,Office of Housing and Community Development,06,
Prisons,General,2324,0,2010,Actual,YTD,2009-12-31,2324,Philadelphia Prison System,23,Prisons
Procurement,General,47,0,2010,Actual,YTD,2009-12-31,47,Procurement Department,38,Procurement
Public Health,General,669,0,2010,Actual,YTD,2009-12-31,669,Department of Public Health,14,Public Health
Public Property,General,129,0,2010,Actual,YTD,2009-12-31,129,Department of Public Property,20,Public Property
Records,General,60,0,2010,Actual,YTD,2009-12-31,60,Department of Records,31,Records
Recreation,General,438,0,2010,Actual,YTD,2009-12-31,438,Department of Parks and Recreation,16,Parks & Recreation
Register of Wills,General,62,0,2010,Actual,YTD,2009-12-31,62,Register of Wills,68,
Revenue,General,248,0,2010,Actual,YTD,2009-12-31,248,Department of Revenue,36,Revenue
Sheriff,General,236,0,2010,Actual,YTD,2009-12-31,236,Office of the Sheriff,70,Sheriff
Streets,General,523,0,2010,Actual,YTD,2009-12-31,523,Streets Department,12,Streets
Streets Sanitation,General,1154,0,2010,Actual,YTD,2009-12-31,1154,Streets: Sanitation,12-S,
Water,General,0,0,2010,Actual,YTD,2009-12-31,0,Water Department,28,Water
Youth Commission,General,1,0,2010,Actual,YTD,2009-12-31,1,Youth Commission,47,
Zoning Board of Adjustment,General,5,0,2010,Actual,YTD,2009-12-31,5,Zoning Board of Adjustments,30,ZBA
Zoning Code Commission,General,2,0,2010,Actual,YTD,2009-12-31,2,Zoning Code Commission,57,
Atwater Kent Museum,Other,0,0,2010,Actual,YTD,2009-12-31,0,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2010,Actual,YTD,2009-12-31,0,City Controller's Office,61,
Board of Building Standards,Other,0,0,2010,Actual,YTD,2009-12-31,0,L&I: Board of Building and Standards,29,
Board of Ethics,Other,0,0,2010,Actual,YTD,2009-12-31,0,Board of Ethics,45,
Board of L & 1 Review,Other,0,0,2010,Actual,YTD,2009-12-31,0,L&I: Board of Review,27,
Bd. of Pensions,Other,69,0,2010,Actual,YTD,2009-12-31,69,Board of Pensions,53,Pensions
Bd. of Revision of Taxes,Other,0,0,2010,Actual,YTD,2009-12-31,0,Board of Revision of Taxes,63,BRT
Camp William Penn,Other,0,0,2010,Actual,YTD,2009-12-31,0,Camp William Penn,19,
"Capital Program Office, Mayor-",Other,0,0,2010,Actual,YTD,2009-12-31,0,Capital Program Office,07,
City Commissioners (Election Board),Other,0,0,2010,Actual,YTD,2009-12-31,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2010,Actual,YTD,2009-12-31,0,City Council,01,
City Planning Commission,Other,4,0,2010,Actual,YTD,2009-12-31,4,City Planning Commission,51,
City Representative,Other,0,0,2010,Actual,YTD,2009-12-31,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2010,Actual,YTD,2009-12-31,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2010,Actual,YTD,2009-12-31,0,Civil Service Commission,55,
Clerk of Quarter Sessions,Other,0,0,2010,Actual,YTD,2009-12-31,0,Clerk of Quarter Sessions,64,
Commerce,Other,744,0,2010,Actual,YTD,2009-12-31,744,Office of the Director of Commerce,42,Commerce
Division of Technology,Other,16,0,2010,Actual,YTD,2009-12-31,16,Office of Innovation and Technology,04,OIT
Fairmount Park,Other,1,0,2010,Actual,YTD,2009-12-31,1,Fairmount Park Commission,17,
Finance,Other,4,0,2010,Actual,YTD,2009-12-31,4,Office of the Director of Finance,35,Finance
First Judicial District,Other,530,0,2010,Actual,YTD,2009-12-31,530,First Judicial District,84,FJD
Fleet Management,Other,55,0,2010,Actual,YTD,2009-12-31,55,Office of Fleet Management,25,Fleet
Free Library,Other,77,0,2010,Actual,YTD,2009-12-31,77,The Free Library of Philadelphia,52,Free Library
Historical Commission,Other,0,0,2010,Actual,YTD,2009-12-31,0,Historical Commission,32,
Human Relations Commission,Other,0,0,2010,Actual,YTD,2009-12-31,0,Commission on Human Relations,54,Human Relations
Human Services,Other,51,0,2010,Actual,YTD,2009-12-31,51,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",Other,0,0,2010,Actual,YTD,2009-12-31,0,Labor,03,
Law,Other,57,0,2010,Actual,YTD,2009-12-31,57,Law Department,44,Law
Licenses & Inspections,Other,12,0,2010,Actual,YTD,2009-12-31,12,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),Other,11,0,2010,Actual,YTD,2009-12-31,11,Managing Director's Office,10,MDO
Mayor,Other,3,0,2010,Actual,YTD,2009-12-31,3,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,Other,0,0,2010,Actual,YTD,2009-12-31,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
