dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,4,0,2008,Actual,YTD,2008-06-30,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,121,0,2008,Actual,YTD,2008-06-30,121,City Controller's Office,,61
Board of Building Standards,General,2,0,2008,Actual,YTD,2008-06-30,2,L&I: Board of Building and Standards,,29
Board of Ethics,General,6,0,2008,Actual,YTD,2008-06-30,6,Board of Ethics,,45
Board of L & I Review,General,3,0,2008,Actual,YTD,2008-06-30,3,L&I: Board of Review,,27
Bd. of Pensions,General,0,0,2008,Actual,YTD,2008-06-30,0,Board of Pensions,Pensions,53
Bd. of Revision of Taxes,General,139,0,2008,Actual,YTD,2008-06-30,139,Board of Revision of Taxes,BRT,63
Camp William Penn,General,1,0,2008,Actual,YTD,2008-06-30,1,Camp William Penn,,19
"Capital Program Office, Mayor-",General,21,0,2008,Actual,YTD,2008-06-30,21,Capital Program Office,,07
City Commissioners (Election Board),General,91,0,2008,Actual,YTD,2008-06-30,91,City Commissioner's Office,City Commissioners,73
City Council,General,192,0,2008,Actual,YTD,2008-06-30,192,City Council,,01
City Planning Commission,General,44,0,2008,Actual,YTD,2008-06-30,44,City Planning Commission,,51
City Rep. / Commerce,General,13,0,2008,Actual,YTD,2008-06-30,13,Office of the City Representative,City Rep,41
City Treasurer,General,11,0,2008,Actual,YTD,2008-06-30,11,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2008,Actual,YTD,2008-06-30,2,Civil Service Commission,,55
Clerk of Quarter Sessions,General,117,0,2008,Actual,YTD,2008-06-30,117,Clerk of Quarter Sessions,,64
Fairmount Park,General,156,0,2008,Actual,YTD,2008-06-30,156,Fairmount Park Commission,,17
Finance,General,170,0,2008,Actual,YTD,2008-06-30,170,Office of the Director of Finance,Finance,35
First Judicial District,General,1970,0,2008,Actual,YTD,2008-06-30,1970,First Judicial District,FJD,84
Fleet Management,General,307,0,2008,Actual,YTD,2008-06-30,307,Office of Fleet Management,Fleet,25
Free Library,General,713,0,2008,Actual,YTD,2008-06-30,713,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,6,0,2008,Actual,YTD,2008-06-30,6,Historical Commission,,32
Human Relations Commission,General,34,0,2008,Actual,YTD,2008-06-30,34,Commission on Human Relations,Human Relations,54
Human Services,General,1784,0,2008,Actual,YTD,2008-06-30,1784,Department of Human Services,DHS,22
"Information Services, Mayor's Office of",General,141,0,2008,Actual,YTD,2008-06-30,141,Office of Innovation and Technology,OIT,04
"Labor Relations, Mayor's Office of",General,7,0,2008,Actual,YTD,2008-06-30,7,Labor,,03
Law,General,192,0,2008,Actual,YTD,2008-06-30,192,Law Department,Law,44
Licenses & Inspections,General,356,0,2008,Actual,YTD,2008-06-30,356,Department of Licenses and Inspections,L&I,26
Managing Director (MDO),General,95,0,2008,Actual,YTD,2008-06-30,95,Managing Director's Office,MDO,10
Mayor,General,72,0,2008,Actual,YTD,2008-06-30,72,Mayor's Office,Mayor,05
Mayor's Office of Comm. Svcs.,General,22,0,2008,Actual,YTD,2008-06-30,22,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,General,12,0,2008,Actual,YTD,2008-06-30,12,Mural Arts Program,Mural Arts,50
Off. of Behavioral Hlth/Mental Retard. Svcs.,General,28,0,2008,Actual,YTD,2008-06-30,28,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Off.of Supportive Housing,General,126,0,2008,Actual,YTD,2008-06-30,126,Office of Homeless Services,OHS,24
Office of Housing and Community Develop.,General,0,0,2008,Actual,YTD,2008-06-30,0,Office of Housing and Community Development,,06
Personnel,General,68,0,2008,Actual,YTD,2008-06-30,68,Office of Human Resources,OHR,56
Prisons,General,2131,0,2008,Actual,YTD,2008-06-30,2131,Philadelphia Prison System,Prisons,23
Procurement,General,58,0,2008,Actual,YTD,2008-06-30,58,Procurement Department,Procurement,38
Public Health,General,665,0,2008,Actual,YTD,2008-06-30,665,Department of Public Health,Public Health,14
Public Property,General,165,0,2008,Actual,YTD,2008-06-30,165,Department of Public Property,Public Property,20
Records,General,70,0,2008,Actual,YTD,2008-06-30,70,Department of Records,Records,31
Recreation,General,464,0,2008,Actual,YTD,2008-06-30,464,Department of Parks and Recreation,Parks & Recreation,16
Register of Wills,General,68,0,2008,Actual,YTD,2008-06-30,68,Register of Wills,,68
Revenue,General,252,0,2008,Actual,YTD,2008-06-30,252,Department of Revenue,Revenue,36
Sheriff,General,238,0,2008,Actual,YTD,2008-06-30,238,Office of the Sheriff,Sheriff,70
Streets,General,591,0,2008,Actual,YTD,2008-06-30,591,Streets Department,Streets,12
Streets Sanitation,General,1248,0,2008,Actual,YTD,2008-06-30,1248,Streets: Sanitation,,12S
Water,General,0,0,2008,Actual,YTD,2008-06-30,0,Water Department,Water,28
Zoning Board of Adjustment,General,5,0,2008,Actual,YTD,2008-06-30,5,Zoning Board of Adjustments,ZBA,30
Zoning Code Commission,General,0,0,2008,Actual,YTD,2008-06-30,0,Zoning Code Commission,,57
Atwater Kent Museum,Other,0,0,2008,Actual,YTD,2008-06-30,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Other,0,0,2008,Actual,YTD,2008-06-30,0,City Controller's Office,,61
Board of Building Standards,Other,0,0,2008,Actual,YTD,2008-06-30,0,L&I: Board of Building and Standards,,29
Board of Ethics,Other,0,0,2008,Actual,YTD,2008-06-30,0,Board of Ethics,,45
Board of L & I Review,Other,0,0,2008,Actual,YTD,2008-06-30,0,L&I: Board of Review,,27
Bd. of Pensions,Other,59,0,2008,Actual,YTD,2008-06-30,59,Board of Pensions,Pensions,53
Bd. of Revision of Taxes,Other,0,0,2008,Actual,YTD,2008-06-30,0,Board of Revision of Taxes,BRT,63
Camp William Penn,Other,0,0,2008,Actual,YTD,2008-06-30,0,Camp William Penn,,19
"Capital Program Office, Mayor-",Other,0,0,2008,Actual,YTD,2008-06-30,0,Capital Program Office,,07
