dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,4,0,2010,Actual,YTD,2010-03-31,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,121,0,2010,Actual,YTD,2010-03-31,121,City Controller's Office,,61
Board of Building Standards,General,1,0,2010,Actual,YTD,2010-03-31,1,L&I: Board of Building and Standards,,29
Board of Ethics,General,8,0,2010,Actual,YTD,2010-03-31,8,Board of Ethics,,45
Board of L & I Review,General,2,0,2010,Actual,YTD,2010-03-31,2,L&I: Board of Review,,27
Bd. of Pensions,General,0,0,2010,Actual,YTD,2010-03-31,0,Board of Pensions,Pensions,53
Bd. of Revision of Taxes,General,119,0,2010,Actual,YTD,2010-03-31,119,Board of Revision of Taxes,BRT,63
Camp William Penn,General,1,0,2010,Actual,YTD,2010-03-31,1,Camp William Penn,,19
"Capital Program Office, Mayor-",General,0,0,2010,Actual,YTD,2010-03-31,0,Capital Program Office,,07
City Commissioners (Election Board),General,104,0,2010,Actual,YTD,2010-03-31,104,City Commissioner's Office,City Commissioners,73
City Council,General,179,0,2010,Actual,YTD,2010-03-31,179,City Council,,01
City Planning Commission,General,43,0,2010,Actual,YTD,2010-03-31,43,City Planning Commission,,51
City Representative,General,7,0,2010,Actual,YTD,2010-03-31,7,Office of the City Representative,City Rep,41
City Treasurer,General,12,0,2010,Actual,YTD,2010-03-31,12,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2010,Actual,YTD,2010-03-31,2,Civil Service Commission,,55
Clerk of Quarter Sessions,General,107,0,2010,Actual,YTD,2010-03-31,107,Clerk of Quarter Sessions,,64
Commerce,General,20,0,2010,Actual,YTD,2010-03-31,20,Office of the Director of Commerce,Commerce,42
Division of Technology,General,155,0,2010,Actual,YTD,2010-03-31,155,Office of Innovation and Technology,OIT,04
Fairmount Park,General,156,0,2010,Actual,YTD,2010-03-31,156,Fairmount Park Commission,,17
Finance,General,138,0,2010,Actual,YTD,2010-03-31,138,Office of the Director of Finance,Finance,35
First Judicial District,General,1752,0,2010,Actual,YTD,2010-03-31,1752,First Judicial District,FJD,84
Fleet Management,General,295,0,2010,Actual,YTD,2010-03-31,295,Office of Fleet Management,Fleet,25
Free Library,General,595,0,2010,Actual,YTD,2010-03-31,595,The Free Library of Philadelphia,Free Library,52
