dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,4,0,2018,Actual,YTD,2017-09-30,4,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,127,0,2018,Actual,YTD,2017-09-30,127,City Controller's Office,61,
Board of Ethics,General,11,0,2018,Actual,YTD,2017-09-30,11,Board of Ethics,45,
Board of Pensions,General,0,0,2018,Actual,YTD,2017-09-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,11,0,2018,Actual,YTD,2017-09-30,11,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,95,0,2018,Actual,YTD,2017-09-30,95,City Commissioner's Office,73,City Commissioners
City Council,General,193,0,2018,Actual,YTD,2017-09-30,193,City Council,01,
City Planning Commission,General,0,0,2018,Actual,YTD,2017-09-30,0,City Planning Commission,51,
City Representative,General,5,0,2018,Actual,YTD,2017-09-30,5,Office of the City Representative,41,City Rep
City Treasurer,General,15,0,2018,Actual,YTD,2017-09-30,15,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2018,Actual,YTD,2017-09-30,2,Civil Service Commission,55,
Commerce,General,29,0,2018,Actual,YTD,2017-09-30,29,Office of the Director of Commerce,42,Commerce
Finance,General,108,0,2018,Actual,YTD,2017-09-30,108,Office of the Director of Finance,35,Finance
First Judicial District,General,1865,0,2018,Actual,YTD,2017-09-30,1865,First Judicial District,84,FJD
Fleet Management,General,282,0,2018,Actual,YTD,2017-09-30,282,Office of Fleet Management,25,Fleet
Free Library,General,651,0,2018,Actual,YTD,2017-09-30,651,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,0,0,2018,Actual,YTD,2017-09-30,0,Historical Commission,32,
Human Relations Commission,General,31,0,2018,Actual,YTD,2017-09-30,31,Commission on Human Relations,54,Human Relations
Human Services (1),General,385,0,2018,Actual,YTD,2017-09-30,385,Department of Human Services,22,DHS
