dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,0,0,2019,Actual,YTD,2018-12-31,0,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,126,0,2019,Actual,YTD,2018-12-31,126,City Controller's Office,61,
Board of Ethics,General,9,0,2019,Actual,YTD,2018-12-31,9,Board of Ethics,45,
Board of Pensions,General,0,0,2019,Actual,YTD,2018-12-31,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,12,0,2019,Actual,YTD,2018-12-31,12,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,97,0,2019,Actual,YTD,2018-12-31,97,City Commissioner's Office,73,City Commissioners
City Council,General,193,0,2019,Actual,YTD,2018-12-31,193,City Council,01,
City Representative,General,9,0,2019,Actual,YTD,2018-12-31,9,Office of the City Representative,41,City Rep
City Treasurer,General,15,0,2019,Actual,YTD,2018-12-31,15,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2019,Actual,YTD,2018-12-31,2,Civil Service Commission,55,
Commerce,General,51,0,2019,Actual,YTD,2018-12-31,51,Office of the Director of Commerce,42,Commerce
Finance,General,113,0,2019,Actual,YTD,2018-12-31,113,Office of the Director of Finance,35,Finance
First Judicial District,General,1842,0,2019,Actual,YTD,2018-12-31,1842,First Judicial District,84,FJD
Fleet Management,General,285,0,2019,Actual,YTD,2018-12-31,285,Office of Fleet Management,25,Fleet
Free Library,General,640,0,2019,Actual,YTD,2018-12-31,640,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,32,0,2019,Actual,YTD,2018-12-31,32,Commission on Human Relations,54,Human Relations
Human Services (1),General,386,0,2019,Actual,YTD,2018-12-31,386,Department of Human Services,22,DHS
"Labor, Mayor's Office of",General,23,0,2019,Actual,YTD,2018-12-31,23,Labor,03,
Law,General,127,0,2019,Actual,YTD,2018-12-31,127,Law Department,44,Law
Licenses & Inspections,General,378,0,2019,Actual,YTD,2018-12-31,378,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2019,Actual,YTD,2018-12-31,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2019,Actual,YTD,2018-12-31,2,L&I: Board of Review,27,
Managing Director's Office,General,298,0,2019,Actual,YTD,2018-12-31,298,Managing Director's Office,10,MDO
Mayor's Office,General,50,0,2019,Actual,YTD,2018-12-31,50,Mayor's Office,05,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2019,Actual,YTD,2018-12-31,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,10,0,2019,Actual,YTD,2018-12-31,10,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,8,0,2019,Actual,YTD,2018-12-31,8,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,15,0,2019,Actual,YTD,2018-12-31,15,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Chief Administrative Officer,General,57,0,2019,Actual,YTD,2018-12-31,57,Board of Revision of Taxes,63,BRT
Office of Community Schools and Pre-K,General,30,0,2019,Actual,YTD,2018-12-31,30,Office of Children and Families,66,OCF
Office of Homeless Services,General,150,0,2019,Actual,YTD,2018-12-31,150,Office of Homeless Services,24,OHS
Office of Housing & Comm. Development,General,0,0,2019,Actual,YTD,2018-12-31,0,Office of Housing and Community Development,06,
