dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,3,0,2016,Actual,YTD,2016-03-31,3,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,133,0,2016,Actual,YTD,2016-03-31,133,City Controller's Office,61,
Board of Ethics,General,10,0,2016,Actual,YTD,2016-03-31,10,Board of Ethics,45,
Board of Pensions,General,0,0,2016,Actual,YTD,2016-03-31,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,14,0,2016,Actual,YTD,2016-03-31,14,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,97,0,2016,Actual,YTD,2016-03-31,97,City Commissioner's Office,73,City Commissioners
City Council,General,189,0,2016,Actual,YTD,2016-03-31,189,City Council,01,
City Planning Commission,General,31,0,2016,Actual,YTD,2016-03-31,31,City Planning Commission,51,
City Representative,General,7,0,2016,Actual,YTD,2016-03-31,7,Office of the City Representative,41,City Rep
City Treasurer,General,15,0,2016,Actual,YTD,2016-03-31,15,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2016,Actual,YTD,2016-03-31,2,Civil Service Commission,55,
Commerce,General,32,0,2016,Actual,YTD,2016-03-31,32,Office of the Director of Commerce,42,Commerce
Finance,General,145,0,2016,Actual,YTD,2016-03-31,145,Office of the Director of Finance,35,Finance
First Judicial District,General,1835,0,2016,Actual,YTD,2016-03-31,1835,First Judicial District,84,FJD
Fleet Management,General,262,0,2016,Actual,YTD,2016-03-31,262,Office of Fleet Management,25,Fleet
Free Library,General,645,0,2016,Actual,YTD,2016-03-31,645,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,5,0,2016,Actual,YTD,2016-03-31,5,Historical Commission,32,
Human Relations Commission,General,32,0,2016,Actual,YTD,2016-03-31,32,Commission on Human Relations,54,Human Relations
Human Services (1),General,395,0,2016,Actual,YTD,2016-03-31,395,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,7,0,2016,Actual,YTD,2016-03-31,7,Labor,03,
Law,General,128,0,2016,Actual,YTD,2016-03-31,128,Law Department,44,Law
Licenses & Inspections,General,331,0,2016,Actual,YTD,2016-03-31,331,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2016,Actual,YTD,2016-03-31,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2016,Actual,YTD,2016-03-31,2,L&I: Board of Review,27,
