dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Auditing (City Controller's Office),General,105,0,2023,Actual,YTD,2023-03-31,105,City Controller's Office,61,
Board of Ethics,General,9,0,2023,Actual,YTD,2023-03-31,9,Board of Ethics,45,
Board of Pensions,General,0,0,2023,Actual,YTD,2023-03-31,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,15,0,2023,Actual,YTD,2023-03-31,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,143,0,2023,Actual,YTD,2023-03-31,143,City Commissioner's Office,73,City Commissioners
City Council,General,168,0,2023,Actual,YTD,2023-03-31,168,City Council,01,
City Representative,General,0,0,2023,Actual,YTD,2023-03-31,0,Office of the City Representative,41,City Rep
City Treasurer,General,17,0,2023,Actual,YTD,2023-03-31,17,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2023,Actual,YTD,2023-03-31,2,Civil Service Commission,55,
Commerce,General,52,0,2023,Actual,YTD,2023-03-31,52,Office of the Director of Commerce,42,Commerce
Finance,General,122,0,2023,Actual,YTD,2023-03-31,122,Office of the Director of Finance,35,Finance
First Judicial District,General,1688,0,2023,Actual,YTD,2023-03-31,1688,First Judicial District,84,FJD
Fleet Services,General,261,0,2023,Actual,YTD,2023-03-31,261,Office of Fleet Management,25,Fleet
Free Library,General,693,0,2023,Actual,YTD,2023-03-31,693,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,29,0,2023,Actual,YTD,2023-03-31,29,Commission on Human Relations,54,Human Relations
Human Services (1),General,393,0,2023,Actual,YTD,2023-03-31,393,Department of Human Services,22,DHS
Labor,General,35,0,2023,Actual,YTD,2023-03-31,35,Labor,03,
Law,General,192,0,2023,Actual,YTD,2023-03-31,192,Law Department,44,Law
Licenses & Inspections,General,343,0,2023,Actual,YTD,2023-03-31,343,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2023,Actual,YTD,2023-03-31,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2023,Actual,YTD,2023-03-31,2,L&I: Board of Review,27,
Managing Director's Office,General,364,0,2023,Actual,YTD,2023-03-31,364,Managing Director's Office,10,MDO
Mayor's Office,General,54,0,2023,Actual,YTD,2023-03-31,54,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2023,Actual,YTD,2023-03-31,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,10,0,2023,Actual,YTD,2023-03-31,10,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,0,0,2023,Actual,YTD,2023-03-31,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,General,45,0,2023,Actual,YTD,2023-03-31,45,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,76,0,2023,Actual,YTD,2023-03-31,76,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,6,0,2023,Actual,YTD,2023-03-31,6,Office of Children and Families,66,OCF
Office of Homeless Services,General,114,0,2023,Actual,YTD,2023-03-31,114,Office of Homeless Services,24,OHS
Office of Human Resources,General,80,0,2023,Actual,YTD,2023-03-31,80,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,322,0,2023,Actual,YTD,2023-03-31,322,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,16,0,2023,Actual,YTD,2023-03-31,16,Office of the Inspector General,48,OIG
Office of Property Assessment,General,177,0,2023,Actual,YTD,2023-03-31,177,Office of Property Assessment,59,OPA
Office of Sustainability,General,17,0,2023,Actual,YTD,2023-03-31,17,Office of Sustainability,49,Sustainability
Parks and Recreation,General,619,0,2023,Actual,YTD,2023-03-31,619,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,59,0,2023,Actual,YTD,2023-03-31,59,Department of Planning and Development,72,Planning & Development
Prisons,General,1327,0,2023,Actual,YTD,2023-03-31,1327,Philadelphia Prison System,23,Prisons
Procurement,General,34,0,2023,Actual,YTD,2023-03-31,34,Procurement Department,38,Procurement
Public Health,General,679,0,2023,Actual,YTD,2023-03-31,679,Department of Public Health,14,Public Health
Public Property,General,127,0,2023,Actual,YTD,2023-03-31,127,Department of Public Property,20,Public Property
Records,General,54,0,2023,Actual,YTD,2023-03-31,54,Department of Records,31,Records
Register of Wills,General,62,0,2023,Actual,YTD,2023-03-31,62,Register of Wills,68,
Revenue,General,329,0,2023,Actual,YTD,2023-03-31,329,Department of Revenue,36,Revenue
Sheriff,General,333,0,2023,Actual,YTD,2023-03-31,333,Office of the Sheriff,70,Sheriff
Streets,General,2001,0,2023,Actual,YTD,2023-03-31,2001,Streets Department,12,Streets
Water,General,0,0,2023,Actual,YTD,2023-03-31,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2023,Actual,YTD,2023-03-31,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2023,Actual,YTD,2023-03-31,0,City Controller's Office,61,
Board of Ethics,Other,0,0,2023,Actual,YTD,2023-03-31,0,Board of Ethics,45,
Board of Pensions,Other,53,0,2023,Actual,YTD,2023-03-31,53,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2023,Actual,YTD,2023-03-31,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2023,Actual,YTD,2023-03-31,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2023,Actual,YTD,2023-03-31,0,City Council,01,
City Representative,Other,0,0,2023,Actual,YTD,2023-03-31,0,Office of the City Representative,41,City Rep
City Treasurer,Other,3,0,2023,Actual,YTD,2023-03-31,3,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2023,Actual,YTD,2023-03-31,0,Civil Service Commission,55,
