dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,0,0,2019,Actual,YTD,2018-09-30,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,130,0,2019,Actual,YTD,2018-09-30,130,City Controller's Office,,61
Board of Ethics,General,10,0,2019,Actual,YTD,2018-09-30,10,Board of Ethics,,45
Board of Pensions,General,0,0,2019,Actual,YTD,2018-09-30,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,12,0,2019,Actual,YTD,2018-09-30,12,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,92,0,2019,Actual,YTD,2018-09-30,92,City Commissioner's Office,City Commissioners,73
City Council,General,192,0,2019,Actual,YTD,2018-09-30,192,City Council,,01
City Representative,General,9,0,2019,Actual,YTD,2018-09-30,9,Office of the City Representative,City Rep,41
City Treasurer,General,15,0,2019,Actual,YTD,2018-09-30,15,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2019,Actual,YTD,2018-09-30,2,Civil Service Commission,,55
Commerce,General,27,0,2019,Actual,YTD,2018-09-30,27,Office of the Director of Commerce,Commerce,42
Finance,General,115,0,2019,Actual,YTD,2018-09-30,115,Office of the Director of Finance,Finance,35
First Judicial District,General,1856,0,2019,Actual,YTD,2018-09-30,1856,First Judicial District,FJD,84
Fleet Management,General,289,0,2019,Actual,YTD,2018-09-30,289,Office of Fleet Management,Fleet,25
Free Library,General,639,0,2019,Actual,YTD,2018-09-30,639,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,General,31,0,2019,Actual,YTD,2018-09-30,31,Commission on Human Relations,Human Relations,54
Human Services (1),General,386,0,2019,Actual,YTD,2018-09-30,386,Department of Human Services,DHS,22
"Labor, Mayor's Office of",General,22,0,2019,Actual,YTD,2018-09-30,22,Labor,,03
Law,General,120,0,2019,Actual,YTD,2018-09-30,120,Law Department,Law,44
Licenses & Inspections,General,380,0,2019,Actual,YTD,2018-09-30,380,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2019,Actual,YTD,2018-09-30,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,2,0,2019,Actual,YTD,2018-09-30,2,L&I: Board of Review,,27
Managing Director's Office,General,304,0,2019,Actual,YTD,2018-09-30,304,Managing Director's Office,MDO,10
Mayor's Office,General,49,0,2019,Actual,YTD,2018-09-30,49,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2019,Actual,YTD,2018-09-30,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,General,10,0,2019,Actual,YTD,2018-09-30,10,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,5,0,2019,Actual,YTD,2018-09-30,5,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,General,16,0,2019,Actual,YTD,2018-09-30,16,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of Chief Administrative Officer,General,58,0,2019,Actual,YTD,2018-09-30,58,Board of Revision of Taxes,BRT,63
