dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2040000.0,0.0,0.0,0.0,2040000.0,2023,Art Museum,34,,34
Auditing (City Controller),10228948.0,497450.0,25000.0,0.0,0.0,0.0,0.0,10751398.0,2023,City Controller's Office,61,,61
Board of Ethics,1100255.0,52500.0,7500.0,0.0,0.0,0.0,0.0,1160255.0,2023,Board of Ethics,45,,45
Board of Revision of Taxes,1030360.0,37900.0,17727.0,0.0,0.0,0.0,0.0,1085987.0,2023,Board of Revision of Taxes,63,BRT,63
City Commissioners,10891604.0,9285101.0,2649217.0,0.0,0.0,0.0,0.0,22825922.0,2023,City Commissioner's Office,73,City Commissioners,73
City Council,15960750.0,2521885.0,528650.0,100.0,0.0,100.0,100.0,19011585.0,2023,City Council,01,,01
City Treasurer,1554893.0,3116468.0,22224.0,0.0,0.0,0.0,0.0,4693585.0,2023,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,180988.0,29500.0,1094.0,0.0,0.0,0.0,10566357.0,10777939.0,2023,Civil Service Commission,55,,55
Commerce,5322555.0,8560549.0,62654.0,505000.0,0.0,0.0,0.0,14450758.0,2023,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2023,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,13334550.0,0.0,0.0,0.0,0.0,0.0,13334550.0,2023,Commerce: Economic Stimulus,42-ES,,42
District Attorney,39428794.0,3343738.0,533417.0,0.0,0.0,0.0,0.0,43305949.0,2023,District Attorney's Office,69,DAO,69
Finance,10718490.0,3964949.0,38616.0,4504000.0,0.0,27922480.0,0.0,47148535.0,2023,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,Finance: Budget Stabilization Reserve,35-BSR,,35
Finance-Community College Subsidy,0.0,0.0,0.0,50106653.0,0.0,0.0,0.0,50106653.0,2023,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1603396709.0,0.0,0.0,0.0,0.0,0.0,0.0,1603396709.0,2023,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,50000.0,2023,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,49246000.0,0.0,0.0,0.0,49246000.0,2023,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2023,Finance: Refunds,35-R,,35
Finance-Reg #32,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,2800000.0,2023,Finance: Reg #32,35-R32,,35
Finance-School District Contribution,0.0,0.0,0.0,269953201.0,0.0,0.0,0.0,269953201.0,2023,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,171518.0,2023,Finance: Witness Fees,35-WF,,35
Fire,354272272.0,7068282.0,12445064.0,0.0,0.0,7055640.0,0.0,380841258.0,2023,Fire Department,13,Fire,13
